,GAR1 (54433)
ACH-000004,-0.5780152185938774
ACH-000005,-0.7770383999089157
ACH-000007,-0.5653335270629458
ACH-000009,-0.2794303034209655
ACH-000011,-0.9656250963246332
ACH-000012,-0.5151357938686657
ACH-000013,-0.42805638893665227
ACH-000014,-0.5344105665889232
ACH-000015,-0.42233083364397
ACH-000017,-0.4030909749648369
ACH-000018,-0.4389105620724486
ACH-000019,-0.3598479998468621
ACH-000021,-0.464325080781457
ACH-000022,-0.6092602885915724
ACH-000025,-0.496230899247249
ACH-000028,-0.6139052048125995
ACH-000030,-0.6042891912886065
ACH-000035,-0.4096014684200036
ACH-000036,-0.5877939570932851
ACH-000037,-0.8516649763354732
ACH-000039,-0.25425051880786165
ACH-000040,-0.5268226055915143
ACH-000041,-0.6696063222950915
ACH-000042,-0.6184392561984756
ACH-000045,-0.5699207716802637
ACH-000047,-0.4588312081764895
ACH-000052,-0.4395208679252233
ACH-000053,-0.3784284616778393
ACH-000054,-0.6184320943359121
ACH-000055,-0.4230217237301002
ACH-000060,-0.6805680579316473
ACH-000067,-0.5058776273807813
ACH-000070,-0.5599347431046707
ACH-000075,-0.5401621524849289
ACH-000078,-0.5889634982998815
ACH-000082,-0.5117497903356739
ACH-000085,-0.5330588894990788
ACH-000086,-0.4963638422704863
ACH-000087,-0.7256598019670573
ACH-000092,-0.6053967161780996
ACH-000095,-0.5788165560815755
ACH-000097,-0.5762059765213396
ACH-000098,-0.570258458970199
ACH-000099,-0.5460662197345334
ACH-000108,-0.6619838608682688
ACH-000113,-0.5027664713250721
ACH-000116,-0.8915969337131928
ACH-000118,-0.4863195033708233
ACH-000120,-0.4443470558257463
ACH-000123,-0.32940269722265964
ACH-000127,-0.5900925067962973
ACH-000128,-0.5129267052864542
ACH-000132,-0.687564990004846
ACH-000133,-0.5831573918884954
ACH-000137,-0.4979560114133644
ACH-000138,-0.3668833505904033
ACH-000142,-0.6460393835434979
ACH-000143,-0.4832195552538769
ACH-000146,-0.4854832356069284
ACH-000148,-0.5861479875676008
ACH-000150,-0.5348677384663669
ACH-000152,-0.4888707258372599
ACH-000153,-0.7795317702757849
ACH-000159,-0.5539457569249199
ACH-000160,-0.4924324105419702
ACH-000163,-0.5494883291620932
ACH-000167,-0.1716744202848555
ACH-000168,-0.3654569994703151
ACH-000169,-0.641137868379777
ACH-000178,-0.6333064535576506
