,XPA (7507)
ACH-000004,-0.30966823056726844
ACH-000005,-0.7128036745788152
ACH-000007,-0.04706451142273513
ACH-000009,-0.08413613871980058
ACH-000011,-0.1582055518750228
ACH-000012,-0.20049864652749735
ACH-000013,-0.2389072349461017
ACH-000014,-0.35962220894446584
ACH-000015,-0.2327889538994417
ACH-000017,-0.028724008942938032
ACH-000018,-0.2490354043621489
ACH-000019,-0.13570771930813685
ACH-000021,-0.11687025034234028
ACH-000022,-0.17601076787979372
ACH-000025,-0.2329725331113761
ACH-000028,-0.13905561398421265
ACH-000030,-0.15390589984936465
ACH-000035,-0.14443829832637925
ACH-000036,-0.3934313447725854
ACH-000037,-0.4307292312243994
ACH-000039,-0.3862627701602424
ACH-000040,-0.15794118925257442
ACH-000041,-0.12088486856529497
ACH-000042,-0.2264016741932439
ACH-000045,-0.1353246012567636
ACH-000047,-0.2572843717258158
ACH-000052,-0.14083775426928824
ACH-000053,-0.09348657901313376
ACH-000054,-0.3806445663992037
ACH-000055,-0.05971801251604481
ACH-000060,-0.1671829355132582
ACH-000067,-0.3353406451306757
ACH-000070,-0.14199332294307285
ACH-000075,-0.11366985955116868
ACH-000078,-0.1186672013848174
ACH-000082,-0.325133581176318
ACH-000085,-0.2835572622855496
ACH-000086,-0.14915338771801445
ACH-000087,-0.11272359026680605
ACH-000092,-0.30759808257755045
ACH-000095,-0.0806112159493243
ACH-000097,-0.2527822549195189
ACH-000098,-0.16917443173625374
ACH-000099,-0.03651892776560068
ACH-000108,-0.24148073897016065
ACH-000113,-0.15620806578531224
ACH-000116,-0.18806174611715626
ACH-000118,-0.21640998612778894
ACH-000120,-0.22269313150629766
ACH-000123,-0.15727372603567388
ACH-000127,-0.18577763268696304
ACH-000128,-0.4216645728494617
ACH-000132,-0.07175428015640814
ACH-000133,-0.3937858787616775
ACH-000137,-0.1773234101236684
ACH-000138,-0.13761334519599247
ACH-000142,-0.10486824973482994
ACH-000143,-0.11087355466370286
ACH-000146,-0.17262140220692146
ACH-000148,-0.19924581181366446
ACH-000150,0.07642708959541727
ACH-000152,-0.3122935143738144
ACH-000153,-0.09522490382986763
ACH-000159,-0.11504446193558447
ACH-000160,-0.1182398473679506
ACH-000163,-0.2801427880085291
ACH-000167,-0.7605864587514549
ACH-000168,-0.429111430106621
ACH-000169,-0.3203447117043492
ACH-000178,-0.3366356782346155
ACH-000183,-0.1793741766320852
ACH-000188,-0.27172940338919105
ACH-000189,-0.3213502750276618
ACH-000190,-0.12842747674230168
ACH-000198,-0.2027062875120124
ACH-000203,0.2549466561524357
ACH-000204,-0.05534201086937493
ACH-000206,-0.4477522574836693
ACH-000207,-0.1837729613620762
ACH-000208,-0.2990964350049837
ACH-000210,0.06779942150040942
ACH-000211,-0.2984879864520013
ACH-000215,-0.19413071818886085
ACH-000221,-0.0985076027455484
ACH-000222,-0.20959399105108054
ACH-000223,-0.11814461440169136
ACH-000226,-0.3038406349271799
ACH-000227,-0.3892237454855793
ACH-000228,-0.4449628521524906
ACH-000231,-0.15737268656923026
ACH-000232,-0.1599120825959663
ACH-000233,-0.09403277482374124
ACH-000234,-0.27953499521022585
ACH-000235,-0.22412121673370525
ACH-000237,-0.19114866413024853
ACH-000238,-0.4493437033230082
ACH-000242,-0.28077327856285433
ACH-000243,-0.2136668589124318
ACH-000244,-0.3573449887815857
ACH-000246,-0.2558694326372579
ACH-000248,-0.3002488746767001
ACH-000250,-0.20661078594659454
ACH-000251,-0.055413663800280115
ACH-000252,-0.17238493360480522
ACH-000253,-0.22128790287946012
ACH-000255,-0.14313509740020006
ACH-000256,-0.21962367838143368
ACH-000257,-0.23853737324915225
ACH-000258,-0.17614174839195473
ACH-000259,-0.09231547446719356
ACH-000260,-0.14425244878477358
ACH-000261,-0.2975225159750462
ACH-000262,0.1080775530270397
ACH-000263,-0.3045674327777091
ACH-000264,-0.26649861064380065
ACH-000265,-0.15301406088071412
ACH-000266,-0.23968668612843466
ACH-000272,-0.17080605299857346
ACH-000274,-0.2615437461852382
ACH-000277,-0.16841975398807432
ACH-000278,-0.15270208797413454
ACH-000279,-0.11057836672651032
ACH-000280,-0.12523813882385562
ACH-000281,-0.0022340545930057357
ACH-000288,-0.15654155045317691
ACH-000291,-0.2494083547576072
ACH-000293,-0.3299900379339558
ACH-000294,-0.04251031937141557
ACH-000295,-0.09689592490616418
ACH-000296,-0.06567888552907414
ACH-000302,-0.2212936262829105
ACH-000304,-0.23321671030352756
ACH-000307,-0.19791088092161785
ACH-000308,-0.20940273356411607
ACH-000310,-0.1806967501247515
ACH-000311,-0.26952942394856505
ACH-000312,-0.2271412151539649
ACH-000315,-0.005260918833945066
ACH-000316,-0.38416301733173575
ACH-000317,-0.15202951807964396
ACH-000318,-0.2476493843154461
ACH-000319,-0.04747792480755541
ACH-000320,-0.2473628521550199
ACH-000322,-0.14327740626388052
ACH-000323,-0.16609116455209694
ACH-000324,-0.15619111920726675
ACH-000329,-0.2619840005453744
ACH-000330,-0.03493588160902841
ACH-000331,-0.4943916287956381
ACH-000332,-0.12264167794641588
ACH-000334,-0.2097411194816001
ACH-000335,-0.3454874360456407
ACH-000336,-0.12400766405066345
ACH-000337,-0.4397354140114781
ACH-000338,-0.01989825372162773
ACH-000339,-0.2145368048303689
ACH-000341,-0.16727180057690574
ACH-000348,-0.19444784112005534
ACH-000350,-0.05191632152630492
ACH-000352,-0.0991851627811291
ACH-000356,-0.2195294641595028
ACH-000361,-0.23138972191074075
ACH-000362,-0.17834186083043646
ACH-000363,-0.17836323043149752
ACH-000364,-0.03400674306678955
ACH-000365,-0.07510311540034513
ACH-000366,-0.18557846744768366
ACH-000368,-0.29994966126611833
ACH-000374,-0.3834012928734278
ACH-000375,-0.2953376760378192
ACH-000376,-0.038956339089463485
ACH-000381,-0.12764409897831716
ACH-000383,-0.12260547887517775
ACH-000387,-0.2317413272991225
ACH-000389,-0.21858438518449747
ACH-000390,-0.3296579528916818
ACH-000393,-0.18821315157827406
ACH-000395,-0.22480074159956898
ACH-000396,-0.24638098617291115
ACH-000397,-0.3828454555160815
ACH-000401,-0.17964257318425544
ACH-000402,-0.10239933570683812
ACH-000403,-0.3508856653578636
ACH-000404,-0.2016041029739453
ACH-000406,-0.08687443342507763
ACH-000407,-0.17493875684701507
ACH-000408,-0.03171863395816732
ACH-000410,-0.3082327391087238
ACH-000411,-0.13483228855315751
ACH-000414,-0.17999339745603696
ACH-000415,-0.2398700516877305
ACH-000416,-0.1822189870875604
ACH-000420,-0.06767420053801361
ACH-000421,-0.2309759692097813
ACH-000424,0.09058047583555047
ACH-000425,-0.2095077392129764
ACH-000426,-0.2537323143076805
ACH-000427,-0.2978552511794461
ACH-000433,-0.08457163699803405
ACH-000435,-0.06263925048123757
ACH-000436,0.10196007725848302
ACH-000444,-0.21818784394233207
ACH-000445,-0.3052222511117792
ACH-000448,-0.1824645131090859
ACH-000450,-0.1947360403911891
ACH-000452,-0.2700903666700425
ACH-000454,-0.3859659799835765
ACH-000458,-0.2821029679850877
ACH-000459,-0.18318517102127946
ACH-000460,-0.20926808217020815
ACH-000461,-0.22372592297461874
ACH-000463,-0.14673144099321694
ACH-000464,-0.08544913906246646
ACH-000466,-0.04087509957088668
ACH-000467,-0.2738257784134547
ACH-000468,-0.14171314631116108
ACH-000469,-0.052953341079300935
ACH-000470,-0.06670733902783292
ACH-000471,-0.17670308015674313
ACH-000472,-0.1222145054035877
ACH-000473,-0.0021116557224714273
ACH-000475,-0.1269061772619129
ACH-000476,-0.29225071873259256
ACH-000477,-0.2456180020223709
ACH-000479,-0.3509972194015934
ACH-000480,-0.34343617906606344
ACH-000481,-0.2384266305673172
ACH-000483,-0.2978600184565983
ACH-000484,-0.4157914814547569
ACH-000485,-0.2787629172329923
ACH-000486,-0.1023759025842323
ACH-000487,-0.11212803902815413
ACH-000488,-0.2429494588737009
ACH-000490,-0.3219321134133377
ACH-000491,-0.20458249273319093
ACH-000495,-0.3822095274089709
ACH-000496,-0.2153772874680129
ACH-000499,0.02185350813534925
ACH-000500,0.08913511383734937
ACH-000502,-0.26819388673883204
ACH-000503,-0.31021732245597033
ACH-000505,-0.186911601936776
ACH-000507,-0.14713408679342435
ACH-000510,-0.2447090909075652
ACH-000511,-0.2357150305736673
ACH-000512,-0.3244760124909957
ACH-000516,-0.2601440643710095
ACH-000517,-0.2262719218519045
ACH-000518,-0.4888084422125225
ACH-000520,-0.2865665108054956
ACH-000521,-0.1049996808602396
ACH-000522,-0.29892799791707003
ACH-000524,-0.2206735874238204
ACH-000527,-0.16413853784271726
ACH-000528,-0.07314247182130985
ACH-000537,-0.2140081676846989
ACH-000541,0.0804016021502661
ACH-000542,-0.15408823372280378
ACH-000544,-0.1901307075833675
ACH-000545,0.02214423416605481
ACH-000547,-0.11721302057105724
ACH-000548,-0.13921775431570055
ACH-000549,-0.4255140912645299
ACH-000550,-0.08042370191201652
ACH-000552,-0.3635945819023689
ACH-000556,-0.3233851085267007
ACH-000557,-0.03521189695740156
ACH-000569,0.01042439638510362
ACH-000570,-0.12380140916570427
ACH-000571,-0.22406296850240456
ACH-000573,-0.06115494927347302
ACH-000576,-0.24388860650571806
ACH-000579,-0.13717605654595266
ACH-000580,-0.15867460866956312
ACH-000584,-0.251015443562332
ACH-000585,-0.25432582311494706
ACH-000588,-0.20931816237660755
ACH-000589,-0.2656334870047372
ACH-000591,-0.1220390120728482
ACH-000593,-0.15288453096212107
ACH-000600,-0.2804131102561073
ACH-000601,-0.19033395266774214
ACH-000605,-0.2058688624344434
ACH-000606,-0.24428238453164586
ACH-000608,-0.3522388219124005
ACH-000614,-0.19532576271316168
ACH-000616,-0.1944618944815661
ACH-000618,0.0183509562078634
ACH-000619,-0.38227938652891785
ACH-000620,-0.07174980136375678
ACH-000621,-0.25547069764907304
ACH-000622,-0.3024975495296169
ACH-000623,-0.214779567196882
ACH-000624,-0.22493483750210475
ACH-000627,-0.11235524821994076
ACH-000630,-0.1831152121037504
ACH-000631,0.020136296136625948
ACH-000632,-0.187684801675622
ACH-000633,-0.06205444363036384
ACH-000637,-0.12839804199590726
ACH-000638,-0.3487563326753102
ACH-000646,-0.14955501422883766
ACH-000647,-0.2489680717705156
ACH-000648,-0.3083600077059131
ACH-000649,-0.1971122129401528
