,SIGMAR1 (10280)
ACH-000004,-0.16093847266603695
ACH-000005,-0.1964538892022904
ACH-000007,-0.3349464908183886
ACH-000009,-0.3984870787727592
ACH-000011,-0.3677840876157111
ACH-000012,-0.13775663158319332
ACH-000013,-0.10154003552247493
ACH-000014,-0.2564749633763739
ACH-000015,-0.3252975763299718
ACH-000017,-0.2324868874883953
ACH-000018,-0.4240720448016225
ACH-000019,-0.011758305393659813
ACH-000021,-0.3041094550090306
ACH-000022,-0.2427766596598811
ACH-000025,-0.04664116647378025
ACH-000028,-0.20317198565072847
ACH-000030,-0.2432518757305351
ACH-000035,-0.19633661069967093
ACH-000036,-0.27634729837387845
ACH-000037,-0.3315954646744281
ACH-000039,-0.05750660627735452
ACH-000040,-0.2659872829081001
ACH-000041,-0.3006598900622546
ACH-000042,-0.2150907185666868
ACH-000045,-0.21729599891248114
ACH-000047,-0.24964100227468186
ACH-000052,-0.1896341982898806
ACH-000053,-0.18148268204475507
ACH-000054,-0.14641208211855414
ACH-000055,-0.347552078337372
ACH-000060,-0.11574816027456546
ACH-000067,-0.3025933815832997
ACH-000070,-0.40744228960650014
ACH-000075,-0.14496515805286467
ACH-000078,-0.1481189016613344
ACH-000082,-0.1801734266569128
ACH-000085,-0.2357354724214468
ACH-000086,-0.10037791702602247
ACH-000087,-0.06334461222107209
ACH-000092,-0.25683701041844365
ACH-000095,-0.2586702567396025
ACH-000097,-0.25541489155606656
ACH-000098,-0.2816198794316708
ACH-000099,-0.3869579326002838
ACH-000108,-0.15817695594829295
ACH-000113,-0.19840280153479944
ACH-000116,-0.1667863940115058
ACH-000118,-0.27477263031646426
ACH-000120,-0.03796495707597435
ACH-000123,-0.116292797311863
ACH-000127,-0.20177168684206592
ACH-000128,-0.011177629614384614
ACH-000132,-0.22847277957757176
ACH-000133,-0.2477700615314902
ACH-000137,-0.273755550568034
ACH-000138,-0.11883482494108362
ACH-000142,-0.09628528693020202
ACH-000143,-0.23370642148005286
ACH-000146,-0.19454209307128184
ACH-000148,-0.29768381835350743
ACH-000150,-0.3053301510922534
ACH-000152,-0.07490361109328206
ACH-000153,-0.011862757060572314
ACH-000159,-0.21262054164607205
ACH-000160,-0.29120057185695764
ACH-000163,-0.3156316401322329
ACH-000167,-0.13871493012790506
ACH-000168,-0.16394504284337272
ACH-000169,-0.2310493584855828
ACH-000178,-0.19592536862290275
ACH-000183,-0.266380220194544
ACH-000188,-0.3199305810576925
ACH-000189,-0.4803968195376902
ACH-000190,-0.2916720685431686
ACH-000198,-0.1517210815001916
ACH-000203,-0.0623055915776285
ACH-000204,-0.1208004814798393
ACH-000206,-0.10113585108130396
ACH-000207,-0.3190292745762741
ACH-000208,-0.2995514828074773
ACH-000210,-0.11077615486919894
ACH-000211,-0.23129751691314174
ACH-000215,-0.3873863597221784
ACH-000221,-0.1704022222338458
ACH-000222,-0.26124993691045056
ACH-000223,-0.20106269392264264
ACH-000226,-0.3589634989309919
ACH-000227,-0.021660345897631533
ACH-000228,-0.2789688489775252
ACH-000231,-0.1855126685202752
ACH-000232,-0.2617269466763394
ACH-000233,-0.1501848979800977
ACH-000234,-0.09389040931258123
ACH-000235,-0.23103952628773405
ACH-000237,-0.1979738358186042
ACH-000238,-0.3397695936423372
ACH-000242,-0.15242804256320214
ACH-000243,-0.2805332256418433
ACH-000244,-0.1303591646048147
ACH-000246,-0.28514498002402416
ACH-000248,-0.18112413398624175
ACH-000250,-0.16600401501520404
ACH-000251,-0.13570704980061166
ACH-000252,-0.15948402571029366
ACH-000253,-0.13462176575647175
ACH-000255,-0.2749550334068722
ACH-000256,-0.3070062067640031
ACH-000257,-0.0902412530356213
ACH-000258,-0.19441829876772626
ACH-000259,-0.2378721400268252
ACH-000260,-0.2330251024137033
ACH-000261,-0.3571717810524924
ACH-000262,-0.12413038157004655
ACH-000263,-0.1671207371926225
ACH-000264,-0.2912939218382669
ACH-000265,-0.4145419964123911
ACH-000266,-0.2888402011198669
ACH-000272,-0.2939571487395031
ACH-000274,-0.2767512519311056
ACH-000277,-0.17473442748810278
ACH-000278,-0.26759736760310904
ACH-000279,-0.26664398020489904
ACH-000280,-0.12238200250487473
ACH-000281,-0.14443543744191933
ACH-000288,-0.11333281341971285
ACH-000291,-0.23463384815163416
ACH-000293,-0.07128517102400353
ACH-000294,-0.10356532525280658
ACH-000295,-0.3613353454674311
