,ZFC3H1 (196441)
ACH-000004,-0.5314091350649665
ACH-000005,-0.7297217261581109
ACH-000007,-0.4358689271625652
ACH-000009,-0.3552668344513987
ACH-000011,-0.7435363284014298
ACH-000012,-0.3001014134338014
ACH-000013,-0.51816748910541
ACH-000014,-0.4124221822184468
ACH-000015,-0.3580177486491956
ACH-000017,-0.35834525378449555
ACH-000018,-0.6420485189757951
ACH-000019,-0.29128874305227803
ACH-000021,-0.7215022780816838
ACH-000022,-0.5491417237333789
ACH-000025,-0.9589529274483608
ACH-000028,-0.4260855731576347
ACH-000030,-0.5519209429257297
ACH-000035,-0.6823023626406115
ACH-000036,-0.5168105114876811
ACH-000037,-0.6877676249078014
ACH-000039,-0.6106278187221421
ACH-000040,-0.4503084710091677
ACH-000041,-0.4663294577515773
ACH-000042,-0.6504525921040353
ACH-000045,-0.5526576993803908
ACH-000047,-0.34930202256927545
ACH-000052,-0.4384425302199049
ACH-000053,-0.6030217812691283
ACH-000054,-0.5068485699736073
ACH-000055,-0.42274389254948064
ACH-000060,-0.4024928124857467
ACH-000067,-0.6043361620632006
ACH-000070,-0.4849355050363424
ACH-000075,-0.5607756067834552
ACH-000078,-0.5806130627598094
ACH-000082,-0.5809231634511022
ACH-000085,-0.8695133369159918
ACH-000086,-0.5379871486514318
ACH-000087,-0.3232602265231911
ACH-000092,-0.5186354005369836
ACH-000095,-0.47670786546080895
ACH-000097,-0.4914606929127589
ACH-000098,-0.3622167761632091
ACH-000099,-0.6623617563093902
ACH-000108,-0.27948274811542484
ACH-000113,-0.5687771399748982
ACH-000116,-0.5461824822550906
ACH-000118,-0.9119969746131716
ACH-000120,-0.4018112876405344
ACH-000123,-0.4647155118487661
ACH-000127,-0.7253844676488872
ACH-000128,-0.5676525831482044
ACH-000132,-0.4417246450966784
ACH-000133,-0.559454772278087
ACH-000137,-0.648260225627606
ACH-000138,-0.4260801309878806
ACH-000142,-0.3568115745017141
ACH-000143,-0.7181210087108852
ACH-000146,-0.4819982819580741
ACH-000148,-0.5512862084618515
ACH-000150,-0.3772595092277011
ACH-000152,-0.501083415600957
ACH-000153,-0.6745126213427387
ACH-000159,-0.4326024569929723
ACH-000160,-0.5625608748927152
ACH-000163,-0.5517942719943691
ACH-000167,-0.4983443916443599
ACH-000168,-0.3929474518274503
ACH-000169,-0.5174711161709162
ACH-000178,-0.3719127349205963
ACH-000183,-0.5237456791615098
ACH-000188,-0.5493913385866416
ACH-000189,-0.6972602001263752
ACH-000190,-0.7373558667023971
ACH-000198,-0.4516706164902166
ACH-000203,-0.2962367157830303
ACH-000204,-0.1471544740076517
ACH-000206,-0.9242647967331292
ACH-000207,-0.7592822552891577
ACH-000208,-0.6322074986054378
ACH-000210,-0.4575292917671993
ACH-000211,-0.5605682546710984
ACH-000215,-0.5263254179485632
ACH-000221,-0.34433383432338643
ACH-000222,-0.5127143334320019
ACH-000223,-0.8453530069802447
ACH-000226,-0.6704973381871429
ACH-000227,-0.5553441459335634
ACH-000228,-0.6268059525808329
ACH-000231,-0.8236152600685319
ACH-000232,-0.4319093650562947
ACH-000233,-0.7422099687281334
ACH-000234,-0.6484566953379235
ACH-000235,-0.5815938489727939
ACH-000237,-0.5258449964584934
ACH-000238,-0.4449085757141981
ACH-000242,-0.5266390444747104
ACH-000243,-0.6871978571094742
ACH-000244,-0.492646020651094
ACH-000246,-0.29870508102481635
ACH-000248,-0.4353764946624536
ACH-000250,-0.3052145157489609
ACH-000251,-1.2249814048976588
ACH-000252,-0.40482813517571903
ACH-000253,-0.2443492473496957
ACH-000255,-0.6887617759856859
ACH-000256,-0.7160802060036776
ACH-000257,-0.4858613790476574
ACH-000258,-0.3713476684983641
ACH-000259,-0.3286138960482145
ACH-000260,-0.48997953720562504
ACH-000261,-0.5145403002089844
ACH-000262,-0.5443015359992959
ACH-000263,-0.3177669402304861
ACH-000264,-0.5886529962562733
ACH-000265,-0.5254088663931664
ACH-000266,-0.4674368975473888
ACH-000272,-0.4502787268058685
ACH-000274,-0.4858069607148549
ACH-000277,-0.3225789309912494
ACH-000278,-0.5700985290647459
ACH-000279,-0.5100837698615156
ACH-000280,-0.2373175715597517
ACH-000281,-0.5227926078934456
ACH-000288,-0.5010373093676576
ACH-000291,-0.4555475594298376
ACH-000293,-0.4769965220139104
ACH-000294,-0.5898103095193716
ACH-000295,-0.4702923098716459
ACH-000296,-0.7755735443435434
ACH-000302,-0.6125037031393504
ACH-000304,-0.7489729245016628
ACH-000307,-0.4923993125462442
ACH-000308,-0.5476867865618548
ACH-000310,-0.4074205149307119
ACH-000311,-0.6257620914007824
ACH-000312,-0.6386442972694555
ACH-000315,-0.6771340140771253
ACH-000316,-0.5747531254240521
ACH-000317,-0.5153667868966938
ACH-000318,-0.6900926519013247
ACH-000319,-0.5552739220418902
ACH-000320,-0.6525956567472386
ACH-000322,-0.21560635096624212
ACH-000323,-0.39094005013512617
ACH-000324,-0.4075116588965687
ACH-000329,-0.3348277455465404
ACH-000330,-0.4712882778539427
ACH-000331,-0.5572896641510817
ACH-000332,-0.413590483045444
ACH-000334,-0.6939014710389152
ACH-000335,-0.7205644574206697
ACH-000336,-0.7189420194826384
ACH-000337,-0.8403247794918636
ACH-000338,-0.7806586622263675
ACH-000339,-0.7381573718862274
ACH-000341,-0.7225691685970594
ACH-000348,-0.499423150998311
ACH-000350,-0.6108439328191699
ACH-000352,-0.4585313470106101
ACH-000356,-0.6132556353478762
ACH-000361,-0.639442587348131
ACH-000362,-0.592681139707234
ACH-000363,-0.7077396621775514
ACH-000364,-0.8232377611439058
ACH-000365,-0.5041490441717686
ACH-000366,-0.4825310539737873
ACH-000368,-0.5069475127893845
ACH-000374,-0.2800833136940554
ACH-000375,-0.44856153735703297
ACH-000376,-0.6249674959231629
ACH-000381,-0.5722132666906768
ACH-000383,-0.28597918827843866
ACH-000387,-0.4404319516260163
ACH-000389,-0.2848810712952343
ACH-000390,-0.34949668732829337
ACH-000393,-0.683605332855606
ACH-000395,-0.4538691950735155
ACH-000396,-0.3873686023130853
ACH-000397,-0.6822701414822206
ACH-000401,-0.6757882444826624
ACH-000402,-0.4491000835689015
ACH-000403,-0.6107866381019664
ACH-000404,-0.6119456635186631
ACH-000406,-0.6027613128661926
ACH-000407,-0.543313420788186
ACH-000408,-0.8993395357818529
ACH-000410,-0.6603676074440684
ACH-000411,-0.4827497281606605
ACH-000414,-0.614212549449721
ACH-000415,-0.2887305963955226
ACH-000416,-0.5301700327362696
ACH-000420,-0.555897140693728
ACH-000421,-0.4652348437147589
ACH-000424,-0.5539721985613962
ACH-000425,-0.2548703554467036
ACH-000426,-0.7391779385373628
ACH-000427,-0.3785722785263082
ACH-000433,-0.5547004251927208
ACH-000435,-0.6345464295930034
ACH-000436,-0.6331884697365611
ACH-000444,-0.7113826595183712
ACH-000445,-0.5673196691842445
ACH-000448,-0.512155746288241
ACH-000450,-0.6460601177436707
ACH-000452,-0.7313101888114073
ACH-000454,-0.5623496013548651
ACH-000458,-0.6146694537680055
ACH-000459,-0.4408918222664711
ACH-000460,-0.43423063195484224
ACH-000461,-0.291616723977424
ACH-000463,-0.6416247692265138
ACH-000464,-0.4656013668279345
ACH-000466,-0.7381469869584554
ACH-000467,-0.5728041092819659
ACH-000468,-0.5210626280340547
ACH-000469,-0.3972715353591794
ACH-000470,-0.6867765283003572
ACH-000471,-0.3967414193695765
ACH-000472,-0.6236161849019283
ACH-000473,-0.5450465157918268
ACH-000475,-0.5560182021816313
ACH-000476,-0.4514429928900995
ACH-000477,-0.4958596992488757
ACH-000479,-0.6358828332369214
ACH-000480,-0.6248411745701458
ACH-000481,-0.6105788159549337
ACH-000483,-0.8169315631566775
ACH-000484,-0.5380866295554632
ACH-000485,-0.5126098054927979
ACH-000486,-0.5278164192057392
ACH-000487,-0.54307826623262
ACH-000488,-0.3402056533938768
ACH-000490,-0.5905092284550398
ACH-000491,-0.3922718299799255
ACH-000495,-0.3521333421907605
ACH-000496,-0.6533196269174317
ACH-000499,-0.5739470997530634
ACH-000500,-0.24798793498789154
ACH-000502,-0.5881631685282167
ACH-000503,-0.7625329051415817
ACH-000505,-0.4814322816352113
ACH-000507,-0.28588003455416183
ACH-000510,-0.507630324858031
ACH-000511,-0.3355156506943261
ACH-000512,-0.5754897977161187
ACH-000516,-0.580011998310201
ACH-000517,-0.6284387955771533
ACH-000518,-0.4176781809121135
ACH-000520,-0.5948908788748969
ACH-000521,-0.5454963466524638
ACH-000522,-0.6769713775053949
ACH-000524,-0.6299887103875861
ACH-000527,-0.741630860546249
ACH-000528,-0.4617013647821726
ACH-000537,-0.4507123599039906
ACH-000541,-0.5764073950127236
ACH-000542,-0.4959226267493118
ACH-000544,-0.5879306789613075
ACH-000545,-0.5823442578113044
ACH-000547,-0.8499531980913695
ACH-000548,-0.8717366873392434
ACH-000549,-0.6703572989314767
ACH-000550,-0.6908726513728489
ACH-000552,-0.5403394426620951
ACH-000556,-0.341262580291794
ACH-000557,-0.6058713477391855
ACH-000569,-0.6174726260669265
ACH-000570,-0.5444003494733182
ACH-000571,-0.3897108908719224
ACH-000573,-0.5746741330764314
ACH-000576,-0.4037499649422352
ACH-000579,-0.3276555355161131
ACH-000580,-0.5603234439812581
ACH-000584,-0.5291768731137394
ACH-000585,-0.5272335410421507
ACH-000588,-0.6689363673343386
ACH-000589,-0.7620525629485769
ACH-000591,-0.5667502075991953
ACH-000593,-0.3352934009611532
ACH-000600,-0.41370000831518905
ACH-000601,-0.5209248860506241
ACH-000605,-0.5614968093197824
ACH-000606,-0.8031807308376264
ACH-000608,-0.5619896337145049
ACH-000614,-0.5684206589605945
ACH-000616,-0.6030244215381095
ACH-000618,-0.8914392421080944
ACH-000619,-0.2943692028352876
ACH-000620,-0.4064843242615525
ACH-000621,-0.5824380487213314
ACH-000622,-0.5761970957390482
ACH-000623,-0.6675129574847286
ACH-000624,-0.6808985655080418
ACH-000627,-0.3138327415819199
ACH-000630,-0.4816725522286957
ACH-000631,-0.6786506224151373
ACH-000632,-0.2419985824364932
ACH-000633,-0.3590855490821633
ACH-000637,-0.6410366293864292
ACH-000638,-0.3938566072958982
ACH-000646,-0.3742531483361089
ACH-000647,-0.5977438390597037
ACH-000648,-0.5383794546525568
ACH-000649,-0.4156509491448205
ACH-000651,-0.4170138929012824
ACH-000652,-0.4205488874641722
ACH-000653,-0.6772451281253832
ACH-000657,-0.5481055701113771
ACH-000658,-0.5302228032533972
ACH-000661,-0.8082588853789822
ACH-000662,-0.5144508179460114
ACH-000663,-0.5819747639774638
