,CTSS (1520)
ACH-000004,0.09648198629840936
ACH-000005,0.06091526899229537
ACH-000007,-0.0888158581891152
ACH-000009,-0.10726905660880552
ACH-000011,0.06530661634291096
ACH-000012,0.01174365192524156
ACH-000013,0.07640659434928468
ACH-000014,0.017556700168703414
ACH-000015,0.052724349594582436
ACH-000017,-0.2921123118324821
ACH-000018,0.11940481981834848
ACH-000019,-0.013783140624295772
ACH-000021,-0.0174148565230646
ACH-000022,-0.01794652332433854
ACH-000025,-0.1180828060839159
ACH-000028,-0.07846753308730238
ACH-000030,-0.05076853194998827
ACH-000035,0.0154933181479494
ACH-000036,-0.00411060919273934
ACH-000037,0.01661029404393086
ACH-000039,-0.2026788839736086
ACH-000040,-0.13379249216155487
ACH-000041,-0.14861303474429485
ACH-000042,-0.07106507277082406
ACH-000045,0.02801785545600806
ACH-000047,-0.04792697830777279
ACH-000052,-0.00564259366607232
ACH-000053,-0.09291905098935643
ACH-000054,-0.0040225857416716
ACH-000055,-0.09689126013949703
ACH-000060,0.0016820054176840491
ACH-000067,0.006112693903392689
ACH-000070,0.011457071133217565
ACH-000075,0.05473897396902748
ACH-000078,-0.1410674697183645
ACH-000082,-0.1308255961430807
ACH-000085,0.05954022738096156
ACH-000086,-0.11352507651179496
ACH-000087,0.04987190467189469
ACH-000092,-0.08545460769261089
ACH-000095,0.03980478707878827
ACH-000097,-0.1708530259942254
ACH-000098,-0.1281201241473377
ACH-000099,-0.002910265198616081
ACH-000108,0.09365535182985092
ACH-000113,-0.010065887019206184
ACH-000116,-0.04686120679186412
ACH-000118,0.04244171615183965
ACH-000120,0.16462189525506266
ACH-000123,-0.05904157921491018
ACH-000127,0.0015408511519461757
ACH-000128,0.07781516844858123
ACH-000132,0.03495846578679003
ACH-000133,-0.21866797881487968
ACH-000137,0.009732931688547112
ACH-000138,0.15388579423964438
ACH-000142,-0.033448448074723136
ACH-000143,-0.1282319583462288
ACH-000146,0.10347044708534764
ACH-000148,-0.045330443906719066
ACH-000150,0.04154506169446447
ACH-000152,0.02348109164730641
ACH-000153,-0.12381111661399816
