,NPM1 (4869)
ACH-000004,-0.2847058789508858
ACH-000005,-0.6871524650473614
ACH-000007,-0.7280953407863071
ACH-000009,-0.6559455775987131
ACH-000011,-0.4278974665201105
ACH-000012,-0.7926095479852105
ACH-000013,-0.4639369963055057
ACH-000014,-0.3112314676440268
ACH-000015,-0.3975239812191456
ACH-000017,-0.3682337710263727
ACH-000018,-0.4698406746914038
ACH-000019,-0.3891605559759441
ACH-000021,-0.5176896099408126
ACH-000022,-0.2679883870583014
ACH-000025,-0.5672212237230336
ACH-000028,-0.51914201661737
ACH-000030,-0.4901998325009243
ACH-000035,-0.7191145385926194
ACH-000036,-0.4713462093790205
ACH-000037,-0.5574964407340436
ACH-000039,-0.6287150614231144
ACH-000040,-0.8296805737842984
ACH-000041,-0.4051860298266329
ACH-000042,-0.5110359533134572
ACH-000045,-0.34155192088561737
ACH-000047,-0.4743778324893547
ACH-000052,-0.7712941473227498
ACH-000053,-0.8228697227852737
ACH-000054,-0.6439882517520116
ACH-000055,-0.5459799993008072
ACH-000060,-0.6299656780952437
ACH-000067,-0.9917428207186044
ACH-000070,-0.6362387079137054
ACH-000075,-0.6102777787863145
ACH-000078,-0.608815624239997
ACH-000082,-0.4615308260470616
ACH-000085,-0.6015222469344914
ACH-000086,-0.6827294172244925
ACH-000087,-0.5992867659302654
ACH-000092,-0.5894518400579175
ACH-000095,-0.4857858508291663
ACH-000097,-0.5611398615053699
ACH-000098,-0.5139085819722483
ACH-000099,-0.6790826148997694
ACH-000108,-0.4850034723019279
ACH-000113,-0.34838789999883285
ACH-000116,-0.33997034226597345
ACH-000118,-0.5478234766451716
ACH-000120,-0.6127105117535315
ACH-000123,-0.4677535518743102
ACH-000127,-0.402111884095658
ACH-000128,-0.5640369938776544
ACH-000132,-0.6407802455942683
ACH-000133,-0.5206337008705838
ACH-000137,-0.5719706666229766
ACH-000138,-0.6044299409595877
ACH-000142,-0.5508714454587739
ACH-000143,-0.4072378591504984
ACH-000146,-0.32688301779671697
ACH-000148,-0.4703601367889688
ACH-000150,-0.6653877763777555
ACH-000152,-0.7354235344965555
ACH-000153,-0.5852297295439197
ACH-000159,-0.5002026801769082
ACH-000160,-0.08447888180069854
ACH-000163,-0.6005183311913571
ACH-000167,-0.5161917719415225
ACH-000168,-0.4613138442524545
ACH-000169,-0.5751062739892352
ACH-000178,-0.4671231747771315
ACH-000183,-0.30424172303192154
ACH-000188,-0.5573164695533632
ACH-000189,-0.7178788668860966
ACH-000190,-0.30794814284670075
ACH-000198,-0.5157020494609723
ACH-000203,-0.4367281569283199
ACH-000204,-0.7035838458534134
ACH-000206,-0.5381905502117759
ACH-000207,-0.5111596619037384
ACH-000208,-0.6081735181299593
ACH-000210,-0.5817442514584573
ACH-000211,-0.7180074108727946
ACH-000215,-0.71124888617771
ACH-000221,-0.5214546335287114
ACH-000222,-0.4028851181555709
ACH-000223,-0.7696933952955056
ACH-000226,-0.5533863780086585
ACH-000227,-0.4193458871456797
ACH-000228,-0.5339468120862835
ACH-000231,-0.5367913517498121
ACH-000232,-0.4660011221197536
ACH-000233,-0.7041594320134804
ACH-000234,-0.4769919629394224
ACH-000235,-0.5559876179913176
ACH-000237,-0.4998872478697371
ACH-000238,-0.563264527099206
ACH-000242,-0.17296393338785732
ACH-000243,-0.469091690546275
ACH-000244,-0.5380733574213391
ACH-000246,-0.523665723500273
ACH-000248,-0.5698265840532457
ACH-000250,-0.6013556659277473
ACH-000251,-0.2596756738562549
ACH-000252,-0.6757726997137192
ACH-000253,-0.45050811036871397
ACH-000255,-0.5272776329874819
ACH-000256,-0.7743597390010543
ACH-000257,-0.7458554486837125
ACH-000258,-0.7821749782128845
ACH-000259,-0.4268210414437314
ACH-000260,-0.558301184142261
ACH-000261,-0.5989681486881618
ACH-000262,-0.8082767580112884
ACH-000263,-0.5063571957628671
ACH-000264,-0.7121006771061207
ACH-000265,-0.4098683825781305
ACH-000266,-0.4522687390664863
ACH-000272,-0.6477305361436906
ACH-000274,-0.6978801181360287
ACH-000277,-0.3164989097334811
ACH-000278,-0.2847473441776325
ACH-000279,-0.4915385734534203
ACH-000280,-0.5865238134470389
ACH-000281,-0.6561445878618399
ACH-000288,-0.5745729637351443
ACH-000291,-0.6182966584577267
ACH-000293,-0.2448650596242999
ACH-000294,-0.14968718213926402
ACH-000295,-0.4377964143286887
ACH-000296,-0.6327930259002794
ACH-000302,-0.2719549602132715
ACH-000304,-0.5384420253592218
ACH-000307,-0.2920130638679864
ACH-000308,-0.5913932032509026
ACH-000310,-0.5102773259387979
ACH-000311,-0.39741800148371176
ACH-000312,-0.33178324470680753
ACH-000315,-0.4559910375006939
ACH-000316,-0.4922301676981012
ACH-000317,-0.3071811344428185
ACH-000318,-0.38607264999538815
ACH-000319,-0.6521063613282917
ACH-000320,-0.6047669316384514
ACH-000322,-0.8536935431095044
ACH-000323,-0.6244996861270314
ACH-000324,-0.6339195810800115
ACH-000329,-0.4862846447385243
ACH-000330,-0.6309304495942325
ACH-000331,-0.4900159627813029
ACH-000332,-0.44018905305451866
ACH-000334,-0.4695554975419561
ACH-000335,-0.5955564555584844
ACH-000336,-0.660351332187205
ACH-000337,-0.5343673016969933
ACH-000338,-0.7747262241851378
ACH-000339,-0.5037440626643189
ACH-000341,-0.570714294003687
ACH-000348,-0.41861858792081663
ACH-000350,-0.4139076343657335
ACH-000352,-0.4855352322238347
ACH-000356,-0.5895772488952792
ACH-000361,-0.5200162057565764
ACH-000362,-0.4258573944217685
ACH-000363,-0.4619599688701557
ACH-000364,-0.831172888156241
ACH-000365,-0.4792705772370342
ACH-000366,-0.4779414974652297
ACH-000368,-0.5636034763685059
ACH-000374,-0.7134175531711815
ACH-000375,-0.5904944099020643
ACH-000376,-0.6881180568779923
ACH-000381,-0.5245170321679109
ACH-000383,-0.42134926196545225
ACH-000387,-0.29410299529129674
ACH-000389,-0.7563524275781381
ACH-000390,-0.5110195283391977
ACH-000393,-0.6162438313060017
ACH-000395,-0.6315659294483694
ACH-000396,-0.7462111861660728
ACH-000397,-0.4440181629296046
ACH-000401,-0.3670028867113279
ACH-000402,-0.11121384334801933
ACH-000403,-0.4756097884578553
ACH-000404,-0.4256348829252053
ACH-000406,-0.4393725260065796
ACH-000407,-0.4826577199630572
ACH-000408,-0.5694124196536269
ACH-000410,-0.6137606148213078
ACH-000411,-0.5634642990511894
ACH-000414,-0.2855372741704086
ACH-000415,-0.4225213611281973
ACH-000416,-0.522542366637077
ACH-000420,-0.6878457285138162
ACH-000421,-0.5290967533361962
ACH-000424,-0.734745562951713
ACH-000425,-0.6649350618482741
ACH-000426,0.06038880122695275
ACH-000427,-0.3469817981626652
ACH-000433,-0.6809425155950819
ACH-000435,-0.6179413745302329
ACH-000436,-0.5533281526232179
ACH-000444,-0.6339005662814161
ACH-000445,-0.5698271443763167
ACH-000448,-0.4407797803507299
ACH-000450,-0.5157500377348129
ACH-000452,-0.3516519268366889
ACH-000454,-0.43893758243661457
ACH-000458,-0.4634330698681859
ACH-000459,-0.20458643270718369
ACH-000460,-0.5334573687137621
ACH-000461,-0.5595742531003719
ACH-000463,-0.5690597626075894
ACH-000464,-0.6695166937444659
ACH-000466,-0.2103224277891779
ACH-000467,-0.5353831213269715
ACH-000468,-0.3176952492672447
ACH-000469,-0.7473216086718699
ACH-000470,-0.584556741877962
ACH-000471,-0.5918317747947679
ACH-000472,-0.2826447484917116
ACH-000473,-0.4841155250108408
ACH-000475,-0.5838149008806611
ACH-000476,-0.4345735545651376
ACH-000477,-0.7759534186634733
ACH-000479,-0.9472279659666516
ACH-000480,-0.4545639531202856
ACH-000481,-0.5454012184566138
ACH-000483,-0.4025988070456892
ACH-000484,-0.6237854409222664
ACH-000485,-0.6822840283593448
ACH-000486,-0.5308204739094299
ACH-000487,-0.5431142206360609
ACH-000488,-0.4990193080781277
ACH-000490,-0.5256548446071899
ACH-000491,-0.5308307068879746
ACH-000495,-0.5600264811341871
ACH-000496,-0.5839073684424979
ACH-000499,-0.5943132543667994
ACH-000500,-0.3431017433069159
ACH-000502,-0.39820802968667424
ACH-000503,-0.7055407702974118
ACH-000505,-0.6208991183555806
ACH-000507,-0.5670044519584312
ACH-000510,-0.4478566536829223
ACH-000511,-0.7740485793749498
ACH-000512,-0.4786937183523807
ACH-000516,-0.6671563049355456
ACH-000517,-0.5459076298919514
