,MAFF (23764)
ACH-000411,0.03857877588598741
ACH-000414,-0.10524293015665412
ACH-000415,-0.1676720735347962
ACH-000416,-0.1245672432752785
ACH-000420,-0.2302979771637308
ACH-000421,-0.15219435394759614
ACH-000424,0.065694929846729
ACH-000425,-0.3557879958659101
ACH-000426,-0.09803300180967232
ACH-000427,-0.03805707857892138
ACH-000433,-0.13379401823769513
ACH-000435,-0.1243242166904152
ACH-000436,-0.02242912057184621
ACH-000444,0.08472673924846143
ACH-000445,-0.02051796830020016
ACH-000448,-0.14849788493498794
ACH-000450,-0.3491064859045687
ACH-000452,-0.25517366497148497
ACH-000454,-0.2805902027497477
ACH-000458,-0.2339112379200045
ACH-000459,0.06187826146788921
ACH-000460,-0.18885685135254632
ACH-000461,-0.23067142468976914
ACH-000463,-0.16855224252149625
ACH-000464,-0.2314168748860965
ACH-000466,0.16066265382374606
ACH-000467,-0.14005896619461689
ACH-000468,-0.30154401130167474
ACH-000469,-0.12114492128938292
ACH-000470,-0.3131441823204767
ACH-000471,-0.17136588151000975
ACH-000472,-0.21412607954167345
ACH-000473,-0.4479815597453751
ACH-000475,-0.1559049938488554
ACH-000476,-0.2299760682447712
ACH-000477,-0.20977211631491754
ACH-000479,-0.2933296465923257
ACH-000480,-0.2549998872736988
ACH-000481,-0.3058522698385766
ACH-000483,-0.270115158527198
ACH-000484,-0.16851632782620987
ACH-000485,-0.18934347509621952
ACH-000486,-0.1597764200208497
ACH-000487,-0.0883813300936934
ACH-000488,-0.1791046897185619
ACH-000490,-0.34029917397469195
ACH-000491,-0.17505170759057773
ACH-000495,0.02399801446945736
ACH-000496,-0.11442206633499565
ACH-000499,-0.17950052490041726
ACH-000500,-0.6515201014123837
ACH-000502,-0.24720307386427945
ACH-000503,0.02894029036727987
ACH-000505,-0.13326549770729035
ACH-000507,-0.3761949590993134
ACH-000510,-0.1672456749972342
ACH-000511,-0.2907321222437258
ACH-000512,-0.2631374420241248
ACH-000516,-0.3214483516244275
ACH-000517,-0.10041456097336453
ACH-000518,0.03975305848376387
ACH-000520,-0.19648721171354572
ACH-000521,-0.08248331811440386
ACH-000522,0.007109148296903479
ACH-000524,-0.1544848318104442
ACH-000527,-0.19522638506209505
ACH-000528,-0.22048163783592287
ACH-000537,-0.2673408099595087
ACH-000541,-0.2763991019768254
ACH-000542,-0.2912746752916265
ACH-000544,-0.13216363465859515
ACH-000545,-0.2588006880026309
ACH-000547,-0.1202454614718012
ACH-000548,-0.2835101399592554
ACH-000549,-0.2476927486209748
ACH-000550,-0.2374182252856499
ACH-000552,-0.3376560521898015
ACH-000556,-0.1905008127493944
ACH-000557,-0.19376544837314533
ACH-000569,-0.3398911853082182
ACH-000570,-0.2435440409654976
ACH-000571,-0.1403244132458918
ACH-000573,-0.26145712252169506
ACH-000576,-0.3754578997582616
ACH-000579,-0.1443841196574252
ACH-000580,-0.1842068914538404
ACH-000584,-0.182425080354428
ACH-000585,-0.1146330771905876
ACH-000588,-0.2142627596002375
ACH-000589,-0.05567234632927693
ACH-000591,-0.3643847085159476
ACH-000593,-0.14095196329754564
ACH-000600,-0.039571834789038016
ACH-000601,-0.19060645991108474
ACH-000605,-0.0874983197700868
ACH-000606,-0.1492577617410571
ACH-000608,-0.2808110675493767
ACH-000614,-0.19123605965035567
ACH-000616,-0.15118807812276902
ACH-000618,-0.03227938892162307
ACH-000619,-0.3962901001870586
ACH-000620,-0.11941645337754782
ACH-000621,-0.15898346290062795
ACH-000622,-0.15884282075046044
ACH-000623,-0.4043207200861279
ACH-000624,-0.15767079601446718
ACH-000627,-0.0545344481565913
ACH-000630,-0.2876503824240473
ACH-000631,-0.2205264043146463
ACH-000632,-0.31431889414078085
ACH-000633,-0.5325794366686133
ACH-000637,-0.07788529261215099
ACH-000638,-0.14638210588047176
ACH-000646,-0.06868976962892878
ACH-000647,-0.20028118564108294
ACH-000648,-0.20122568050189996
ACH-000649,-0.09397306795041066
ACH-000651,-0.15632208442595424
ACH-000652,-0.5700186180541615
ACH-000653,-0.16582297724569295
ACH-000657,-0.19019039802908536
