,MAPKAP1 (79109)
ACH-000004,-0.0687665241567951
ACH-000005,-0.4119165671603266
ACH-000007,-0.3596087195668725
ACH-000009,-0.3852539821402459
ACH-000011,-0.4314097590346896
ACH-000012,-0.035807029792881306
ACH-000013,-0.5572564960407718
ACH-000014,-0.62947897980329
ACH-000015,-0.1717429060120545
ACH-000017,-0.7958255444578799
ACH-000018,-0.20392854773599356
ACH-000019,-0.4710101166397463
ACH-000021,-0.2703049325112093
ACH-000022,-0.3702019973331321
ACH-000025,-0.3188159661891993
ACH-000028,-0.26084844040127203
ACH-000030,-0.20090591813328704
ACH-000035,-0.281722510540042
ACH-000036,-0.3073779245072095
ACH-000037,-0.1132418887461908
ACH-000039,-0.4809718486458199
ACH-000040,-0.2906299807741189
ACH-000041,-0.4741529693790916
ACH-000042,-0.3483485808598449
ACH-000045,-0.12345947939083178
ACH-000047,-0.3073624870833093
ACH-000052,-0.3301088731356158
ACH-000053,-0.2474114315766232
ACH-000054,-0.3323870527532055
ACH-000055,-0.003354885512339145
ACH-000060,-0.3234776155426027
ACH-000067,-0.3696586914116177
ACH-000070,-0.3780677685837101
ACH-000075,-0.22939274757008554
ACH-000078,-0.2874614836589852
ACH-000082,-0.3761138123633273
ACH-000085,-0.4310169084638677
ACH-000086,-0.4515865191830898
ACH-000087,-0.5806259394311416
ACH-000092,-0.2697444268791555
ACH-000095,-0.4785574870484085
ACH-000097,-0.5218093215210294
ACH-000098,-0.4856303152365766
ACH-000099,-0.31012084504060283
ACH-000108,-0.42253503650433705
ACH-000113,-0.22883166950039915
ACH-000116,-0.12710691904160676
ACH-000118,-0.4303692457714893
ACH-000120,-0.4070078590532973
ACH-000123,-0.19374611755165275
ACH-000127,-0.21488168018426387
ACH-000128,-0.4026453917787406
ACH-000132,-0.15561988537703653
ACH-000133,-0.2378482250585349
ACH-000137,-0.1696858224041325
ACH-000138,-0.2689863142360452
ACH-000142,-0.36561756113771066
ACH-000143,-0.424506844886116
ACH-000146,-0.3477015937621296
ACH-000148,-0.5027085987103824
ACH-000150,-0.3318539837256944
ACH-000152,-0.5086082247532638
ACH-000153,-0.2158585700456621
ACH-000159,-0.5615198271094198
ACH-000160,-0.2317240270282235
ACH-000163,-0.4323418150529655
ACH-000167,-0.6906469392996359
ACH-000168,-0.2090872185376855
ACH-000169,-0.15485907378405328
ACH-000178,-0.513928282731797
ACH-000183,-0.5607552176650331
ACH-000188,-0.09925653972850992
ACH-000189,-0.3519471708488212
ACH-000190,-0.32238234983585584
ACH-000198,-0.09549727839012508
ACH-000203,-0.29465069619315504
ACH-000204,-0.6309425237949219
ACH-000206,-0.21081418265341573
ACH-000207,-0.3484241758291156
ACH-000208,-0.09309448715612782
ACH-000210,-0.34003288725981634
ACH-000211,-0.3554183600821718
ACH-000215,-0.4017203405797253
ACH-000221,-0.05572667564958127
ACH-000222,-0.532851540629654
ACH-000223,-0.2012530214788044
ACH-000226,-0.01113466035888
ACH-000227,-0.32719946581934584
ACH-000228,-0.39817308886408265
ACH-000231,-0.4288374040520704
ACH-000232,-0.5030971239521516
ACH-000233,-0.12988904843611815
ACH-000234,-0.40131127258675175
ACH-000235,-0.3806917250863913
ACH-000237,-0.30764613266009866
ACH-000238,-0.3102428382999477
ACH-000242,-0.05350992278110701
ACH-000243,-0.2407128788116052
ACH-000244,-0.2462663368189179
ACH-000246,-0.3731919459495029
ACH-000248,-0.3898719269415789
ACH-000250,-0.2263760379655832
ACH-000251,-0.09667065649311668
ACH-000252,-0.3531924339376423
ACH-000253,-0.1918053953720648
ACH-000255,-0.4606028430237878
ACH-000256,-0.14109513538001964
ACH-000257,-0.43436689358433744
ACH-000258,-0.3195822229191605
ACH-000259,-0.12223029534515008
ACH-000260,-0.289918231043744
ACH-000261,-0.3981705882463712
ACH-000262,-0.34334956131594424
ACH-000263,-0.42779438112417895
ACH-000264,-0.2609317409314849
ACH-000265,-0.2437302869674974
ACH-000266,-0.27680545770730725
ACH-000272,-0.4755495227802315
ACH-000274,-0.20374398558401935
ACH-000277,-0.5283467752428359
ACH-000278,-0.15345778950321426
ACH-000279,-0.3432036132731877
ACH-000280,-0.5317559398053378
ACH-000281,-0.26717833645738714
ACH-000288,-0.5816193795331839
ACH-000291,-0.39094680128645004
ACH-000293,-0.4416933797013813
ACH-000294,-0.4251798522679123
ACH-000295,-0.30246014732138915
ACH-000296,-0.29910153056304056
ACH-000302,-0.3705288080044459
ACH-000304,-0.5450357018056426
ACH-000307,-0.3153077586663317
ACH-000308,-0.25432317236820456
ACH-000310,-0.4044693337133779
ACH-000311,-0.4373999931042412
ACH-000312,-0.2879600174877192
ACH-000315,-0.4844022434670733
ACH-000316,-0.2850350246552342
ACH-000317,-0.449399659449767
ACH-000318,-0.23266570434703815
ACH-000319,-0.2384206732143049
ACH-000320,-0.20104853965715855
ACH-000322,-0.6130186098932056
ACH-000323,-0.6583815801062489
ACH-000324,-0.19545247753153144
ACH-000329,-0.2896230352412287
ACH-000330,-0.5631455287153609
ACH-000331,-0.21119729025721184
ACH-000332,-0.2435282193608083
ACH-000334,-0.2141689419132151
