,DBR1 (51163)
ACH-000004,-1.6664114686462903
ACH-000005,-1.6554533573939831
ACH-000007,-1.4846722549882898
ACH-000009,-1.5226613057280314
ACH-000011,-1.2508730503112178
ACH-000012,-1.4159607814032331
ACH-000013,-1.4447266290117666
ACH-000014,-1.5728302373906011
ACH-000015,-1.5620134866528383
ACH-000017,-1.392584117447179
ACH-000018,-1.589586357001914
ACH-000019,-1.3055776691412353
ACH-000021,-1.5288289117071483
ACH-000022,-1.3370882656572096
ACH-000025,-1.7221367683789781
ACH-000028,-1.3729925559800902
ACH-000030,-1.428343044909333
ACH-000035,-1.5325684279488616
ACH-000036,-1.2763801925718607
ACH-000037,-0.9908451329864656
ACH-000039,-1.3942273878713556
ACH-000040,-1.3264770137621409
ACH-000041,-1.7428969810058716
ACH-000042,-1.4672496593577653
ACH-000045,-1.4889668248542256
ACH-000047,-1.6223915798552315
ACH-000052,-1.5563281848474606
ACH-000053,-1.5180847157121788
ACH-000054,-1.3171426482804505
ACH-000055,-1.6255792830351194
ACH-000060,-1.3586893007319971
ACH-000067,-1.3621348251040624
ACH-000070,-1.4577382721298957
ACH-000075,-1.2290856795598624
ACH-000078,-1.4602152011492668
ACH-000082,-1.5618666845632203
ACH-000085,-1.5793218902403958
ACH-000086,-1.3371749424168675
ACH-000087,-1.4764238656777409
ACH-000092,-1.4251116599302474
ACH-000095,-1.4564320352863995
ACH-000097,-1.3820358667428458
ACH-000098,-1.4765228922077407
ACH-000099,-1.344468308811341
ACH-000108,-1.491255919262091
ACH-000113,-1.4141701191567986
ACH-000116,-1.4162423433539713
ACH-000118,-1.4896157707277224
ACH-000120,-1.2565788767645951
ACH-000123,-1.4984446327247343
ACH-000127,-1.3180957625258438
ACH-000128,-1.4455239574778425
ACH-000132,-1.3902150586716755
ACH-000133,-1.4055002054676409
ACH-000137,-1.4890763613518048
ACH-000138,-1.4173558689897794
ACH-000142,-1.5558621590673556
ACH-000143,-1.252268828176453
ACH-000146,-1.5241375042920517
ACH-000148,-1.6177289302423306
ACH-000150,-1.4166539794270223
ACH-000152,-1.2953625237167619
ACH-000153,-1.7047483422427232
ACH-000159,-1.2499888884813444
ACH-000160,-1.6300870491640889
ACH-000163,-1.4427454955503656
ACH-000167,-1.8986925414067335
ACH-000168,-1.4142426082593873
ACH-000169,-1.3467245535289778
ACH-000178,-1.3982628074435983
ACH-000183,-1.3322466356014782
ACH-000188,-1.1862565106427254
ACH-000189,-1.2735909258976277
ACH-000190,-1.3998127436654544
ACH-000198,-1.278141878767456
ACH-000203,-1.4687130661470569
ACH-000204,-1.5953618565201235
ACH-000206,-1.7675601708618365
ACH-000207,-1.206921965113961
ACH-000208,-1.360953549665524
ACH-000210,-1.4164858515332135
ACH-000211,-1.5047921895653271
ACH-000215,-1.3316076033962256
ACH-000221,-1.8315822119864265
ACH-000222,-1.5760688978242832
ACH-000223,-1.4976527075606842
ACH-000226,-1.4815448456685356
ACH-000227,-0.8357920718025765
ACH-000228,-1.630761336296232
ACH-000231,-1.3786861775978188
ACH-000232,-1.622377420136542
ACH-000233,-1.6054590360743248
ACH-000234,-1.6322766547706449
ACH-000235,-1.556559830268461
ACH-000237,-1.6476321515574757
ACH-000238,-1.321342127030457
ACH-000242,-1.5290801166872094
ACH-000243,-1.5305332013119934
ACH-000244,-1.1743889534406284
ACH-000246,-1.4056640105247666
ACH-000248,-1.5552004610987176
ACH-000250,-1.2631861656022143
ACH-000251,-1.6242929283762992
ACH-000252,-1.9693850225507088
ACH-000253,-1.5870846124078033
ACH-000255,-1.265745732261157
ACH-000256,-1.4446721549003705
ACH-000257,-1.1717895456389031
ACH-000258,-1.1697190696938
ACH-000259,-1.5802699931850133
ACH-000260,-1.5273361106727863
ACH-000261,-1.4698645070341432
ACH-000262,-1.3787508935282449
ACH-000263,-1.4782284598989748
ACH-000264,-1.3699106510411525
ACH-000265,-1.6297442924304015
ACH-000266,-1.4647160998720474
ACH-000272,-1.4663338596868651
ACH-000274,-1.1978393933980018
ACH-000277,-1.3318280729813723
ACH-000278,-1.5146746504620268
