,NDOR1 (27158)
ACH-000004,-0.894425757410925
ACH-000005,-0.9128110542124812
ACH-000007,-0.6818887204726964
ACH-000009,-0.6796721620517292
ACH-000011,-0.531712586896367
ACH-000012,-0.8464778150388239
ACH-000013,-0.6466226440325858
ACH-000014,-0.8606933038055558
ACH-000015,-0.9007866204632948
ACH-000017,-0.8206533983225971
ACH-000018,-1.0580764974449932
ACH-000019,-0.5660894610411905
ACH-000021,-0.8895689625198453
ACH-000022,-0.7622065719040799
ACH-000025,-0.8624987000271527
ACH-000028,-0.8145078975946859
ACH-000030,-0.8896855748795011
ACH-000035,-0.931298758616918
ACH-000036,-0.8362233424342979
ACH-000037,-0.4802761679423866
ACH-000039,-0.9136503597862309
ACH-000040,-0.8040471148519474
ACH-000041,-0.7196247041844692
ACH-000042,-0.945517848091881
ACH-000045,-0.6632578806579792
ACH-000047,-0.9460466657025304
ACH-000052,-0.9567347080544156
ACH-000053,-0.7380492267005104
ACH-000054,-0.8223493200985651
ACH-000055,-0.6663439365668745
ACH-000060,-0.8380700475423944
ACH-000067,-0.8438378199290514
ACH-000070,-0.7257509943444912
ACH-000075,-0.6810805274154325
ACH-000078,-0.6656200834076549
ACH-000082,-0.5596603568830125
ACH-000085,-0.6651447183916003
ACH-000086,-0.8108718540612355
ACH-000087,-0.7075978592709734
ACH-000092,-0.8195836030601216
ACH-000095,-0.653292613294886
ACH-000097,-0.8273234145736479
ACH-000098,-1.0900563198509476
ACH-000099,-0.828597129673419
ACH-000108,-0.8117355780732077
ACH-000113,-0.5898854550956728
ACH-000116,-0.7539093530839505
ACH-000118,-0.7205559406367719
ACH-000120,-0.7253811080777359
ACH-000123,-0.8616249517274607
ACH-000127,-0.8562854887331035
ACH-000128,-0.9463025354976891
ACH-000132,-0.7855575285721332
ACH-000133,-1.060577918589926
ACH-000137,-0.7960501407552808
ACH-000138,-0.9281497924747748
ACH-000142,-0.9964591776546804
ACH-000143,-0.7936587945239816
ACH-000146,-0.4092289759449763
ACH-000148,-0.9236834077740956
ACH-000150,-0.9388166110603926
ACH-000152,-0.9123801256719702
ACH-000153,-0.8617545314190697
ACH-000159,-1.1115581065621516
ACH-000160,-0.5452714471422796
ACH-000163,-0.9390613614603308
ACH-000167,-0.7577965607509451
ACH-000168,-0.4708806985058029
ACH-000169,-0.6936291675301924
ACH-000178,-0.727405865412163
ACH-000183,-0.8530226611275029
ACH-000188,-0.6016803184923825
ACH-000189,-0.835054123056504
ACH-000190,-1.052720711422655
ACH-000198,-0.7356718405291264
ACH-000203,-1.2822509340209045
ACH-000204,-1.0703409928429974
ACH-000206,-0.7681145988346226
ACH-000207,-0.8670795863947796
ACH-000208,-0.8249394410245899
