,GALC (2581)
ACH-000004,-0.11878667352106555
ACH-000005,-0.4528472458191846
ACH-000007,-0.3112064836351245
ACH-000009,-0.2448642793311603
ACH-000011,-0.14033863509792366
ACH-000012,-0.06279947446830368
ACH-000013,-0.19782093139734028
ACH-000014,0.005015689678978571
ACH-000015,-0.1074721693315924
ACH-000017,-0.2552966478644656
ACH-000018,-0.13670538811384678
ACH-000019,-0.19577142900270555
ACH-000021,-0.0180482363641608
ACH-000022,-0.08427821798749198
ACH-000025,-0.2405572036558611
ACH-000028,-0.07564792233855172
ACH-000030,-0.20997433409940608
ACH-000035,0.15003795403994818
ACH-000036,-0.14938591511530355
ACH-000037,-0.11548236401248628
ACH-000039,-0.21458231799722602
ACH-000040,-0.07690233572549042
ACH-000041,-0.1992154219285364
ACH-000042,-0.15164393591234493
ACH-000045,-0.3230858268591566
ACH-000047,-0.15176164177081197
ACH-000052,-0.013896439284302838
ACH-000053,-0.15817389718039246
ACH-000054,-0.0924253309627794
ACH-000055,-0.09386671524160098
ACH-000060,-0.16865283378011248
ACH-000067,-0.08695468631194765
ACH-000070,-0.14087533413927694
ACH-000075,-0.1263272332804695
ACH-000078,-0.23445117769602655
ACH-000082,-0.3241828601809965
ACH-000085,-0.024676786472319613
ACH-000086,-0.097227851754017
ACH-000087,-0.3591673815665017
ACH-000092,-0.18424471207334808
ACH-000095,-0.1481200520610199
ACH-000097,-0.18393666498465225
ACH-000098,-0.185760472305406
ACH-000099,-0.11890120703208935
ACH-000108,-0.05568814242656109
ACH-000113,-0.13470426036444585
ACH-000116,-0.2697823587412327
ACH-000118,-0.10593530363714608
ACH-000120,-0.03172991233297052
ACH-000123,-0.08916118035371508
ACH-000127,-0.15789455506299385
ACH-000128,-0.11792485318009267
ACH-000132,-0.09254725385483857
ACH-000133,-0.1874588979101367
ACH-000137,-0.11823862769677213
ACH-000138,-0.2377665302898271
ACH-000142,-0.09962922983707644
ACH-000143,-0.18226342137157808
ACH-000146,-0.1561313601072605
ACH-000148,-0.2093227890214603
ACH-000150,0.02554369320930031
ACH-000152,-0.168356741673981
