,DBI (1622)
ACH-000004,-0.2208194151296393
ACH-000005,-0.27594345769875817
ACH-000007,-0.12263208508824952
ACH-000009,-0.14021235135831814
ACH-000011,-0.08590146558446451
ACH-000012,-0.1076584732688758
ACH-000013,-0.05944636320246454
ACH-000014,-0.06324126409607192
ACH-000015,-0.2243160636641749
ACH-000017,-0.23877941325531274
ACH-000018,-0.11334474103284373
ACH-000019,-0.2257312824676152
ACH-000021,-0.07532700682334753
ACH-000022,-0.011742141325196628
ACH-000025,-0.10753705812780798
ACH-000028,-0.2756177197355205
ACH-000030,-0.13720287659018382
ACH-000035,-0.2897106878275157
ACH-000036,-0.001273522006302531
ACH-000037,-0.010550276609196168
ACH-000039,0.008963691114201597
ACH-000040,-0.13421075571255905
ACH-000041,-0.2471817000712849
ACH-000042,-0.12190305106748438
ACH-000045,-0.20983884885693926
ACH-000047,-0.12028172491695965
ACH-000052,-0.281420364202457
ACH-000053,-0.11166690053737366
ACH-000054,-0.14975516106189307
ACH-000055,-0.07170512652321796
ACH-000060,-0.29729172059603043
ACH-000067,-0.1056277141067568
ACH-000070,-0.3114599925341736
ACH-000075,-0.14129326070945308
ACH-000078,-0.0975010253607458
ACH-000082,-0.22419351885320105
ACH-000085,0.10454897701764347
ACH-000086,-0.22372361835693505
ACH-000087,-0.1886315363519585
ACH-000092,-0.3541645333488249
ACH-000095,-0.1335595632943647
ACH-000097,-0.13705137111968815
ACH-000098,-0.2806871906490607
ACH-000099,-0.18433374223592455
ACH-000108,-0.22752839316164836
ACH-000113,-0.042968006055297964
ACH-000116,-0.04113966031366485
ACH-000118,-0.1923098642633996
ACH-000120,-0.3874265023906495
ACH-000123,-0.1743192035256647
ACH-000127,-0.14751661225871
ACH-000128,-0.08055137494182055
ACH-000132,-0.2817942116652679
ACH-000133,-0.1243984400008394
ACH-000137,-0.19930260312700945
ACH-000138,-0.17549891988335645
ACH-000142,-0.07128139182590365
ACH-000143,-0.14059968090391353
ACH-000146,-0.09221470470100852
ACH-000148,-0.12618468412670533
ACH-000150,-0.19532648357858293
ACH-000152,-0.1475032069154487
ACH-000153,-0.23809901723590315
ACH-000159,-0.18192229800268406
ACH-000160,-0.2452954619456213
ACH-000163,-0.1385015300010653
ACH-000167,-0.024917253350858704
ACH-000168,-0.0976685064169424
ACH-000169,-0.13296239822734754
ACH-000178,-0.2061150068643853
ACH-000183,-0.15533568194377048
ACH-000188,-0.11085465095385716
ACH-000189,-0.33938643015274794
ACH-000190,-0.2394606494220592
ACH-000198,-0.11394405278161547
ACH-000203,-0.26219518956722143
ACH-000204,-0.18018202576657572
ACH-000206,-0.3322936551313981
ACH-000207,-0.052930915667811836
ACH-000208,-0.05169486851556847
ACH-000210,-0.3253471380429131
ACH-000211,-0.1823434035367832
ACH-000215,-0.186430140471476
ACH-000221,-0.15316169516524789
ACH-000222,-0.3431343110808525
ACH-000223,-0.2994708073842209
ACH-000226,-0.3109212533661184
ACH-000227,-0.12945853351357553
ACH-000228,-0.09970381594032406
ACH-000231,-0.10760204193129314
ACH-000232,-0.06046577140481822
ACH-000233,-0.15028718463262952
ACH-000234,-0.16993537668096198
ACH-000235,-0.10004309934943087
ACH-000237,-0.25547803808000724
ACH-000238,-0.1377430105379079
ACH-000242,-0.3748938582104373
