,DSTYK (25778)
ACH-000004,-0.09307049981456204
ACH-000005,-0.12350746873988945
ACH-000007,0.04609470409557581
ACH-000009,-0.028030261397620014
ACH-000011,-0.15479280273136342
ACH-000012,-0.12593619769812184
ACH-000013,-0.10595780774421254
ACH-000014,-0.15861902476087208
ACH-000015,-0.1494497133026532
ACH-000017,-0.14187763003988405
ACH-000018,-0.12058020745300845
ACH-000019,-0.2959109308949297
ACH-000021,-0.11949618131419636
ACH-000022,0.005094172642388678
ACH-000025,-0.1909923272000549
ACH-000028,-0.1291354297124278
ACH-000030,-0.050778513691654835
ACH-000035,0.16659746282642965
ACH-000036,-0.1276078939515975
ACH-000037,-0.039257348515150815
ACH-000039,-0.0688263834805209
ACH-000040,-0.4952808802359793
ACH-000041,-0.09302089522599837
ACH-000042,-0.15128703280428324
ACH-000045,-0.08260200280592263
ACH-000047,-0.21849650133999646
ACH-000052,-0.12183918873384599
ACH-000053,-0.11973597063817835
ACH-000054,-0.19846408611346875
ACH-000055,-0.0280577444889621
ACH-000060,-0.1354890353556331
ACH-000067,-0.12817175500408548
ACH-000070,-0.10080536544793628
ACH-000075,-0.3467918156365644
ACH-000078,-0.11934857465847068
ACH-000082,-0.1923475788993112
ACH-000085,-0.049596351925350564
ACH-000086,-0.3260599290919067
ACH-000087,-0.12294120878555485
ACH-000092,-0.05306672076218606
ACH-000095,-0.11891105527764148
ACH-000097,-0.18050257818970128
ACH-000098,-0.3158603122134264
ACH-000099,-0.09439763630687248
ACH-000108,-0.19477221016442847
ACH-000113,-0.21144300884718056
ACH-000116,-0.11733330652265925
ACH-000118,-0.18291962061448727
ACH-000120,-0.1972665711152496
ACH-000123,-0.0366536876443218
ACH-000127,-0.10412735085600973
ACH-000128,-0.2141222102668793
ACH-000132,-0.20791408583288898
ACH-000133,-0.04979802703487985
ACH-000137,-0.07102131757689238
ACH-000138,-0.15081707863221588
ACH-000142,-0.09783836817117754
ACH-000143,-0.109679947947438
ACH-000146,-0.042941358411890784
