,MGEA5 (10724)
ACH-000004,-0.367014232303136
ACH-000005,-0.3696230601468995
ACH-000007,-0.23695332354335746
ACH-000009,-0.08254939764220108
ACH-000011,-0.05357643290599996
ACH-000012,-0.21562491716187507
ACH-000013,-0.4195519196038519
ACH-000014,-0.3267685558609746
ACH-000015,-0.2585168942630854
ACH-000017,-0.2370832976016904
ACH-000018,0.09719696117808777
ACH-000019,-0.4291620306180258
ACH-000021,-0.26127422471487943
ACH-000022,-0.16113340864964612
ACH-000025,-0.5680844477091481
ACH-000028,-0.3344242188809495
ACH-000030,-0.09191557594480948
ACH-000035,0.11369383358764383
ACH-000036,-0.4356737859290345
ACH-000037,-0.3070277916580293
ACH-000039,-0.3924154150285058
ACH-000040,-0.1078571559721903
ACH-000041,-0.32685129169647986
ACH-000042,-0.2407872393477459
ACH-000045,-0.3372887265961983
ACH-000047,-0.011236463713186949
ACH-000052,-0.07799466690914829
ACH-000053,-0.3587149518906391
ACH-000054,-0.20799794450129452
ACH-000055,-0.6547593787396371
ACH-000060,-0.07147380497960795
ACH-000067,-0.21898950287637828
ACH-000070,-0.5843232959263884
ACH-000075,-0.1954015116913031
ACH-000078,-0.3526615621574539
ACH-000082,-0.3655229214937932
ACH-000085,-0.14079224578096508
ACH-000086,-0.13238444457960544
ACH-000087,-0.1653374556667109
ACH-000092,-0.26202433621586363
ACH-000095,-0.060240459863746876
ACH-000097,-0.4144631853049892
ACH-000098,0.05689454669796079
ACH-000099,-0.0962717353697908
ACH-000108,-0.10956347367297613
ACH-000113,-0.3335109946388227
ACH-000116,-0.18437232635677736
ACH-000118,0.04954456026712231
ACH-000120,-0.294608001399022
ACH-000123,-0.4365008255637277
ACH-000127,0.0003891536246227259
ACH-000128,-0.2927943409985043
ACH-000132,-0.20040153092254145
ACH-000133,-0.42609493842693336
ACH-000137,-0.25849190848860304
ACH-000138,-0.1975482511637264
ACH-000142,-0.1610191534686541
ACH-000143,-0.0996023490973047
ACH-000146,-0.3840254595505985
ACH-000148,-0.3485192078093049
ACH-000150,-0.1913459149191532
ACH-000152,-0.4048818030369513
ACH-000153,-0.12741902476387762
ACH-000159,-0.2284294001716083
ACH-000160,-0.32292523912867005
ACH-000163,-0.0804613244941429
ACH-000167,-0.7512922293413584
ACH-000168,-0.12899304089406322
ACH-000169,-0.5660369785945839
ACH-000178,-0.28399648768889874
ACH-000183,-0.07184972983857249
ACH-000188,-0.33937400037643844
ACH-000189,-0.3776451664402449
ACH-000190,-0.1964799434002654
ACH-000198,-0.7089791126629678
ACH-000203,0.15571941849175458
ACH-000204,-0.15699460931251924
ACH-000206,-0.4938481528647999
ACH-000207,-0.18895905138753005
ACH-000208,-0.08030845439315754
ACH-000210,-0.4529733538149219
ACH-000211,-0.4513481655182077
ACH-000215,-0.32726599730816225
ACH-000221,-0.4125555585456607
ACH-000222,-0.11636404715413465
ACH-000223,-0.2787449886786594
ACH-000226,-0.3508209861573892
ACH-000227,-0.2812077728152215
ACH-000228,-0.5316904683473447
ACH-000231,-0.2244283562248376
ACH-000232,0.1075139048891154
ACH-000233,-0.4234044486606089
ACH-000234,-0.1337686141238168
ACH-000235,-0.2764595266206669
ACH-000237,-0.4942992709006432
ACH-000238,-0.5111444851116618
ACH-000242,-0.07279768124157424
ACH-000243,-0.2269710156458325
ACH-000244,-0.3985837978482428
ACH-000246,-0.4479176698392604
ACH-000248,-0.2546481239567777
ACH-000250,-0.18494396714819655
ACH-000251,-0.05027766377803928
