,ANKDD1B (728780)
ACH-000004,0.15316011408135738
ACH-000005,0.3955078007507195
ACH-000007,0.29561861345764684
ACH-000009,-0.03417933646796181
ACH-000011,0.1330861534517805
ACH-000012,0.08212734100826126
ACH-000013,0.18311737358141636
ACH-000014,0.11802872392696265
ACH-000015,0.10690707784803416
ACH-000017,0.15369429250814054
ACH-000018,0.007847287643475283
ACH-000019,0.1150033869205636
ACH-000021,-0.006452750035711477
ACH-000022,0.18996726927889787
ACH-000025,0.18744106245406045
ACH-000028,0.07173262197078599
ACH-000030,-0.09096021266994704
ACH-000035,0.07896379102547017
ACH-000036,0.2380729844275397
ACH-000037,-0.057540778501388674
ACH-000039,0.10570872614848698
ACH-000040,0.1415423732325251
ACH-000041,0.17858004345045156
ACH-000042,0.11119276803354508
ACH-000045,0.07509293608191964
ACH-000047,0.1087503618052936
ACH-000052,-0.20942389756160534
ACH-000053,-0.01786713849632059
ACH-000054,0.03849742952667614
ACH-000055,0.12375583671613495
ACH-000060,0.04891685644433708
ACH-000067,0.16811591084122082
ACH-000070,0.07398628308220108
ACH-000075,-0.0005578917225963255
ACH-000078,0.09771449518872133
ACH-000082,0.18327497475512472
ACH-000085,0.060842077066296185
ACH-000086,0.10067205074443797
ACH-000087,0.21211658330795147
ACH-000092,0.0941158866570202
ACH-000095,0.03949231710284251
ACH-000097,0.027851490378883768
ACH-000098,0.057693895604847965
ACH-000099,0.15244950341436406
ACH-000108,0.2946875390950423
ACH-000113,0.04102584454197135
ACH-000116,0.013287283441479872
ACH-000118,0.18226971622083585
ACH-000120,0.2894356615233197
ACH-000123,0.2031487974211695
ACH-000127,0.1720031253305637
ACH-000128,0.17941968769227098
ACH-000132,0.12122231149412137
ACH-000133,0.08125025266039154
ACH-000137,0.06840545283612233
ACH-000138,0.17550521247881895
ACH-000142,0.1502500585259176
ACH-000143,0.1564069836947258
ACH-000146,0.12093547417629755
ACH-000148,0.05200173102834077
ACH-000150,-0.009091780605325771
ACH-000152,0.19081627100848592
ACH-000153,0.03399730901034402
ACH-000159,0.10070460475284056
ACH-000160,0.07521038798596318
ACH-000163,0.11775809113784196
ACH-000167,0.2459800844641916
ACH-000168,0.07699870459544694
ACH-000169,0.144572918138662
ACH-000178,0.050938248977597085
ACH-000183,0.1078717882115854
ACH-000188,0.07359242757681878
ACH-000189,0.12660998087054562
ACH-000190,0.15819401308194905
ACH-000198,0.0903732966333441
ACH-000203,0.6673947893153589
ACH-000204,0.19186548215098811
ACH-000206,0.09551242168659793
ACH-000207,0.2634166022248993
ACH-000208,0.15103160281441047
ACH-000210,-0.11127769358511937
ACH-000211,0.044133785163873285
ACH-000215,0.040250096067399314
ACH-000221,0.167385012648008
ACH-000222,0.2780441076768745
ACH-000223,0.15535938847491704
ACH-000226,0.12455102748874955
ACH-000227,0.03584894491916761
ACH-000228,-0.039609221352411336
