,ABHD17A (81926)
ACH-000004,-0.348510111981762
ACH-000005,0.07184448706431547
ACH-000007,-0.27878849365529906
ACH-000009,-0.4586078844921656
ACH-000011,-0.5080672522409794
ACH-000012,-0.35566010521883895
ACH-000013,-0.43849861930230855
ACH-000014,-0.3291833608764897
ACH-000015,-0.33555234209114965
ACH-000017,-0.27247715917736715
ACH-000018,-0.3939845684968963
ACH-000019,-0.2376353809924633
ACH-000021,-0.31151216109885355
ACH-000022,-0.4664620052088164
ACH-000025,-0.3961367848832106
ACH-000028,-0.288357133652612
ACH-000030,-0.4553886257886943
ACH-000035,-0.2890418844371481
ACH-000036,-0.4944748538524851
ACH-000037,-0.3015059034887333
ACH-000039,-0.3037686264381673
ACH-000040,-0.41773748225947865
ACH-000041,-0.3781637308563914
ACH-000042,-0.4648440291520223
ACH-000045,-0.3897275003098908
ACH-000047,-0.3976523864933735
ACH-000052,-0.31798260503959
ACH-000053,-0.3744358321910541
ACH-000054,-0.4211323897701853
ACH-000055,-0.5434771719996542
ACH-000060,-0.20006508123055686
ACH-000067,-0.25758039905832714
ACH-000070,-0.39197471468734624
ACH-000075,-0.11413500917085467
ACH-000078,-0.09628378719185483
ACH-000082,0.025643322568545752
ACH-000085,-0.6454834445172085
ACH-000086,-0.3951484665929659
ACH-000087,-0.4257783734032615
ACH-000092,-0.3731307225208135
ACH-000095,-0.4870701389149478
ACH-000097,-0.3932759284018859
ACH-000098,-0.4780555035509403
ACH-000099,-0.34087251558138376
ACH-000108,-0.44630886982731816
ACH-000113,-0.2070492732773878
ACH-000116,-0.19068899161918
ACH-000118,-0.22736087197327276
ACH-000120,-0.3469466141255718
ACH-000123,-0.2177977939086398
ACH-000127,-0.48802944653242103
ACH-000128,-0.34449749890401604
ACH-000132,-0.4234501774176536
ACH-000133,-0.3494096109550525
ACH-000137,-0.3021595070982258
ACH-000138,-0.3617061916208625
ACH-000142,-0.2937263850650929
ACH-000143,-0.3146914980877091
ACH-000146,-0.3790136544423801
ACH-000148,-0.3409767502524457
ACH-000150,-0.680768748515371
ACH-000152,-0.4974739197090897
ACH-000153,-0.31936166537564137
ACH-000159,-0.2522492825557966
ACH-000160,-0.4123832179310885
ACH-000163,-0.5228548961138714
ACH-000167,-0.7939100823868144
ACH-000168,-0.3126108511302416
ACH-000169,-0.21717520267602455
ACH-000178,-0.2875902075380721
ACH-000183,-0.4759464048866555
ACH-000188,-0.29622669065639184
ACH-000189,-0.5579669330629878
ACH-000190,0.1320033125728711
ACH-000198,-0.3098595988097883
ACH-000203,0.08927701622771729
ACH-000204,-0.17066337291753875
ACH-000206,-0.4381507854988211
ACH-000207,-0.19337235503668584
ACH-000208,-0.3765595700629391
ACH-000210,-0.2248257762864281
ACH-000211,-0.4520605827244472
ACH-000215,-0.3475603244736244
ACH-000221,-0.3908696639044292
ACH-000222,-0.3119118447560316
ACH-000223,-0.3796394535870672
ACH-000226,-0.43037342824399016
ACH-000227,-0.26155493647558903
ACH-000228,-0.3011698963976551
ACH-000231,-0.42836185527283793
ACH-000232,-0.4933799059422851
ACH-000233,-0.4196914192378111
ACH-000234,-0.43322153942799535
ACH-000235,-0.3000903250471428
ACH-000237,-0.4775834953118661
ACH-000238,-0.4045931592413805
ACH-000242,-0.27113730187077034
ACH-000243,-0.2852111247583342
ACH-000244,-0.5135266574782149
ACH-000246,-0.33464593017851124
ACH-000248,-0.2606156733711024
ACH-000250,-0.3185726758550659
ACH-000251,-0.2905731635606621
ACH-000252,-0.2423170275992541
ACH-000253,-0.1958971465904994
ACH-000255,-0.32086173061445383
ACH-000256,-0.35943500014351226
ACH-000257,-0.4061571591837811
ACH-000258,-0.3097118264952614
ACH-000259,-0.32621032047180304
ACH-000260,-0.31398554787105143
ACH-000261,-0.3651555944916554
ACH-000262,-0.3430260035624293
ACH-000263,-0.6644165107826772
ACH-000264,-0.3307162971221854
ACH-000265,-0.23790765339288736
ACH-000266,-0.3433549498980854
ACH-000272,-0.13977639124600624
ACH-000274,-0.4771572236073516
ACH-000277,-0.07114659202360535
ACH-000278,-0.32819950000473835
ACH-000279,-0.38535548012015297
ACH-000280,-0.3306165326150256
ACH-000281,-0.3515233697672805
ACH-000288,-0.2266476333331298
ACH-000291,-0.2923927387360505
ACH-000293,-0.203090707890888
ACH-000294,-0.5904138243410155
ACH-000295,-0.04874738465345762
ACH-000296,-0.5516596564972152
ACH-000302,-0.4583251250288469
ACH-000304,-0.2244274861625168
ACH-000307,-0.4256292660359657
ACH-000308,-0.21242069293221735
ACH-000310,-0.3146211228673125
ACH-000311,-0.4741881786371869
ACH-000312,-0.13924114484230926
ACH-000315,-0.4503182479162738
ACH-000316,-0.32734423781069755
ACH-000317,-0.1283927958688414
ACH-000318,-0.31357192893388675
ACH-000319,-0.5502851542995162
ACH-000320,-0.2615905479005046
ACH-000322,-0.2791071400046368
ACH-000323,-0.5206972872065561
ACH-000324,-0.2723887185137023
ACH-000329,-0.23600510648661746
ACH-000330,-0.7061601068417049
ACH-000331,-0.4262662326132952
ACH-000332,-0.3045354544185146
ACH-000334,-0.39696791431735656
ACH-000335,-0.11560594701882905
ACH-000336,-0.4445065369264812
ACH-000337,-0.2773418554976381
ACH-000338,-0.5056295332170382
ACH-000339,-0.3476710659606048
ACH-000341,-0.6239522934047704
ACH-000348,-0.25621595093005256
ACH-000350,-0.4486394178480135
ACH-000352,-0.3742153871016961
ACH-000356,-0.4428061272272613
ACH-000361,-0.18513026409654004
ACH-000362,-0.3301287316558204
ACH-000363,-0.4822138745538044
ACH-000364,-0.49532955399788103
ACH-000365,-0.3832309916736985
ACH-000366,-0.3286387969090963
ACH-000368,-0.3976158391293975
ACH-000374,-0.21323179672155104
ACH-000375,-0.40016595758389023
ACH-000376,-0.18777150775450985
ACH-000381,-0.3156379069498092
ACH-000383,-0.3263061288557397
ACH-000387,-0.30321425022295323
ACH-000389,-0.3691951918581109
ACH-000390,-0.4101129788007208
ACH-000393,-0.6022255994327976
ACH-000395,-0.402041298691512
ACH-000396,-0.5088234252091101
ACH-000397,-0.24503460998877544
ACH-000401,-0.6249921899900449
ACH-000402,-0.3767446868476852
ACH-000403,-0.4831676137658435
ACH-000404,-0.4304054498160543
ACH-000406,-0.3691877428691731
ACH-000407,-0.4211001102469944
ACH-000408,-0.5251336126620297
ACH-000410,-0.3652730844382052
ACH-000411,-0.4377318652223615
ACH-000414,-0.13329953565759595
ACH-000415,-0.41351163452954415
ACH-000416,-0.3343777270248444
ACH-000420,-0.4750123574431572
ACH-000421,-0.6020512754031356
ACH-000424,-0.4529774318564783
ACH-000425,-0.252536404423834
ACH-000426,-0.1044221186281241
ACH-000427,-0.2668475843379276
ACH-000433,-0.390459325965532
ACH-000435,-0.19244531373828488
ACH-000436,-0.5073884598085385
ACH-000444,-0.4929960032097213
ACH-000445,-0.4229616708532861
ACH-000448,-0.4577476119579432
ACH-000450,-0.13858572776198658
ACH-000452,-0.4113848354186984
ACH-000454,-0.27807223584056523
ACH-000458,-0.3471682005640935
ACH-000459,-0.10441974718164307
ACH-000460,-0.4777879516587114
ACH-000461,-0.4853055443608055
ACH-000463,-0.4105940425545093
ACH-000464,-0.4399090888819835
ACH-000466,-0.21933728666223049
ACH-000467,-0.37868911055222026
ACH-000468,-0.5330892580834015
ACH-000469,-0.4362709252754365
ACH-000470,-0.4387419939330285
ACH-000471,-0.3596808876056267
ACH-000472,-0.4036671561905533
ACH-000473,-0.3963520950997205
ACH-000475,-0.3749504340267311
ACH-000476,-0.3673710147281876
ACH-000477,-0.11473180170508435
ACH-000479,-0.6463685045374276
ACH-000480,-0.5041931626498948
ACH-000481,-0.4856487098200339
ACH-000483,-0.4310918873044473
ACH-000484,-0.3170293114810702
ACH-000485,-0.36522106108228697
ACH-000486,-0.2590792816877837
ACH-000487,-0.2888558682358763
ACH-000488,-0.3580340966390941
ACH-000490,-0.3984059171037391
ACH-000491,-0.2958949205784516
ACH-000495,-0.2517954785561364
ACH-000496,-0.13890212018693146
ACH-000499,-0.3724372927806465
ACH-000500,-0.43420526585958
ACH-000502,-0.2666905958829633
ACH-000503,-0.4022346461256705
ACH-000505,-0.4136671813908186
ACH-000507,-0.2758509044328999
ACH-000510,-0.4089188681343821
ACH-000511,-0.3278567285728701
ACH-000512,-0.15573551629853846
ACH-000516,-0.5063854301436985
ACH-000517,-0.3083983705287703
ACH-000518,-0.3905063186335475
ACH-000520,-0.34988738636546096
ACH-000521,-0.4228520162783374
ACH-000522,-0.26454880634469724
ACH-000524,-0.33336309336736997
ACH-000527,-0.3569038488406828
ACH-000528,-0.5248962870551248
ACH-000537,-0.25585334181495384
ACH-000541,-0.5945682245368186
ACH-000542,-0.29108568904641746
ACH-000544,-0.3672554577679503
ACH-000545,-0.29190409010413976
ACH-000547,-0.6111484592538765
ACH-000548,-0.4373819171226667
ACH-000549,-0.4898160205240744
ACH-000550,-0.4235961752648206
ACH-000552,-0.28100427395682803
ACH-000556,-0.5055026578934081
ACH-000557,-0.0745964594548282
ACH-000569,-0.5063448603864151
ACH-000570,-0.3065499040134513
ACH-000571,-0.4383157412315672
ACH-000573,-0.36350222030565454
ACH-000576,-0.2757917544637593
ACH-000579,-0.21120730381686367
ACH-000580,-0.3118019939267773
ACH-000584,-0.29794418444405396
ACH-000585,-0.31870847755874776
ACH-000588,-0.18520449099429934
ACH-000589,-0.3197838834099235
ACH-000591,-0.4889628350474238
ACH-000593,-0.4646540557485401
ACH-000600,-0.2548407406731375
ACH-000601,-0.4193170192406607
ACH-000605,-0.21853032170632206
ACH-000606,-0.3415402704128452
ACH-000608,-0.3291314308208117
ACH-000614,-0.17474550764911406
ACH-000616,-0.2866189639965724
ACH-000618,-0.4029118351817766
ACH-000619,-0.26800607987822456
ACH-000620,-0.3976276622327433
ACH-000621,-0.2602740937095361
ACH-000622,-0.3117192117068947
ACH-000623,-0.4376989194650051
ACH-000624,-0.2250295694739652
ACH-000627,-0.4899740792468239
ACH-000630,-0.31859262941316624
ACH-000631,-0.4049398029620914
ACH-000632,-0.3147666479323661
ACH-000633,-0.5246433059366302
ACH-000637,-0.3400796889357606
ACH-000638,-0.4391050443153711
ACH-000646,-0.17567971426589407
ACH-000647,-0.2934475093483207
ACH-000648,-0.3132750755981793
ACH-000649,-0.295436027631259
ACH-000651,-0.3932087916060201
ACH-000652,-0.3077329100042785
ACH-000653,-0.618320944820247
ACH-000657,-0.4046552803341511
ACH-000658,-0.3050578948713812
ACH-000661,-0.2237721455811334
ACH-000662,-0.3948189629768436
ACH-000663,-0.3518952577869897
ACH-000665,-0.4454187801778057
ACH-000671,-0.4160065416035009
ACH-000672,-0.11744896485976633
ACH-000673,-0.3706160412373029
ACH-000676,-0.3871775058094745
ACH-000677,-0.2858796169978024
ACH-000681,-0.4042225603818321
ACH-000683,-0.4819567292369116
ACH-000684,-0.2637101786336544
ACH-000688,-0.3782271142279579
ACH-000693,-0.35258051311534705
ACH-000694,-0.3390542788938137
ACH-000695,-0.4715555561030769
ACH-000696,-0.3032043689993757
ACH-000697,-0.2825263986287652
ACH-000699,-0.3040507796721549
ACH-000701,-0.5027984466184492
ACH-000706,-0.491658908988517
ACH-000711,-0.3320780268238355
ACH-000713,-0.33115171770755353
ACH-000714,-0.39223483759448
ACH-000718,-0.24396431921356496
ACH-000720,-0.4760432364980049
ACH-000721,-0.20722818212476124
ACH-000724,-0.4118313762631568
ACH-000725,-0.5535827679460574
ACH-000732,-0.4735152868040524
ACH-000734,-0.4403630545001078
ACH-000735,-0.4312793331762544
ACH-000736,-0.15989764006933355
ACH-000738,-0.18636855651341375
ACH-000746,-0.2814799200118319
ACH-000747,-0.2502377898124149
ACH-000748,-0.3801844529042575
ACH-000753,-0.31827652761509234
ACH-000756,-0.3628158578244765
ACH-000757,-0.3886764464690353
ACH-000758,-0.34850759047522223
ACH-000760,-0.4873687358237363
ACH-000762,-0.36563822603341295
ACH-000763,0.007579608884614304
ACH-000764,-0.4994250745341773
ACH-000765,-0.3708092979220852
ACH-000766,-0.3143165580159695
ACH-000767,-0.5094443497708943
ACH-000768,-0.3085189884733069
ACH-000769,-0.4713141896878584
ACH-000770,-0.4058160078172025
ACH-000771,-0.243242175469162
ACH-000773,-0.5981046064743851
ACH-000776,-0.457958691223897
ACH-000777,-0.40911730531630186
ACH-000778,-0.5416140279686161
ACH-000781,-0.39371291857650303
ACH-000782,-0.31979100337346433
ACH-000783,-0.4257356530618244
ACH-000784,-0.31666018093752
ACH-000785,-0.5211620822103448
ACH-000787,-0.6033712208721628
ACH-000788,-0.2672030693348686
ACH-000791,-0.2820809441977008
ACH-000792,-0.3676060187127795
ACH-000794,-0.23875160357427094
ACH-000796,-0.3693923672116917
ACH-000798,-0.5476993036891412
ACH-000799,-0.395921799299542
ACH-000800,-0.5387104879428689
ACH-000802,-0.3980720587833351
ACH-000804,-0.2700245513445507
ACH-000805,-0.4210604988735492
ACH-000809,-0.3868292710678021
ACH-000810,-0.3234387955030794
ACH-000811,-0.3192635855140069
ACH-000817,-0.3942421011434238
ACH-000819,-0.40175154083389053
ACH-000820,-0.19968905844904167
ACH-000821,-0.4527002460647488
ACH-000822,-0.3568403621507489
ACH-000823,-0.3106599295758631
ACH-000824,-0.35421283036074874
ACH-000827,-0.34488242785688417
ACH-000829,-0.34559708906495323
ACH-000831,-0.4591118719689328
ACH-000832,-0.21281508744627645
ACH-000833,-0.2669112492445395
ACH-000834,-0.4767438309245135
ACH-000835,-0.3111807942037032
ACH-000836,-0.2367949971131389
ACH-000837,-0.2777703189554607
ACH-000838,-0.2630386765662994
ACH-000839,-0.3836137244919777
ACH-000840,-0.4554639618550714
ACH-000841,-0.2262331636998928
ACH-000843,-0.26512409412306576
ACH-000846,-0.2669250648164785
ACH-000847,-0.3576023976415846
ACH-000848,-0.3802872703968031
ACH-000849,-0.1916195084351072
ACH-000851,-0.3187168584932588
ACH-000855,-0.17398128903463356
ACH-000856,-0.5780680862389821
ACH-000858,-0.43612739923823696
ACH-000859,-0.3959508102552695
ACH-000861,-0.2713867757485329
ACH-000862,-0.4359091776630757
ACH-000865,-0.3403876909700157
ACH-000866,-0.07155472119558977
ACH-000867,-0.3440294725849292
ACH-000869,-0.507040282288702
ACH-000872,-0.17954547522612446
ACH-000873,-0.3749972776083824
ACH-000876,-0.4473483369127612
ACH-000878,-0.2610494476474539
ACH-000880,-0.3425832551794447
ACH-000881,-0.2988652503548143
ACH-000882,-0.24540152516175226
ACH-000884,-0.2969360884231075
ACH-000885,-0.34766188875408144
ACH-000887,-0.4961580871869136
ACH-000889,-0.22858902914022874
ACH-000896,-0.3444869970355701
ACH-000898,-0.3057683836645665
ACH-000900,-0.4526333043902498
ACH-000901,-0.3620623094609112
ACH-000905,-0.3681918468660574
ACH-000906,-0.2649968951367642
ACH-000907,-0.3769756939937138
ACH-000910,-0.343615046045799
ACH-000911,-0.3451579924244837
ACH-000912,-0.4934586111198007
ACH-000913,-0.3901605214314284
ACH-000915,-0.3957859430941424
ACH-000916,-0.5674131658729895
ACH-000917,-0.33712331880917085
ACH-000920,-0.4129755869929989
ACH-000921,-0.3177557740609667
ACH-000924,-0.3798604708878704
ACH-000926,-0.3814927859645119
ACH-000928,-0.2009907965618148
ACH-000929,-0.41179616243818656
ACH-000932,-0.3901266246901149
ACH-000935,-0.25992141956851955
ACH-000936,-0.5089787826440636
ACH-000937,-0.1903217214601532
ACH-000938,-0.11216990669136163
ACH-000939,-0.3271435506897534
ACH-000941,-0.5615278348187843
ACH-000943,-0.2063770900284575
ACH-000946,-0.33304440173415645
ACH-000947,-0.3363045948980025
ACH-000948,-0.31639522713725315
ACH-000950,-0.294666444995374
ACH-000953,-0.1738981811543285
ACH-000954,-0.2395428206613953
ACH-000957,-0.4614746707017194
ACH-000958,-0.2550224124794929
ACH-000960,-0.1627940108658952
ACH-000963,-0.4918950673704382
ACH-000968,-0.22124623974136656
ACH-000969,-0.42459280891381374
ACH-000972,-0.7040364900754571
ACH-000973,-0.11794601976311235
ACH-000974,-0.14044941853492698
ACH-000978,-0.5609427113329134
ACH-000984,-0.3197137169436406
ACH-000986,-0.4590928349677581
ACH-000988,-0.3321738470694763
ACH-000993,-0.4001766384101744
ACH-000994,-0.21588128575772264
ACH-000996,-0.31271005344218994
ACH-001001,-0.3134938122556667
ACH-001020,-0.4964355024186924
ACH-001028,-0.3553105002308161
ACH-001031,-0.285078655372056
ACH-001038,-0.2923930744816202
ACH-001048,-0.3904903208114504
