,GINS1 (9837)
ACH-000004,-1.3472442371065685
ACH-000005,-1.7366263887053808
ACH-000007,-1.4002066346633817
ACH-000009,-1.3332630964048575
ACH-000011,-1.0779125459258527
ACH-000012,-1.2456330792570829
ACH-000013,-1.4579086421682004
ACH-000014,-1.270306646967726
ACH-000015,-1.183831769043565
ACH-000017,-1.109831383790432
ACH-000018,-1.1477775101537768
ACH-000019,-1.3373229029153546
ACH-000021,-1.1267884840080726
ACH-000022,-1.482549359416064
ACH-000025,-1.226749078621491
ACH-000028,-1.0904499918463049
ACH-000030,-1.2754808093779464
ACH-000035,-1.064278936341809
ACH-000036,-1.0565255323042797
ACH-000037,-0.4370290696624527
ACH-000039,-1.3644770678002187
ACH-000040,-1.2437643190560923
ACH-000041,-0.9898459118024656
ACH-000042,-1.1350003365035908
ACH-000045,-1.3533620331430796
ACH-000047,-1.0946296297953144
ACH-000052,-0.8677416251278499
ACH-000053,-1.2063058609586366
ACH-000054,-1.1541605726720756
ACH-000055,-1.1455089541310621
ACH-000060,-1.188923372691081
ACH-000067,-1.4071551845841117
ACH-000070,-1.2305004396670642
ACH-000075,-1.3742758549168983
ACH-000078,-1.3023820858809907
ACH-000082,-1.2210144788699713
ACH-000085,-1.3898605945395348
ACH-000086,-1.2853482770716207
ACH-000087,-1.2089424289026358
ACH-000092,-1.3318519558974873
ACH-000095,-1.3984015054624757
ACH-000097,-1.2327261769959683
ACH-000098,-1.270842917250434
ACH-000099,-1.408928827446944
ACH-000108,-1.2453977220830992
ACH-000113,-1.2127341971349344
ACH-000116,-1.2260172730635586
ACH-000118,-1.2046438684306409
ACH-000120,-1.1864458569709475
ACH-000123,-1.1829432167820044
ACH-000127,-1.2438920545020673
ACH-000128,-1.286240716853322
ACH-000132,-1.2160111767290418
ACH-000133,-1.2764899292603633
ACH-000137,-1.3561150988534552
ACH-000138,-1.307177697511375
ACH-000142,-1.0440334326631215
ACH-000143,-1.2719098911198359
ACH-000146,-1.457838855315432
ACH-000148,-1.183381656182957
ACH-000150,-1.2652382854247604
ACH-000152,-1.4289447379486853
ACH-000153,-1.5690389714558601
ACH-000159,-1.2736602158031485
ACH-000160,-1.2565515895675712
ACH-000163,-1.122907581499633
ACH-000167,-2.1357428909639053
ACH-000168,-1.305285254496175
ACH-000169,-1.2421092178755588
ACH-000178,-1.2365866277632696
ACH-000183,-1.3352428282532829
ACH-000188,-1.1088222579066964
ACH-000189,-1.4763153006185057
