,TBCD (6904)
ACH-000004,-0.9010289213477376
ACH-000005,-0.5096090845059108
ACH-000007,-0.6603022340271391
ACH-000009,-0.8452857001570276
ACH-000011,-0.5333034111062415
ACH-000012,-0.925702979434327
ACH-000013,-0.7858178373591654
ACH-000014,-0.7300866626422972
ACH-000015,-0.7663943454977571
ACH-000017,-0.6289497977501293
ACH-000018,-0.8125298261799538
ACH-000019,-0.6169841030534509
ACH-000021,-0.8239171482394941
ACH-000022,-0.8604325368186044
ACH-000025,-0.8966915869072061
ACH-000028,-0.698727601961257
ACH-000030,-0.9766451981728296
ACH-000035,-0.7840817771275121
ACH-000036,-0.781137615363601
ACH-000037,-0.8202294098235101
ACH-000039,-0.9284552200654009
ACH-000040,-0.8407534942373216
ACH-000041,-0.8402453383027152
ACH-000042,-0.7267001092086864
ACH-000045,-0.7954593452135106
ACH-000047,-0.6437009523459482
ACH-000052,-0.8616519471139438
ACH-000053,-0.9017181511306421
ACH-000054,-0.7802053097282993
ACH-000055,-0.7005704934938563
ACH-000060,-0.6625123606389993
ACH-000067,-0.6853456589984652
ACH-000070,-0.5647391589910374
ACH-000075,-0.7457758863389223
ACH-000078,-0.6809294542922826
ACH-000082,-0.9272972225027636
ACH-000085,-0.5528142309326477
ACH-000086,-0.8790491253361156
ACH-000087,-0.6887683002022886
ACH-000092,-0.9106417215842834
ACH-000095,-0.6809108295984839
ACH-000097,-0.6405446389482327
ACH-000098,-0.9530782428728134
ACH-000099,-0.8058645539651247
ACH-000108,-0.8242366268537179
ACH-000113,-0.697282966511186
ACH-000116,-0.7537206492777034
ACH-000118,-0.8735222918364287
ACH-000120,-0.7811706181432694
ACH-000123,-0.8708936808902387
ACH-000127,-0.8097937768380256
ACH-000128,-0.5920938555415127
ACH-000132,-0.7199236799155551
ACH-000133,-0.9630978523085348
ACH-000137,-0.9197162327183078
ACH-000138,-0.7785580928290109
ACH-000142,-0.7600497492929366
ACH-000143,-0.5232745350484149
ACH-000146,-0.8385389530068725
ACH-000148,-0.8563860066319973
ACH-000150,-0.6707528868718989
ACH-000152,-0.8996673915113707
ACH-000153,-0.6740651111912407
ACH-000159,-0.4724655929713241
ACH-000160,-1.023744191276154
ACH-000163,-0.5739507001433092
ACH-000167,-1.197941346814832
ACH-000168,-0.9210873498233084
ACH-000169,-1.0045461777718852
ACH-000178,-0.7558957823042408
ACH-000183,-0.7567681003475054
ACH-000188,-0.8027441027830291
ACH-000189,-0.8742806010790455
ACH-000190,-1.1048396569291228
ACH-000198,-0.806453518127667
ACH-000203,-0.854379234500712
ACH-000204,-1.0499933295011128
ACH-000206,-0.9913651029564244
ACH-000207,-0.8528461320185363
ACH-000208,-0.356927250057904
ACH-000210,-1.149083332062644
ACH-000211,-0.8052633171211062
ACH-000215,-0.8028825121548305
ACH-000221,-0.7351974615810037
ACH-000222,-0.76557159415004
ACH-000223,-0.8637815284973321
ACH-000226,-0.8207175682567133
ACH-000227,-0.6725427848533102
ACH-000228,-0.6561195911582509
ACH-000231,-0.9604833951320948
ACH-000232,-0.8176189088917396
ACH-000233,-0.5784063106061006
ACH-000234,-0.7878716815417892
ACH-000235,-0.7330850241156822
ACH-000237,-0.7717933962265011
ACH-000238,-0.9960071156171234
ACH-000242,-0.7077198912927816
ACH-000243,-0.8009033640763069
ACH-000244,-0.7194829405901793
ACH-000246,-0.7350061122070591
ACH-000248,-0.8684731074305869
ACH-000250,-0.7931473190970609
ACH-000251,-0.8075574573737381
ACH-000252,-0.9253589208798516
ACH-000253,-0.7478767190882989
ACH-000255,-0.9386107359060432
ACH-000256,-0.7166460699786591
ACH-000257,-0.8755123413392475
ACH-000258,-0.8935223992962976
ACH-000259,-0.6481347425070664
ACH-000260,-0.8084241462131266
ACH-000261,-0.8951579413971321
ACH-000262,-0.7097939406791005
ACH-000263,-0.6823343715713602
ACH-000264,-1.0758047374647612
ACH-000265,-0.6690270831929844
ACH-000266,-0.8447419317062163
ACH-000272,-0.7499597352676312
ACH-000274,-0.8403815265970936
ACH-000277,-0.6943144773253181
ACH-000278,-0.7778179197906329
ACH-000279,-0.7818121243800652
ACH-000280,-0.8619227676080021
ACH-000281,-0.8998648425594383
ACH-000288,-0.8772879601748554
ACH-000291,-0.8321122429183885
ACH-000293,-0.8230425276827957
ACH-000294,-0.8802913216297842
ACH-000295,-0.7055569804723618
ACH-000296,-0.8082092778906577
ACH-000302,-0.5284045665686488
ACH-000304,-0.4364041892982229
ACH-000307,-0.7973342543929629
ACH-000308,-1.0806954767465102
ACH-000310,-0.8394004733637509
ACH-000311,-0.6351741387802691
ACH-000312,-0.959221612339922
ACH-000315,-0.8396977386907294
ACH-000316,-0.7914724958771976
ACH-000317,-0.6930811623773252
ACH-000318,-0.5910884117276815
ACH-000319,-0.9512772625289829
ACH-000320,-0.8703570438046583
ACH-000322,-0.5625341097652213
ACH-000323,-0.8072700437677479
ACH-000324,-0.8753474600524221
ACH-000329,-0.8764005287650801
ACH-000330,-1.1261527594133225
ACH-000331,-0.71813030703748
ACH-000332,-0.6522846946562157
ACH-000334,-0.6600927140043422
ACH-000335,-0.7600376967766905
ACH-000336,-1.012398873748175
ACH-000337,-0.9461536847813092
ACH-000338,-0.7494781820861793
ACH-000339,-0.7590989038840738
ACH-000341,-0.9613599496419948
ACH-000348,-0.8765510879422468
ACH-000350,-0.71352829598639
ACH-000352,-0.7282811370075584
ACH-000356,-0.8344511853402038
ACH-000361,-0.6732620021881559
ACH-000362,-0.812193471160372
ACH-000363,-0.7475611175196349
ACH-000364,-0.5975208850932674
ACH-000365,-0.7529735515441741
ACH-000366,-0.8859963149587895
ACH-000368,-1.0014123038086309
ACH-000374,-0.6953684999681342
ACH-000375,-0.7884722071953022
ACH-000376,-0.8042678571785618
ACH-000381,-0.8726190884232972
ACH-000383,-0.7658354923587943
ACH-000387,-0.7803731687418968
ACH-000389,-0.7217055753773907
ACH-000390,-0.9667405563895776
ACH-000393,-0.8957944651982831
ACH-000395,-0.8263248277879202
ACH-000396,-0.8511485016743471
ACH-000397,-0.9702084228717596
ACH-000401,-0.7617325232390776
ACH-000402,-0.6912906701728468
ACH-000403,-0.8058794489017629
ACH-000404,-0.7248653349236446
ACH-000406,-0.7957587207078848
ACH-000407,-0.5804381721148613
ACH-000408,-0.8343504904666245
ACH-000410,-0.8169204319426909
ACH-000411,-0.7600236106264531
ACH-000414,-0.7184388599772691
ACH-000415,-0.9115730821373624
ACH-000416,-0.9075135382462608
ACH-000420,-0.7414592776473821
ACH-000421,-0.8263322182755016
ACH-000424,-0.9019917182941891
ACH-000425,-0.7752072937522756
ACH-000426,-0.3299210639318858
ACH-000427,-0.7190759403775712
ACH-000433,-0.5993623168394361
ACH-000435,-1.0412679482183778
ACH-000436,-0.674981179304581
ACH-000444,-0.6962760307414679
ACH-000445,-0.7813400083016064
ACH-000448,-0.649369325286275
ACH-000450,-0.5666496313269357
ACH-000452,-0.8620339660409629
ACH-000454,-0.7096958165609542
ACH-000458,-0.7198950560727566
ACH-000459,-0.253809089271856
ACH-000460,-0.7786910404580742
ACH-000461,-0.9066853830287002
ACH-000463,-0.7781370070735769
ACH-000464,-1.140288824651592
ACH-000466,-0.6965793258862876
ACH-000467,-0.780625041634105
ACH-000468,-0.8417785835205184
ACH-000469,-0.7766282304866152
ACH-000470,-0.8448019829469553
ACH-000471,-0.9199384470126832
ACH-000472,-0.8217827052116331
ACH-000473,-0.8556549287820652
ACH-000475,-0.8450031790065553
ACH-000476,-0.8013648141926709
ACH-000477,-0.4881192971824613
ACH-000479,-0.6904975276582702
ACH-000480,-1.0140274411565378
ACH-000481,-0.9157915399676672
ACH-000483,-0.7806541550724717
ACH-000484,-0.6908375416620033
ACH-000485,-0.7736657453955234
ACH-000486,-0.8937682686703841
ACH-000487,-0.6760776359445457
ACH-000488,-0.9062305538053006
ACH-000490,-0.8066541840626266
ACH-000491,-0.8169286850381785
ACH-000495,-0.7479369962885799
ACH-000496,-0.8401120942142855
ACH-000499,-0.9298504064448232
ACH-000500,-1.0456538266982582
ACH-000502,-0.7141762721220225
ACH-000503,-0.7914856994424648
ACH-000505,-0.7037182353234076
ACH-000507,-0.8818153249186634
ACH-000510,-0.7854089467975284
ACH-000511,-0.7611207002015334
ACH-000512,-0.7209130566640131
ACH-000516,-0.8867014415014977
