,SZRD1 (26099)
ACH-000004,-0.0600502356964796
ACH-000005,0.008332596242325139
ACH-000007,-0.35603767684377624
ACH-000009,-0.25673818404313736
ACH-000011,-0.21593702549686175
ACH-000012,-0.23806301906173655
ACH-000013,-0.1051763191726744
ACH-000014,-0.32472364326188763
ACH-000015,-0.11851723969660527
ACH-000017,-0.2711832680882065
ACH-000018,-0.3919155094547507
ACH-000019,-0.2435331548910318
ACH-000021,-0.12856148804257975
ACH-000022,-0.13891808792716534
ACH-000025,-0.1568489023036985
ACH-000028,-0.21480492648245728
ACH-000030,-0.13998931423332153
ACH-000035,-0.3022670955020604
ACH-000036,-0.20278870606637006
ACH-000037,-0.19416859287489946
ACH-000039,-0.17898175320716544
ACH-000040,-0.14718967152266713
ACH-000041,-0.0343226454602783
ACH-000042,-0.1881219568399201
ACH-000045,-0.11393282907567437
ACH-000047,-0.12518080225902128
ACH-000052,-0.06702513277779261
ACH-000053,-0.2590454731891337
ACH-000054,-0.11931477922097035
ACH-000055,-0.2737440198591138
ACH-000060,-0.1731332643155616
ACH-000067,-0.2814894385437573
ACH-000070,-0.2916477758178743
ACH-000075,-0.4312264608481626
ACH-000078,-0.11034908488373224
ACH-000082,-0.20126977177637248
ACH-000085,-0.042303843734725115
ACH-000086,-0.3691478262210716
ACH-000087,-0.07982266588270494
ACH-000092,-0.1969456756271611
ACH-000095,-0.2329767352240229
ACH-000097,-0.3811525653075728
ACH-000098,-0.14302848566627738
ACH-000099,-0.18896279324311366
ACH-000108,-0.1479968878645647
ACH-000113,-0.20096293015336134
ACH-000116,-0.17025553279285555
ACH-000118,-0.05220809866022561
ACH-000120,-0.22924925428913734
ACH-000123,-0.1253553091952865
ACH-000127,-0.27082241595548884
ACH-000128,0.027740619222775115
ACH-000132,-0.17202205429211292
ACH-000133,-0.3249557141465364
ACH-000137,-0.10332814326178308
ACH-000138,-0.0821235125905942
ACH-000142,-0.2258280914335637
ACH-000143,-0.1947649606015435
ACH-000146,-0.06025483624958644
ACH-000148,-0.18528684318543606
ACH-000150,-0.4291466977859509
ACH-000152,-0.09882111856517288
ACH-000153,0.022029643228147596
ACH-000159,-0.227582119720732
ACH-000160,-0.1616088374019732
ACH-000163,-0.2632496818712617
ACH-000167,-0.2149552962019155
ACH-000168,-0.3748957884058023
ACH-000169,-0.1067784801444749
ACH-000178,-0.24336979303734835
ACH-000183,-0.23961137327648896
ACH-000188,-0.38719691048820976
ACH-000189,-0.19456731366365654
ACH-000190,-0.2252088332465336
ACH-000198,-0.15074102428526684
ACH-000203,-0.2084552536346921
ACH-000204,-0.4096719327209777
ACH-000206,-0.11962911502200728
ACH-000207,-0.14287869753354615
ACH-000208,-0.24106445290592204
ACH-000210,-0.049198818725872576
ACH-000211,-0.30669167483199955
ACH-000215,-0.2567427969543267
ACH-000221,-0.002564024285769332
ACH-000222,-0.1949772213056948
ACH-000223,-0.269624033386345
ACH-000226,-0.35580967785801393
ACH-000227,-0.09108603626371972
ACH-000228,0.05619270373261548
ACH-000231,-0.2827658530661472
ACH-000232,0.019931398022218227
ACH-000233,-0.366486838514834
ACH-000234,-0.27634499568520104
ACH-000235,-0.16431539324321012
ACH-000237,-0.2470197945567856
ACH-000238,-0.1310150495957829
ACH-000242,-0.36760506119118375
ACH-000243,-0.05518432326079084
ACH-000244,-0.4772784139738929
ACH-000246,-0.3645165895558764
ACH-000248,-0.14484211553708035
ACH-000250,-0.2387005092395387
ACH-000251,-0.3431967529196894
ACH-000252,-0.09604195151827928
ACH-000253,-0.10750468367701647
ACH-000255,-0.26105233054970833
ACH-000256,-0.34982513606623705
ACH-000257,0.2079009142743959
ACH-000258,-0.17061635027142066
ACH-000259,-0.12781841075267572
ACH-000260,-0.2746238401874107
ACH-000261,-0.26734474666553776
ACH-000262,-0.25331368411376776
ACH-000263,-0.08461408336328967
ACH-000264,-0.17366730443859554
ACH-000265,-0.16222032758126548
ACH-000266,-0.041514351156838165
ACH-000272,-0.1701174475924024
ACH-000274,-0.1332139892512091
ACH-000277,-0.21149091540287854
ACH-000278,-0.37311522766940336
ACH-000279,-0.10419088362788136
ACH-000280,-0.16720961909814422
ACH-000281,-0.2295318545547846
ACH-000288,-0.30454199062581433
ACH-000291,-0.2058525790657025
ACH-000293,-0.38874085002753705
ACH-000294,0.10615372915632854
ACH-000295,-0.2786155335530928
ACH-000296,-0.4101377915945824
ACH-000302,-0.20097420737545316
ACH-000304,-0.25351218832412376
ACH-000307,-0.1886372257603435
ACH-000308,-0.1440672743621414
ACH-000310,-0.1458080141223925
ACH-000311,-0.10908504046407784
ACH-000312,-0.2266350004922531
ACH-000315,-0.06815536581171497
ACH-000316,-0.17686933805575478
ACH-000317,-0.2994374640083145
ACH-000318,-0.14980234964204342
ACH-000319,-0.28444597501502605
ACH-000320,-0.18501082278203854
ACH-000322,-0.2524372555290413
ACH-000323,-0.37620351407409625
ACH-000324,-0.2290450243272696
ACH-000329,-0.4965080655947683
ACH-000330,-0.4229764691575125
ACH-000331,-0.3474645658582559
ACH-000332,-0.12732198345159815
ACH-000334,0.00942869019474417
ACH-000335,-0.08175129802896484
ACH-000336,0.11301781196990128
ACH-000337,-0.2434307940228485
ACH-000338,-0.4896197641143197
ACH-000339,-0.16670660470934362
ACH-000341,-0.3573151249510921
ACH-000348,-0.3299575395059729
ACH-000350,-0.09514774445864037
ACH-000352,-0.2381740968916815
ACH-000356,0.000864834566036922
ACH-000361,-0.29822564059238704
ACH-000362,-0.11670321960934606
