,GSTT2B (653689)
ACH-000004,-0.5874335400541378
ACH-000005,-0.8223308134264172
ACH-000007,-0.5070102802267441
ACH-000009,-0.5375678991954554
ACH-000011,-0.5090995943355581
ACH-000012,-0.6041405806589286
ACH-000013,-0.451893927795632
ACH-000014,-0.5704764845359683
ACH-000015,-0.6098021677952238
ACH-000017,-0.7412346609071626
ACH-000018,-0.6736727880755117
ACH-000019,-0.483690784584618
ACH-000021,-0.5121237662149197
ACH-000022,-0.4892614503479837
ACH-000025,-0.6409944713825421
ACH-000028,-0.5767328888971233
ACH-000030,-0.5345073116630505
ACH-000035,-0.4590462437201276
ACH-000036,-0.4822946888832921
ACH-000037,-0.4881613937921422
ACH-000039,-0.4424782536852747
ACH-000040,-0.52144967861811
ACH-000041,-0.4912192198800439
ACH-000042,-0.6827899313083673
ACH-000045,-0.4373362319599621
ACH-000047,-0.5786526871510441
ACH-000052,-0.5314813696299667
ACH-000053,-0.4152631085210145
ACH-000054,-0.4588109770891661
ACH-000055,-0.8916209717358843
ACH-000060,-0.5645950864352139
ACH-000067,-0.6036004530431199
ACH-000070,-0.5578757033536088
ACH-000075,-0.4971703453420558
ACH-000078,-0.6322016566591676
ACH-000082,-0.3975911757115339
ACH-000085,-0.44585136647657775
ACH-000086,-0.4272971773579319
ACH-000087,-0.661146204158171
ACH-000092,-0.583999444021254
ACH-000095,-0.4462163497530114
ACH-000097,-0.4951150095203785
ACH-000098,-0.6061084277999312
ACH-000099,-0.42234704636224857
ACH-000108,-0.5137830728602816
ACH-000113,-0.4869251554913396
ACH-000116,-0.4490609336575307
ACH-000118,-0.529598221287243
ACH-000120,-0.5857275758276986
ACH-000123,-0.427252174716844
ACH-000127,-0.517976051382212
ACH-000128,-0.4557809680405877
ACH-000132,-0.4727222341613849
ACH-000133,-0.5089803739541852
ACH-000137,-0.6034492605267178
ACH-000138,-0.4139300319672571
ACH-000142,-0.3973251312535279
ACH-000143,-0.5232359220697165
ACH-000146,-0.5914375419034235
ACH-000148,-0.40896517754487577
ACH-000150,-0.6606142426466308
ACH-000152,-0.6027070989647219
ACH-000153,-0.5396425839515092
ACH-000159,-0.3208019590767862
ACH-000160,-0.464119848759013
ACH-000163,-0.509941226990495
ACH-000167,-0.5519635208547917
ACH-000168,-0.4356611409802592
ACH-000169,-0.5089493557005234
ACH-000178,-0.4669758554676516
ACH-000183,-0.6329540118519515
ACH-000188,-0.4978718362889112
ACH-000189,-0.5684026574138983
ACH-000190,-0.5234250098667725
ACH-000198,-0.4309262649849934
ACH-000203,-0.6245405606316998
ACH-000204,-0.6039658078409262
ACH-000206,-0.3787940887624151
ACH-000207,-0.4687352784980766
ACH-000208,-0.38506122906014
ACH-000210,-0.6313611654611779
ACH-000211,-0.4654366407221471
ACH-000215,-0.4917518991759733
ACH-000221,-0.6442173560307962
ACH-000222,-0.7035380111086281
ACH-000223,-0.5776551742464663
ACH-000226,-0.5639587203869
ACH-000227,-0.32349717057570976
ACH-000228,-0.5185664842566342
ACH-000231,-0.7137026495890282
ACH-000232,-0.5209820284248077
ACH-000233,-0.4391679561135733
ACH-000234,-0.30599724328637107
ACH-000235,-0.4543369521687778
ACH-000237,-0.7131784915685059
ACH-000238,-0.595503898838333
ACH-000242,-0.6065435233136058
ACH-000243,-0.4637377753786101
ACH-000244,-0.4421424040759231
ACH-000246,-0.4249694767271562
ACH-000248,-0.4979071477209095
ACH-000250,-0.4741498660018864
ACH-000251,-0.4812097437503855
ACH-000252,-0.6157991220956246
ACH-000253,-0.31262311549858385
