,MFSD2A (84879)
ACH-000004,-0.1232180468041758
ACH-000005,-0.17522693395451258
ACH-000007,0.044390665735968164
ACH-000009,-0.06066728085659795
ACH-000011,-0.0216069997566361
ACH-000012,-0.11267461194758792
ACH-000013,-0.06338097502246808
ACH-000014,0.06974598216374088
ACH-000015,-0.018941509474727752
ACH-000017,0.025628293873900757
ACH-000018,-0.021752799107263642
ACH-000019,3.0652411449284085e-05
ACH-000021,-0.08730161237887478
ACH-000022,-0.05333097534656018
ACH-000025,-0.09337672728750904
ACH-000028,0.015393949980864609
ACH-000030,-0.07027548070504187
ACH-000035,-0.1986277033457018
ACH-000036,0.012339876709187387
ACH-000037,0.006666265412894822
ACH-000039,0.02790164616967933
ACH-000040,-0.18911757034235885
ACH-000041,-0.047134825373257305
ACH-000042,-0.08285481402036614
ACH-000045,-0.1782457132110951
ACH-000047,-0.04274329463293949
ACH-000052,-0.10679942088178633
ACH-000053,-0.10109131804177217
ACH-000054,-0.0048117069242265935
ACH-000055,-0.2012293053704162
ACH-000060,-0.13028354637499828
ACH-000067,-0.052642008983726056
ACH-000070,-0.05200699877482667
ACH-000075,-0.00043368314924614336
ACH-000078,-0.16630855503048533
ACH-000082,-0.0958426432376986
ACH-000085,0.167514782058639
ACH-000086,-0.05831556223204042
ACH-000087,0.034468152035050166
ACH-000092,-0.2684854257325122
ACH-000095,0.00978454503392929
ACH-000097,-0.0376145240759074
ACH-000098,-0.12885471160821235
ACH-000099,0.016328356718887098
ACH-000108,-0.09503930816925316
ACH-000113,-0.1514383417467366
ACH-000116,-0.14068598594874207
ACH-000118,-0.08897736917151709
ACH-000120,-0.08202810623227265
ACH-000123,0.03447080452916386
ACH-000127,-0.05058340440319472
ACH-000128,-0.19245105632116166
ACH-000132,-0.2325224687359241
ACH-000133,-0.0743491475545116
ACH-000137,-0.2539234981442328
ACH-000138,-0.0743604330804449
ACH-000142,-0.06999113743529346
ACH-000143,0.04695326716382115
ACH-000146,-0.24423122505455974
ACH-000148,-0.030355477199089768
ACH-000150,-0.17865177000492835
ACH-000152,-0.1664364425454571
ACH-000153,0.05332375219921414
ACH-000159,-0.07617975662281502
ACH-000160,-0.06454611490506885
ACH-000163,-0.03787489786637298
ACH-000167,-0.2800817980093202
ACH-000168,0.003942460245899565
ACH-000169,-0.13554488118985686
ACH-000178,0.003293130496700791
ACH-000183,-0.11015866632154288
ACH-000188,-0.04687538963868637
ACH-000189,0.033201802123462784
ACH-000190,-0.03211139459771815
ACH-000198,-0.06290034676006505
ACH-000203,-0.12112702104509422
ACH-000204,-0.08966354000557912
ACH-000206,-0.20609186569468746
ACH-000207,0.01057936404764823
ACH-000208,0.02397899628166268
ACH-000210,0.05986165254328961
ACH-000211,0.1419318757245555
ACH-000215,-0.05201575109538393
ACH-000221,-0.001957537400695541
ACH-000222,0.06438822312637665
ACH-000223,-0.00718211790461747
ACH-000226,0.04658628142970525
ACH-000227,0.047212556689173096
ACH-000228,-0.07052021082538006
ACH-000231,-0.09473214196759466
ACH-000232,0.027640942557746302
ACH-000233,-0.027040332124830663
ACH-000234,-0.07221449955695355
ACH-000235,-0.06068460607423541
ACH-000237,-0.12222252366805035
ACH-000238,-0.05561377851207011
ACH-000242,0.08343934298360706
ACH-000243,-0.04570074379555057
ACH-000244,-0.15148811658610128
ACH-000246,-0.08021410891830454
ACH-000248,-0.051681130622707294
ACH-000250,-0.01524104176743864
ACH-000251,-0.08658403537560128
ACH-000252,-0.1715259605260426
ACH-000253,-0.043043966219263714
ACH-000255,-0.07653812426856285
ACH-000256,-0.12839031674251294
ACH-000257,-0.12681372018101725
ACH-000258,-0.02122193594847932
ACH-000259,-0.09679650722409497
ACH-000260,-0.09183209781337613
ACH-000261,0.016137876457256072
ACH-000262,-0.09282215805650966
ACH-000263,-0.09821083574487342
ACH-000264,-0.08048029876153495
ACH-000265,-0.04871293540305833
ACH-000266,-0.042509259379930484
ACH-000272,-0.11524744923120968
ACH-000274,-0.09868558097964172
ACH-000277,0.14410396343922693
ACH-000278,-0.13938153463556832
ACH-000279,-0.020885283937077732
ACH-000280,-0.054867434088167084
ACH-000281,-0.002568656596303871
ACH-000288,-0.051567661857250834
ACH-000291,0.007273008992044256
ACH-000293,-0.04470905984893574
ACH-000294,-0.013082555921267952
ACH-000295,-0.1744971458299509
ACH-000296,-0.1114214109446274
ACH-000302,-0.04165602326109223
ACH-000304,-0.12972668498798245
ACH-000307,-0.08744622404716647
ACH-000308,-0.03831304098830116
ACH-000310,-0.03224748576933063
ACH-000311,-0.10145446984995067
ACH-000312,-0.2191809156974964
ACH-000315,-0.15717560429650607
