,SMG8 (55181)
ACH-000004,-0.4983025109994724
ACH-000005,-0.16762000117817927
ACH-000007,-0.34699664716252754
ACH-000009,-0.3078278444282357
ACH-000011,-0.3387219493955705
ACH-000012,-0.4459728086820647
ACH-000013,-0.2606578371657625
ACH-000014,-0.33565997972335776
ACH-000015,-0.2631316299844806
ACH-000017,-0.5144122263104144
ACH-000018,-0.4029089556385734
ACH-000019,-0.7167128574639502
ACH-000021,-0.2328818364134984
ACH-000022,-0.3885074806795457
ACH-000025,-0.3317927050540723
ACH-000028,-0.4401035061388818
ACH-000030,-0.2802283088252885
ACH-000035,-0.3899631083530225
ACH-000036,-0.5090140939162493
ACH-000037,-0.26830483433365393
ACH-000039,-0.4895858811004898
ACH-000040,-0.377425785332596
ACH-000041,-0.41977174064269945
ACH-000042,-0.31563032196105106
ACH-000045,-0.4401512381055279
ACH-000047,-0.35197867514862363
ACH-000052,-0.2705265800892965
ACH-000053,-0.3697139396115111
ACH-000054,-0.38132518894538575
ACH-000055,-0.1615587973848132
ACH-000060,-0.4568542176017938
ACH-000067,-0.4522861598761851
ACH-000070,-0.3526244124079769
ACH-000075,-0.2909733545240471
ACH-000078,-0.4428649456704356
ACH-000082,-0.3917639441470063
ACH-000085,-0.43773451016126
ACH-000086,-0.42610887789512814
ACH-000087,-0.1171845440689592
ACH-000092,-0.2851059223761184
ACH-000095,-0.4877806418248585
ACH-000097,-0.2810606949414991
ACH-000098,-0.4382538237660677
ACH-000099,-0.4061456124545437
ACH-000108,-0.3288749545281475
ACH-000113,-0.3926583756275387
ACH-000116,-0.4093069372608769
ACH-000118,-0.4200335951460754
ACH-000120,-0.4112394203802636
ACH-000123,-0.44807079690591306
ACH-000127,-0.2572624719584373
ACH-000128,-0.5004495046832402
ACH-000132,-0.4031297644946174
ACH-000133,-0.41937214111305615
ACH-000137,-0.317013398553065
ACH-000138,-0.508574171194449
ACH-000142,-0.5108357094324951
ACH-000143,-0.34918775267588786
ACH-000146,-0.33950084636269484
ACH-000148,-0.4575299443192262
ACH-000150,-0.426831787959133
ACH-000152,-0.35088346027753364
ACH-000153,-0.7102967415757871
ACH-000159,-0.3578064720845935
ACH-000160,-0.3686095374768665
ACH-000163,-0.4603478431640453
ACH-000167,-0.3615787802706375
ACH-000168,-0.5196469785208152
ACH-000169,-0.41068428606376456
ACH-000178,-0.11551345903741587
ACH-000183,-0.494226675908835
ACH-000188,-0.21339751832790532
ACH-000189,-0.33375765570647425
ACH-000190,-0.4342216437360506
ACH-000198,-0.5967799174272572
ACH-000203,-0.7323673902628812
ACH-000204,-0.765320783929078
ACH-000206,-0.3724299715768432
ACH-000207,-0.31067056644383323
ACH-000208,-0.2804118995995025
ACH-000210,-0.13510802757723492
ACH-000211,-0.3766213964677519
ACH-000215,-0.3415166149656995
ACH-000221,-0.3887985871493085
ACH-000222,-0.4197936002805485
ACH-000223,-0.2819428383346309
ACH-000226,-0.4455329818148096
ACH-000227,-0.4819856991461341
ACH-000228,-0.28690263083534984
ACH-000231,-0.4291460359251642
ACH-000232,-0.26634455563688875
ACH-000233,-0.4576831988097047
ACH-000234,-0.4907548235982048
ACH-000235,-0.3947173729960737
ACH-000237,-0.34336445824828365
ACH-000238,-0.4832176343272685
ACH-000242,-0.26129177313823804
ACH-000243,-0.3289655383995313
ACH-000244,-0.3826190565609954
ACH-000246,-0.282392593694661
ACH-000248,-0.4853014242379893
ACH-000250,-0.2810334586007154
ACH-000251,-0.4823033808671479
ACH-000252,-0.33040346727488423
ACH-000253,-0.26957971964901284
