,PLXNB2 (23654)
ACH-000410,-0.006174414739125605
ACH-000411,0.2865790963230937
ACH-000414,0.23586854413301064
ACH-000415,0.21489805680969185
ACH-000416,-0.013668189390685832
ACH-000420,-0.05440765005585599
ACH-000421,0.0938137414160198
ACH-000424,0.2756333266807356
ACH-000425,0.10456472800650622
ACH-000426,0.17970150914492988
ACH-000427,0.11005312310835484
ACH-000433,0.09722157021484236
ACH-000435,-0.07247188751721463
ACH-000436,0.12242027097780753
ACH-000444,0.04101181138876393
ACH-000445,0.3338436712765707
ACH-000448,0.08347284514044112
ACH-000450,0.14099349101403733
ACH-000452,0.16309431611816266
ACH-000454,0.12620394136259475
ACH-000458,0.060470396137022514
ACH-000459,-0.08087676061808781
ACH-000460,0.08802040494581351
ACH-000461,0.10453192605489632
ACH-000463,0.16072435563852908
ACH-000464,0.060358282502724965
ACH-000466,0.011732538646744048
ACH-000467,0.16144061344268804
ACH-000468,0.04299465313017972
ACH-000469,0.1465093879209516
ACH-000470,0.12004462980433607
ACH-000471,0.2401914518216819
ACH-000472,0.0886990756441217
ACH-000473,0.30147396312186714
ACH-000475,0.1197275133403053
ACH-000476,0.19508665995085409
ACH-000477,0.03930455059162175
ACH-000479,-0.02786810606221771
ACH-000480,0.08989504009899811
ACH-000481,0.20837143975315708
ACH-000483,-0.07914521172555589
ACH-000484,-0.11832440971394427
ACH-000485,0.16851270348002054
ACH-000486,0.13282612975355546
ACH-000487,0.1685235301570873
ACH-000488,0.09505914511776307
ACH-000490,0.09770664498709647
ACH-000491,0.0849745128953641
ACH-000495,0.2068471979417429
ACH-000496,0.2371098918671456
ACH-000499,0.08176584397731745
ACH-000500,0.29712990710724396
ACH-000502,0.1481106199775506
ACH-000503,0.2835484549934333
ACH-000505,0.16405843664331635
ACH-000507,-0.001336378890666525
ACH-000510,0.11757177628959915
ACH-000511,0.1224873682431138
ACH-000512,0.17150883412103102
ACH-000516,-0.017709729744523294
ACH-000517,0.07526863913547659
ACH-000518,0.10203047010361886
ACH-000520,0.11241174280074516
ACH-000521,0.2953576716830187
ACH-000522,0.13557207984798048
ACH-000524,0.004356720854508722
ACH-000527,0.12837204642216093
ACH-000528,-0.014297806610619218
ACH-000537,0.17999416944114247
ACH-000541,0.08954153071953495
ACH-000542,0.06653606069811335
ACH-000544,0.19947159125332264
ACH-000545,0.21809185528528213
ACH-000547,0.08253411717750928
ACH-000548,0.2192305424045939
ACH-000549,0.16771486789118212
ACH-000550,0.08128759185876659
