,TUBB2A (7280)
ACH-000004,-0.09886253093525928
ACH-000005,-0.026349240368548747
ACH-000007,-0.18404015431079093
ACH-000009,-0.1539099278284509
ACH-000011,-0.10092487223588087
ACH-000012,-0.19410854186801824
ACH-000013,-0.027737915019581408
ACH-000014,-0.4144197897618416
ACH-000015,-0.08018308590055792
ACH-000017,-0.19942247571615448
ACH-000018,-0.2600046757679741
ACH-000019,-0.09398162020061177
ACH-000021,-0.09347795156120936
ACH-000022,-0.1305212049532973
ACH-000025,-0.31307072843364003
ACH-000028,-0.07087667704882665
ACH-000030,-0.04081133147695617
ACH-000035,0.13954018104802127
ACH-000036,-0.1749468346694969
ACH-000037,-0.14481483216119925
ACH-000039,0.0804331776453513
ACH-000040,-0.2432745559886507
ACH-000041,-0.15721703543294194
ACH-000042,-0.09278625895780823
ACH-000045,-0.2930099010576162
ACH-000047,0.04795823776105264
ACH-000052,-0.10885767164057857
ACH-000053,-0.14047844174813687
ACH-000054,-0.2114254427506212
ACH-000055,-0.2703736825410295
ACH-000060,-0.17942616442683054
ACH-000067,-0.33688248457775505
ACH-000070,-0.15100934177399986
ACH-000075,-0.15951267162735105
ACH-000078,-0.12503955822286625
ACH-000082,-0.21470906746259846
ACH-000085,-0.11105097320228302
ACH-000086,-0.23683228035566525
ACH-000087,-0.3181960498793792
ACH-000092,-0.2275272459771222
ACH-000095,-0.19149125570249065
ACH-000097,-0.023255344657719626
ACH-000098,-0.17816858701479107
ACH-000099,-0.0766191188482747
ACH-000108,-0.19333162917919605
ACH-000113,-0.014828542733472068
ACH-000116,-0.015076263356111154
ACH-000118,-0.053714974562330105
ACH-000120,-0.19274074213930686
ACH-000123,-0.14372019265804556
ACH-000127,-0.2322769031588117
ACH-000128,-0.1903748641911518
ACH-000132,0.015751992901903412
ACH-000133,-0.15839656960468035
ACH-000137,-0.19322107695305268
ACH-000138,-0.12329274572742505
ACH-000142,-0.2162104601030404
ACH-000143,-0.1343792926276934
ACH-000146,-0.12575235392721185
ACH-000148,-0.0946083892697362
ACH-000150,-0.10964842253079174
ACH-000152,-0.08676350463301266
ACH-000153,-0.08883208112175257
ACH-000159,-0.01468870638097014
ACH-000160,-0.14075164011557145
ACH-000163,0.0410543032498405
