,COX4I1 (1327)
ACH-000004,-0.3066825160359842
ACH-000005,-0.4117155305477395
ACH-000007,-0.4754177683574539
ACH-000009,-0.19148947849039785
ACH-000011,-0.04551279703475631
ACH-000012,-0.2413755377355633
ACH-000013,-0.39820800790443134
ACH-000014,-0.3432990904686104
ACH-000015,-0.3323474863339589
ACH-000017,-0.1995854834683604
ACH-000018,-0.08054207376090416
ACH-000019,-0.5218918914999128
ACH-000021,-0.3449429403698111
ACH-000022,-0.2619090738394976
ACH-000025,-0.4713340115449719
ACH-000028,-0.10288723803817404
ACH-000030,-0.3449102546788367
ACH-000035,-0.38435600070074416
ACH-000036,-0.0637997656334822
ACH-000037,-0.2814986818351102
ACH-000039,-0.4666599138772993
ACH-000040,-0.04384099155039063
ACH-000041,-0.25313223874941715
ACH-000042,-0.114824051922406
ACH-000045,-0.5113625764902245
ACH-000047,-0.7525515359725448
ACH-000052,-0.3014128542250839
ACH-000053,-0.2756072516153297
ACH-000054,-0.4834817022142665
ACH-000055,-0.29374317672279
ACH-000060,-0.21032987635603567
ACH-000067,-0.14417596802357452
ACH-000070,-0.3242368278242217
ACH-000075,-0.2882062096915866
ACH-000078,-0.32884746249056185
ACH-000082,-0.1574666668074484
ACH-000085,-0.21529744710955653
ACH-000086,-0.3380633732469305
ACH-000087,-0.3152409112099617
ACH-000092,-0.16390539195554354
ACH-000095,-0.049220825722085214
ACH-000097,-0.1911743218775712
ACH-000098,-0.33248988691214576
ACH-000099,-0.2538365042786305
ACH-000108,-0.428191598876107
ACH-000113,-0.4123953138417017
ACH-000116,-0.4230143920476934
ACH-000118,-0.5993081844294516
ACH-000120,-0.42238322416353613
ACH-000123,-0.3887504189071136
ACH-000127,-0.5235386413012099
ACH-000128,-0.34221291223316
ACH-000132,-0.2261281928190501
ACH-000133,-0.2754929236501897
ACH-000137,-0.41302337287450297
ACH-000138,-0.3857408538690394
ACH-000142,-0.020807303537259427
ACH-000143,-0.12642938438634505
ACH-000146,-0.7453253179139602
ACH-000148,-0.3598940215470289
ACH-000150,-0.4177969377064347
ACH-000152,-0.2940494542517628
ACH-000153,-0.34929152945406183
ACH-000159,-0.3258059036926473
ACH-000160,-0.5437925621244621
ACH-000163,-0.20495643195501528
ACH-000167,-0.1628679477814999
ACH-000168,-0.20655310339969973
ACH-000169,-0.2685710098904784
ACH-000178,-0.2039004953477347
ACH-000183,-0.5028903195933314
ACH-000188,-0.15821695896473564
ACH-000189,-0.3119131602331397
ACH-000190,-0.5010897336233269
ACH-000198,-0.3732334259801836
ACH-000203,0.1861769602221447
ACH-000204,-0.2424829253518953
ACH-000206,-0.25534866097539016
ACH-000207,-0.347613189500534
ACH-000208,-0.3228420836551352
ACH-000210,-0.6178267784444396
ACH-000211,-0.2715750896514253
ACH-000215,-0.3626048302650429
ACH-000221,-0.35715621582211865
ACH-000222,-0.3089322837854869
ACH-000223,-0.2989026464049454
ACH-000226,-0.2316968292266219
ACH-000227,-0.32574015434701
ACH-000228,-0.19155850652775744
ACH-000231,-0.11519969275181452
ACH-000232,-0.15419051866527164
ACH-000233,-0.436141777347997
ACH-000234,-0.21565992801721154
ACH-000235,-0.2412226347697935
ACH-000237,-0.1539040779957455
ACH-000238,-0.15181088485009062
ACH-000242,-0.3122841980968562
ACH-000243,-0.23586742721621265
ACH-000244,-0.5211549914141037
ACH-000246,-0.5203418306342292
ACH-000248,-0.37443297896356986
ACH-000250,-0.14670258336448525
ACH-000251,-0.16488845635600685
ACH-000252,-0.268617355533094
ACH-000253,-0.2939381142517791
ACH-000255,-0.1317576262075154
ACH-000256,-0.1210986739151095
ACH-000257,-0.598109801700441
ACH-000258,-0.31361672017396863
ACH-000259,-0.15658574592683666
ACH-000260,-0.15948208046661902
ACH-000261,-0.29106400747923705
ACH-000262,-0.2653644746124932
ACH-000263,-0.2777044505411145
ACH-000264,-0.2573004408472433
ACH-000265,-0.2584346652313031
ACH-000266,-0.2231066327177848
ACH-000272,-0.1920199530168576
ACH-000274,-0.2844796219762353
ACH-000277,-0.7090089433610459
ACH-000278,-0.11357223652332887
ACH-000279,-0.4424056550192921
ACH-000280,-0.2884655506139558
ACH-000281,-0.2848581926073529
ACH-000288,-0.3953675635993129
ACH-000291,-0.4682856027983993
ACH-000293,-0.2304597697275512
ACH-000294,-0.14369522595494633
ACH-000295,-0.5313860296416435
ACH-000296,0.00515542770960488
ACH-000302,-0.2914062934323578
ACH-000304,-0.5900544923636023
ACH-000307,-0.2971079388549985
ACH-000308,-0.2723143536308026
ACH-000310,-0.1935020334463118
ACH-000311,-0.3536315853488718
ACH-000312,-0.5721060672451694
ACH-000315,-0.4022783830940349
ACH-000316,-0.3846220394277405
ACH-000317,-0.6485399422404722
ACH-000318,-0.20697835918315186
ACH-000319,-0.3318113148212741
ACH-000320,-0.31283702609107616
ACH-000322,-0.521185658780356
ACH-000323,-0.2948514278187681
ACH-000324,0.04405350110251596
ACH-000329,-0.6608259193182522
ACH-000330,-0.3996399455889913
ACH-000331,-0.14194372661641638
ACH-000332,-0.044331901520749374
ACH-000334,-0.5325349994476224
ACH-000335,-0.31221757634273944
ACH-000336,-0.4193407367752842
ACH-000337,-0.5352404211111407
ACH-000338,-0.6727590795605853
ACH-000339,-0.4455046789426957
ACH-000341,-0.3016232548899962
ACH-000348,-0.3840407950349595
ACH-000350,-0.42397829241868057
ACH-000352,-0.4158305065481453
ACH-000356,-0.4679358366759331
ACH-000361,-0.4296381909523192
ACH-000362,-0.4516013207866115
ACH-000363,-0.5158068348003889
ACH-000364,-0.15627959063938932
ACH-000365,-0.4217544536513029
ACH-000366,-0.26769443153780803
ACH-000368,-0.2847722493557735
ACH-000374,-0.4143907476278935
ACH-000375,-0.32127201503779595
ACH-000376,-0.4263588164815759
ACH-000381,-0.3886588808079439
ACH-000383,-0.4415317238944924
ACH-000387,-0.5072308212940568
ACH-000389,-0.0601859216274277
ACH-000390,-0.3772538730739338
ACH-000393,-0.23934734704601346
ACH-000395,-0.33486017419617004
ACH-000396,-0.9968025986561876
ACH-000397,-0.1405704830935042
ACH-000401,-0.4968961231083416
ACH-000402,-0.322522997925013
ACH-000403,-0.29963819333759995
ACH-000404,-0.7245274320215227
ACH-000406,-0.4087102273091448
ACH-000407,-0.1098201853220174
ACH-000408,-0.4551489477728212
ACH-000410,-0.19255385498624344
ACH-000411,-0.16827928290322372
ACH-000414,-0.35098068854735803
ACH-000415,-0.12741709711900495
ACH-000416,-0.31652325269867804
ACH-000420,-0.2155648561241105
ACH-000421,-0.2882743690031915
ACH-000424,-0.3977363051712684
ACH-000425,-0.29623327284799433
ACH-000426,-0.22954299881082474
ACH-000427,-0.5610758555832205
ACH-000433,-0.3073049762995477
ACH-000435,-0.02752398296956244
ACH-000436,-0.1927531835698748
ACH-000444,-0.5590375034446368
ACH-000445,-0.03386201056784506
ACH-000448,-0.24215958981301386
ACH-000450,-0.6824759080060379
ACH-000452,-0.19068924446407576
ACH-000454,-0.5091007094660177
ACH-000458,-0.1733589924449469
ACH-000459,-0.7456673184769284
ACH-000460,-0.4623594842994984
ACH-000461,-0.5334842701373819
ACH-000463,-0.2398094729182725
ACH-000464,-0.25369695778072826
ACH-000466,-0.2740954333740667
ACH-000467,-0.6691341843931154
ACH-000468,-0.2722264477499293
ACH-000469,-0.4851031945901232
ACH-000470,-0.1393271042133817
ACH-000471,-0.06346868273656599
ACH-000472,-0.3121695864411101
ACH-000473,-0.4418727137799868
ACH-000475,-0.40335857541709375
ACH-000476,-0.6568399175606829
ACH-000477,-0.19387355356869465
ACH-000479,-0.3332091667023471
ACH-000480,-0.4019656186032177
ACH-000481,-0.21323167352624
ACH-000483,-0.3443024544718928
ACH-000484,-0.2839183154296361
ACH-000485,-0.3558050308481421
ACH-000486,-0.2843760053359301
ACH-000487,-0.2775904955589288
ACH-000488,-0.6748647303373674
ACH-000490,-0.09477061810527336
ACH-000491,-0.4433399228360848
ACH-000495,-0.09320582482602126
ACH-000496,-0.17699734146536766
ACH-000499,-0.5944311973789941
ACH-000500,-0.10516028546151117
ACH-000502,-0.26977947060549057
ACH-000503,-0.4597952827045759
ACH-000505,-0.2263835055660288
ACH-000507,-0.5443925913963877
ACH-000510,-0.2494969434870441
ACH-000511,-0.11969558698469195
ACH-000512,-0.35260323786015313
ACH-000516,-0.2394057482969113
ACH-000517,-0.2272828635227787
ACH-000518,-0.24475810968764555
ACH-000520,-0.25418837434244884
ACH-000521,-0.390292651017017
ACH-000522,-0.40558852548435204
