,KMT2A (4297)
ACH-000004,-0.12769748312175253
ACH-000005,-0.10869350163992864
ACH-000007,-0.32363016432666303
ACH-000009,-0.1626709967874481
ACH-000011,0.2262071034649376
ACH-000012,0.16327564938753714
ACH-000013,-0.3797989895030024
ACH-000014,-0.4563089477337326
ACH-000015,-0.34441246076646137
ACH-000017,-0.3729341705864937
ACH-000018,-0.5269949730555811
ACH-000019,-0.5996890162967347
ACH-000021,-0.3158518717165565
ACH-000022,-0.3821940726562312
ACH-000025,-0.31671090894257925
ACH-000028,-0.2825601012473565
ACH-000030,0.005259329395636331
ACH-000035,-0.026302207360847152
ACH-000036,-0.5097197345309978
ACH-000037,-0.1799188639354861
ACH-000039,-0.20010750662083165
ACH-000040,-0.12264364591850688
ACH-000041,-0.054294004910624714
ACH-000042,-0.5021399075799252
ACH-000045,-0.7612580304257337
ACH-000047,-0.4372940076567985
ACH-000052,-0.3851079329079989
ACH-000053,-0.07399212777626954
ACH-000054,-0.17746327637547013
ACH-000055,-0.27905747845522777
ACH-000060,-0.062261202130524135
ACH-000067,0.35039534521390125
ACH-000070,-0.07607691750788119
ACH-000075,-0.23652311980320195
ACH-000078,-0.0912784393925127
ACH-000082,-0.5103912598915672
ACH-000085,-0.5479870228499932
ACH-000086,-0.1283568863420469
ACH-000087,-0.30296955249443897
ACH-000092,-0.20987647990919767
ACH-000095,-0.3400674968538256
ACH-000097,-0.5780318103642527
ACH-000098,-0.2257850256667038
ACH-000099,-0.3318026674845109
ACH-000108,-0.3482769159657139
ACH-000113,-0.8970160341849467
ACH-000116,-0.6779199587956508
ACH-000118,-0.2693301739944721
ACH-000120,-0.3904990279427666
ACH-000123,-0.4208922648957838
ACH-000127,-0.2926832876861995
ACH-000128,-0.3196766755642799
ACH-000132,-0.39980086365247497
ACH-000133,-0.2677632406858376
ACH-000137,0.13638271492982235
ACH-000138,-0.4085095752846965
ACH-000142,0.09115884390313078
ACH-000143,-0.3841460593846533
ACH-000146,-0.5286286888658731
ACH-000148,0.05452716045059064
ACH-000150,-0.030426352068592632
ACH-000152,-0.18228738981448295
ACH-000153,-0.2125770180832956
ACH-000159,-0.2976806614796701
ACH-000160,0.06678317816435736
ACH-000163,-0.1215325058752788
ACH-000167,0.5532212502553823
ACH-000168,-0.6698852155591839
ACH-000169,-0.2408681984928933
ACH-000178,-0.10753415286829436
ACH-000183,-0.3650113731401693
ACH-000188,-0.19524336987784036
ACH-000189,0.09706085333797708
ACH-000190,0.003291181936412607
ACH-000198,-0.8100291977067925
ACH-000203,-0.7668636353323735
ACH-000204,-0.4018541699361719
ACH-000206,-0.2330412202916867
ACH-000207,-0.34139905096451273
ACH-000208,-0.2325465605577368
ACH-000210,-0.4247128861253333
ACH-000211,-0.4407970359405416
ACH-000215,-0.09353254421214924
ACH-000221,-0.3070076337299965
ACH-000222,-0.1847451521153689
ACH-000223,-0.3044033100161057
ACH-000226,-0.31793261806138706
ACH-000227,-0.06233944954205324
ACH-000228,-0.3028022086343735
ACH-000231,-0.020734720173452292
ACH-000232,-0.25599391301103763
ACH-000233,-0.1129908467445389
ACH-000234,-0.15588284374201072
ACH-000235,-0.2609164852377729
ACH-000237,-0.14406755872348578
ACH-000238,-0.12611246276622914
ACH-000242,-0.2618027851146877
ACH-000243,-0.04128483214124425
