,AVIL (10677)
ACH-000004,-0.2635755098543012
ACH-000005,-0.28539120679955265
ACH-000007,-0.11711003281234778
ACH-000009,-0.14532669009677598
ACH-000011,-0.09010582088031956
ACH-000012,-0.20520446086255809
ACH-000013,-0.04270196882875785
ACH-000014,-0.08802856251686532
ACH-000015,-0.2264204981147473
ACH-000017,-0.09626889321637401
ACH-000018,-0.06705673549525347
ACH-000019,-0.10345661790558712
ACH-000021,-0.21247851715220265
ACH-000022,-0.1420977001668862
ACH-000025,-0.37329824878841417
ACH-000028,-0.17818034143875405
ACH-000030,-0.05036742370406432
ACH-000035,-0.26439807953768085
ACH-000036,-0.17942842133778153
ACH-000037,-0.2060006853492001
ACH-000039,-0.09079007227580893
ACH-000040,-0.2496094264124148
ACH-000041,-0.05853991868543593
ACH-000042,-0.07481334379597825
ACH-000045,-0.11027741795866032
ACH-000047,-0.19028522914858256
ACH-000052,-0.0959856207639626
ACH-000053,-0.24654925185611865
ACH-000054,-0.031330260456280165
ACH-000055,-0.15003056932365785
ACH-000060,-0.058137773497098526
ACH-000067,-0.15311229146862135
ACH-000070,-0.14223139295900064
ACH-000075,-0.22999036079829935
ACH-000078,-0.15724528081108186
ACH-000082,-0.3293828898295357
ACH-000085,-0.3858443698483714
ACH-000086,-0.24623324332304955
ACH-000087,-0.15228780854237714
ACH-000092,-0.07742059387654403
ACH-000095,-0.09286208871844542
ACH-000097,0.025738956295810928
ACH-000098,-0.10629998322701424
ACH-000099,0.01621616137268991
ACH-000108,0.05270066018124609
ACH-000113,-0.11224151496762454
ACH-000116,0.03396446322585353
ACH-000118,-0.2421443976676957
ACH-000120,-0.08619549098772833
ACH-000123,-0.07497717937371769
ACH-000127,-0.13621359071723396
ACH-000128,-0.054586261064654716
ACH-000132,-0.012640682002796505
ACH-000133,-0.2471411226231437
ACH-000137,-0.21991035419933266
ACH-000138,-0.2105557889355103
ACH-000142,-0.15709397159957306
ACH-000143,-0.026593657991401967
ACH-000146,-0.11773261724290275
ACH-000148,-0.24177197938604586
ACH-000150,-0.42995852671164975
ACH-000152,-0.2838778763368464
ACH-000153,0.023353703262037243
ACH-000159,-0.13489227562228107
ACH-000160,-0.1167771093286162
ACH-000163,-0.30151245397310145
ACH-000167,-0.3085829153180737
ACH-000168,-0.13296748526794827
ACH-000169,-0.07894073345205059
ACH-000178,-0.18319479779634776
ACH-000183,-0.08577924034036648
ACH-000188,-0.1253870305990696
ACH-000189,-0.3850901739046584
ACH-000190,-0.3779036063758249
ACH-000198,-0.14426897819905954
ACH-000203,-0.5169827530445654
ACH-000204,-0.15420151326440434
ACH-000206,-0.2877209376286357
ACH-000207,-0.15968116281552933
ACH-000208,-0.32133950025254554
ACH-000210,0.2748910401659637
ACH-000211,-0.16829712405419134
ACH-000215,-0.2354878267552985
ACH-000221,-0.16246631467985256
ACH-000222,-0.10075706198805576
ACH-000223,-0.15748716111129807
ACH-000226,-0.14057403581284686
ACH-000227,-0.18192163134524486
ACH-000228,-0.1162059454987516
ACH-000231,-0.08676300245086184
ACH-000232,-0.07396780465222358
ACH-000233,-0.030740590634279606
ACH-000234,-0.22479042090231974
ACH-000235,-0.17297208644964882
ACH-000237,-0.1876897107624041
ACH-000238,-0.18581876199240568
ACH-000242,-0.0036535216943919726
ACH-000243,-0.13841717666416975
ACH-000244,-0.08170419811083117
ACH-000246,-0.0618622785698457
ACH-000248,-0.2198302965582146
ACH-000250,-0.06491363684311367
ACH-000251,-0.3043015805538625
ACH-000252,-0.2868209969345967
ACH-000253,-0.04579846495046242
ACH-000255,-0.06611318061403662
ACH-000256,-0.04451722692546982
ACH-000257,-0.07675068045349376
ACH-000258,-0.05478904772387018
ACH-000259,-0.1065801331588538
ACH-000260,-0.17826128807187444
ACH-000261,-0.13588110920192606
ACH-000262,0.2656343340824123
ACH-000263,-0.10083772960783828
ACH-000264,-0.20349179805171794
ACH-000265,-0.11102186986382437
ACH-000266,-0.10977897981736733
ACH-000272,0.02611736443672922
ACH-000274,-0.1873666326727192
ACH-000277,0.014019294801202849
ACH-000278,-0.2508117161641886
ACH-000279,-0.17728704638358592
ACH-000280,-0.10019953330531113
ACH-000281,-0.11541339580291925
ACH-000288,-0.26635370217294985
ACH-000291,-0.07339642419199369
ACH-000293,0.03375586576280694
ACH-000294,-0.00472384996376188
ACH-000295,0.11269278436782353
ACH-000296,-0.14973178033867052
ACH-000302,-0.08924791996044347
ACH-000304,-0.08163045903698872
ACH-000307,-0.01947928301692275
ACH-000308,-0.1976763875353493
ACH-000310,-0.09928176940046697
ACH-000311,-0.06970932166827183
ACH-000312,-0.06696789499773131
ACH-000315,-0.35272493048612474
ACH-000316,-0.08481396346549512
ACH-000317,0.02628179654564277
ACH-000318,-0.17021939943440867
ACH-000319,-0.17134724461872786
ACH-000320,-0.0077994214960997316
ACH-000322,-0.5433759819603309
ACH-000323,-0.008178946259841205
ACH-000324,-0.08182084578315775
ACH-000329,-0.10333963766039857
ACH-000330,-0.038116440278761834
ACH-000331,-0.07123289178638517
ACH-000332,-0.0698206853675762
ACH-000334,-0.3124302424742991
ACH-000335,-0.24943155004409
ACH-000336,-0.17780901691444534
ACH-000337,-0.14159155693479816
ACH-000338,0.06892328577717681
ACH-000339,-0.2030524331774616
ACH-000341,-0.18054962229587326
ACH-000348,-0.2566903273583289
ACH-000350,-0.13955598599316493
ACH-000352,-0.0202418134339128
ACH-000356,-0.21534977609143066
ACH-000361,-0.09997644219973957
ACH-000362,-0.1972181656801624
ACH-000363,-0.2745214029262062
ACH-000364,-0.11659833979285145
ACH-000365,-0.3193621436559487
ACH-000366,-0.10373906883862156
ACH-000368,-0.2554567494927369
ACH-000374,-0.13747862850847756
ACH-000375,-0.20489959463670104
ACH-000376,-0.06300951604257111
ACH-000381,-0.034771467995269145
ACH-000383,-0.07749566697346605
ACH-000387,-0.03199542120520546
ACH-000389,-0.0017119062429074125
ACH-000390,-0.14197988990096028
ACH-000393,-0.1281825869850987
ACH-000395,-0.38426198196825495
ACH-000396,0.08328790202492257
ACH-000397,-0.022836608301264445
ACH-000401,0.010742357258040106
ACH-000402,-0.19564801380576505
ACH-000403,-0.09399520167768356
ACH-000404,0.05952853302513219
ACH-000406,-0.2442443207659978
ACH-000407,-0.13620266073964266
ACH-000408,-0.07309144582327569
