,PATZ1 (23598)
ACH-000004,-0.0785095608769294
ACH-000005,-0.2908049865790417
ACH-000007,0.0032419205384818925
ACH-000009,-0.209195459148594
ACH-000011,-0.014288361158579716
ACH-000012,-0.1942046085773246
ACH-000013,-0.1722395498308774
ACH-000014,-0.3108642967332681
ACH-000015,-0.3421179251330633
ACH-000017,-0.030049215910955336
ACH-000018,-0.032702239948913164
ACH-000019,-0.25082007655497895
ACH-000021,0.03641424680399267
ACH-000022,-0.0961959818818447
ACH-000025,-0.17304918338245714
ACH-000028,-0.20065566270254392
ACH-000030,-0.24704286846082424
ACH-000035,-0.2515397533893351
ACH-000036,-0.15524355804903042
ACH-000037,-0.14462752411590865
ACH-000039,-0.256519769909759
ACH-000040,-0.005279119330991983
ACH-000041,0.043807125532794304
ACH-000042,-0.1262861969659049
ACH-000045,0.22569649031594397
ACH-000047,-0.22138555125591647
ACH-000052,-0.19394579663596606
ACH-000053,-0.1278351627085595
ACH-000054,-0.12967406045201998
ACH-000055,-0.5042105490589849
ACH-000060,-0.13161197112500694
ACH-000067,-0.1536499870365215
ACH-000070,-0.1985255180657212
ACH-000075,-0.15425888693195355
ACH-000078,-0.4736547878225048
ACH-000082,-0.05904065725719858
ACH-000085,-0.3039108559306405
ACH-000086,-0.11211033528304294
ACH-000087,-0.208231697788834
ACH-000092,-0.3226380171665176
ACH-000095,-0.28031445775589364
ACH-000097,-0.1859429676147909
ACH-000098,-0.18313334716007795
ACH-000099,-0.4789199264126901
ACH-000108,-0.03733106940206112
ACH-000113,-0.2186959857090831
ACH-000116,-0.1569998990058962
ACH-000118,-0.03640927124576925
ACH-000120,-0.2829329319549255
ACH-000123,-0.15855751824458594
ACH-000127,0.05371435102462186
ACH-000128,-0.2219709968009346
ACH-000132,-0.163790477233988
ACH-000133,-0.2794801956158532
ACH-000137,-0.12618197779794524
ACH-000138,-0.032020152021959784
ACH-000142,-0.21524621468541813
ACH-000143,0.03021561959595624
ACH-000146,-0.1728204805497226
ACH-000148,-0.15302679461731233
