,MT1HL1 (645745)
ACH-000004,0.029480212340139374
ACH-000005,0.04871583286549258
ACH-000007,-0.19355320904374212
ACH-000009,0.060134223116913285
ACH-000011,-0.08407577314427933
ACH-000012,0.08570519100012555
ACH-000013,0.018370752904838517
ACH-000014,0.12345035305954713
ACH-000015,-0.11265139037617243
ACH-000017,-0.051331980818978426
ACH-000018,-0.06699516949003816
ACH-000019,-0.1101114290419201
ACH-000021,-0.1031915195192712
ACH-000022,0.0368176768898259
ACH-000025,-0.05683893105458045
ACH-000028,-0.11067988899164942
ACH-000030,-0.08894247852774466
ACH-000035,0.053845878668281576
ACH-000036,-0.11726460656274215
ACH-000037,-0.08802516810586412
ACH-000039,-0.08026542899047423
ACH-000040,-0.12815323281366028
ACH-000041,-0.12089604034777605
ACH-000042,-0.052111022792698115
ACH-000045,-0.05634055396872437
ACH-000047,0.012179855862978648
ACH-000052,-0.1777671150182503
ACH-000053,0.011532419737860905
ACH-000054,-0.1867561537289842
ACH-000055,0.02123564262142991
ACH-000060,0.013426256002329313
ACH-000067,-0.02177922917929615
ACH-000070,0.02897208794891152
ACH-000075,-0.3007073336178867
ACH-000078,-0.10386542775392403
ACH-000082,-0.1628982911027882
ACH-000085,-0.19539997808125792
ACH-000086,-0.09866879625088848
ACH-000087,-0.020523497217253918
ACH-000092,-0.1401588755664816
ACH-000095,-0.14341235127122556
ACH-000097,-0.06345496081138748
ACH-000098,-0.19709309129287092
ACH-000099,-0.21556116898288266
ACH-000108,-0.04655595447831669
ACH-000113,-0.003971031409227317
ACH-000116,-0.18277606298841229
ACH-000118,0.010049886963960341
ACH-000120,-0.01306389035599245
ACH-000123,0.05873604481220303
ACH-000127,-0.1532977093929775
ACH-000128,-0.3746686020646524
ACH-000132,-0.0922716959962918
ACH-000133,0.05466432452184427
ACH-000137,-0.138670968492195
ACH-000138,-0.05347479360870354
ACH-000142,0.043337903112150584
ACH-000143,0.056659880386718264
ACH-000146,0.048757517205585785
ACH-000148,-0.12316009564815912
ACH-000150,-0.10452573283348683
ACH-000152,-0.06561775893933804
ACH-000153,-0.04924546065522675
ACH-000159,-0.031305904297017684
ACH-000160,-0.025038488004107098
ACH-000163,0.025947136559002937
ACH-000167,0.031143884942599988
ACH-000168,-0.008994311148528588
ACH-000169,0.024521830407129644
ACH-000178,-0.055076275021701655
ACH-000183,-0.09868109774486128
ACH-000188,-0.1368461809909966
ACH-000189,0.11420321274390728
ACH-000190,-0.029655242613282607
ACH-000198,-0.059686068606804976
ACH-000203,0.27672347501307104
ACH-000204,0.1047211058609972
ACH-000206,-0.0027193949073827193
ACH-000207,-0.07546395817788576
ACH-000208,-0.3336668731034173
ACH-000210,-0.3265484406944155
ACH-000211,-0.09385653899923696
ACH-000215,-0.1637636598131649
ACH-000221,0.13851462303654624
ACH-000222,0.010146299416545828
ACH-000223,-0.2103840230379645
ACH-000226,-0.0469886949788287
ACH-000227,-0.11809144663454442
ACH-000228,-0.0465892668356256
ACH-000231,-0.1110354432763915
ACH-000232,-0.09419162839576398
ACH-000233,-0.033831244712506585
ACH-000234,-0.18404133732482966
ACH-000235,0.019653670988990023
ACH-000237,-0.07474420049432788
ACH-000238,-0.047230235486010505
ACH-000242,-0.3093915437329152
ACH-000243,-0.07817927822663248
ACH-000244,-0.1986504900427361
ACH-000246,-0.1998469364531164
ACH-000248,-0.03613597320954694
ACH-000250,-0.061203041008346414
ACH-000251,-0.017942776026064453
ACH-000252,0.13306606676600466
ACH-000253,-0.09302713126375868
ACH-000255,-0.07979605894742331
ACH-000256,-0.0014239905724601867
ACH-000257,0.053634581325239516
ACH-000258,-0.043798473883732085
ACH-000259,-0.15751964106447566
ACH-000260,-0.0403495372320616
ACH-000261,-0.16168744801032855
ACH-000262,-0.1499967525262284
ACH-000263,0.04912035084859735
ACH-000264,-0.22787735579647894
ACH-000265,0.014419074406882676
ACH-000266,-0.13454808518558375
ACH-000272,-0.0483561888214236
ACH-000274,-0.15017971068094602
ACH-000277,-0.16753502274518714
ACH-000278,-0.06484219315960332
ACH-000279,-0.0472811688461889
ACH-000280,-0.11331775413443396
ACH-000281,-0.19186147627785585
ACH-000288,-0.07176824818747164
ACH-000291,-0.05983190703506393
ACH-000293,0.020678164271028046
ACH-000294,0.09453518197118473
ACH-000295,0.007750788755273981
ACH-000296,-0.09991045831246943
ACH-000302,0.00748481004011205
ACH-000304,-0.1927117991574312
ACH-000307,-0.07151440877751422
ACH-000308,-0.09830288627281744
ACH-000310,-0.16950243593475106
ACH-000311,-0.04371540112934697
ACH-000312,-0.3917721801423396
ACH-000315,0.16035149707475765
ACH-000316,-0.07346493092865479
ACH-000317,0.041557456588843585
ACH-000318,0.031913511357058354
ACH-000319,0.08880043748445006
ACH-000320,-0.019429661073189674
ACH-000322,-0.21558491588755116
ACH-000323,-0.11226179747351504
ACH-000324,-0.26848005700233624
ACH-000329,-0.05963320579344065
ACH-000330,-0.09995851112506007
ACH-000331,-0.2392295708590861
ACH-000332,-0.06908930113325093
ACH-000334,-0.057338393864144
ACH-000335,-0.18875871109800266
