,FOLH1 (2346)
ACH-000004,0.028247398584025682
ACH-000005,-0.10094072357944896
ACH-000007,-0.19116175020025594
ACH-000009,-0.08002340800120826
ACH-000011,-0.1851110254729873
ACH-000012,-0.07060440797592124
ACH-000013,-0.06793525230851571
ACH-000014,-0.027228360040118426
ACH-000015,-0.027642727115523957
ACH-000017,-0.16941801467207354
ACH-000018,-0.010935001842335569
ACH-000019,-0.14288348120450214
ACH-000021,-0.1740108749526776
ACH-000022,-0.11457234018967992
ACH-000025,-0.1879170590431221
ACH-000028,-0.2186034320843078
ACH-000030,-0.16771652797205885
ACH-000035,-0.16530755702627048
ACH-000036,-0.07990465455750585
ACH-000037,-0.21954692106629825
ACH-000039,-0.014050121964782523
ACH-000040,-0.026327903630678526
ACH-000041,-0.10021556192679487
ACH-000042,0.005124845384093046
ACH-000045,-0.036066333863628036
ACH-000047,-0.1657757093890701
ACH-000052,-0.4829375618230801
ACH-000053,-0.12171143052919366
ACH-000054,-0.07235496851324237
ACH-000055,-0.2038295563014753
ACH-000060,-0.12503762505733346
ACH-000067,0.030488902235344208
ACH-000070,-0.15053570995328566
ACH-000075,-0.13360705755861566
ACH-000078,-0.039380102140092986
ACH-000082,-0.2446391146227702
ACH-000085,-0.045827592353054836
ACH-000086,-0.2972007318637725
ACH-000087,-0.07407937731224278
ACH-000092,-0.022103297262827424
ACH-000095,-0.06994883316342379
ACH-000097,-0.16700019908938862
ACH-000098,0.012429018923996176
ACH-000099,-0.07276600824757372
ACH-000108,-0.04680229123995387
ACH-000113,-0.07944941192857273
ACH-000116,-0.3301640267645514
ACH-000118,-0.05406840494197451
ACH-000120,-0.05028010644372966
ACH-000123,-0.13386535863910615
ACH-000127,-0.2714140077766384
ACH-000128,-0.16213786622382226
ACH-000132,-0.2517409930971166
ACH-000133,-0.17781927134961684
ACH-000137,-0.1921449853260382
ACH-000138,-0.1427564625745016
ACH-000142,-0.29641091199885305
ACH-000143,-0.23244734760909294
ACH-000146,-0.12700676089808566
ACH-000148,-0.2584939091496473
ACH-000150,-0.17133771349613644
ACH-000152,0.002362654428212261
ACH-000153,-0.28324333035545035
ACH-000159,-0.025910418260152415
ACH-000160,-0.01292642441665156
ACH-000163,-0.09839532694612374
ACH-000167,-0.04258423184788535
ACH-000168,-0.1293336898118754
ACH-000169,-0.2367331209400729
ACH-000178,-0.135722152482898
ACH-000183,-0.20367374006167813
ACH-000188,-0.09912502267897184
ACH-000189,-0.26798181962598017
ACH-000190,-0.01066219639082806
ACH-000198,-0.08115140317014273
ACH-000203,0.12039726860686938
ACH-000204,-0.12576136091063905
ACH-000206,-0.18622138352516646
ACH-000207,-0.06510338118845611
ACH-000208,-0.13923482371064194
ACH-000210,-0.6224193176354758
ACH-000211,-0.16959336941330955
ACH-000215,-0.17061156384307724
ACH-000221,-0.226943544379818
ACH-000222,-0.020187721085829204
ACH-000223,-0.13704699468452722
ACH-000226,-0.4222283667438422
ACH-000227,-0.2246947808011392
ACH-000228,-0.14897345687989014
ACH-000231,-0.30209830518668945
ACH-000232,-0.3774662910072961
ACH-000233,-0.06670489537430585
ACH-000234,-0.008815281745537574
ACH-000235,-0.021910835037888387
ACH-000237,-0.3994016710446139
ACH-000238,-0.10839515344114828
ACH-000242,-0.105769828485846
ACH-000243,-0.01955425066003346
ACH-000244,-0.03128388730406802
ACH-000246,-0.040141065322177136
ACH-000248,0.08389548840852712
ACH-000250,-0.06741913474389592
ACH-000251,-0.3044736104518462
ACH-000252,0.06033954840657749
ACH-000253,-0.1215950074146968
ACH-000255,-0.18047088660250468
ACH-000256,-0.3026532285958023
ACH-000257,-0.006747860451189071
ACH-000258,-0.08751809667691507
ACH-000259,-0.12617535763697493
ACH-000260,-0.13241130764571302
ACH-000261,-0.09298838594179656
ACH-000262,-0.20398332552196735
ACH-000263,-0.037461101863863436
ACH-000264,-0.09110630363348876
ACH-000265,-0.25457153013824474
ACH-000266,-0.08893813170015975
ACH-000272,0.013171695727676493
ACH-000274,-0.04157526596499024
ACH-000277,-0.11089959361384133
ACH-000278,-0.2897312489146552
ACH-000279,-0.1606807166779234
ACH-000280,-0.0690295718807599
ACH-000281,-0.199138630274661
ACH-000288,-0.23581425480269805
ACH-000291,-0.19603561256883845
ACH-000293,-0.3059850078607569
ACH-000294,-0.03117390451124996
ACH-000295,-0.19120781853019328
ACH-000296,-0.15074452990404608
ACH-000302,-0.09171097272245317
ACH-000304,-0.005564358947607222
ACH-000307,-0.18169215190337296
ACH-000308,-0.15440229705474853
ACH-000310,-0.06584550751003382
ACH-000311,-0.05206750430240857
ACH-000312,-0.1084626411453722
ACH-000315,-0.2082804248250986
ACH-000316,-0.029215131851362482
ACH-000317,-0.13966033816581902
ACH-000318,-0.15260249782508953
ACH-000319,-0.2253991200902193
ACH-000320,-0.09062001729741333
ACH-000322,-0.2084931146877359
ACH-000323,-0.1240899729924084
ACH-000324,-0.11399134946861242
ACH-000329,-0.15082767097169858
ACH-000330,-0.19171489331825772
ACH-000331,-0.07353460979625434
ACH-000332,-0.02043175954975865
ACH-000334,-0.18609223405333988
ACH-000335,-0.053345618243310924
ACH-000336,0.04162427035649305
ACH-000337,-0.08091282916648325
ACH-000338,0.23777293217449785
ACH-000339,-0.22219968136577148
ACH-000341,0.13740647855431545
ACH-000348,-0.23908626728042964
ACH-000350,-0.0858269898210206
ACH-000352,0.060161643772071276
ACH-000356,-0.21532423372061346
ACH-000361,-0.1650896542983968
ACH-000362,-0.13607131428584074
ACH-000363,-0.19484933237894844
ACH-000364,-0.23805563530377094
ACH-000365,-0.10717371125786096
ACH-000366,-0.2601499374887185
ACH-000368,-0.17969670372594712
ACH-000374,-0.4280794435602057
ACH-000375,-0.052902050443731016
ACH-000376,-0.2457198554401633
ACH-000381,0.12656240346164588
ACH-000383,-0.05444384920717566
ACH-000387,-0.14907005366925635
ACH-000389,-0.028169467126450763
ACH-000390,-0.11559028966547442
ACH-000393,-0.06953283027829668
ACH-000395,0.02701812351850325
ACH-000396,-0.2542440629421903
ACH-000397,-0.10444975601353462
ACH-000401,-0.2275688612915217
ACH-000402,-0.6127397963958094
ACH-000403,-0.050219890222240236
ACH-000404,-0.12157353060534384
ACH-000406,-0.1483836950919212
ACH-000407,-0.1640004225179786
ACH-000408,-0.31126334579595505
ACH-000410,-0.1927038346419594
ACH-000411,-0.006631034386774093
ACH-000414,-0.06647057313649582
ACH-000415,-0.07363951747592741
ACH-000416,-0.08467173416052594
ACH-000420,-0.3269168122846401
ACH-000421,-0.08901488971346806
ACH-000424,0.08139735707714185
ACH-000425,-0.33950715778854695
ACH-000426,-0.049281799983260564
ACH-000427,-0.2631459528677196
ACH-000433,-0.2935523594065077
ACH-000435,-0.408495498866473
ACH-000436,-0.12770286606537354
ACH-000444,-0.013447808185267886
ACH-000445,-0.4257370086862355
ACH-000448,-0.014509988232872887
ACH-000450,-0.12284220838485695
ACH-000452,-0.09192657019904596
ACH-000454,-0.2963968977571149
ACH-000458,-0.22688070694856585
ACH-000459,-0.1547498935294216
ACH-000460,-0.13573128758407554
ACH-000461,-0.046934010445421344
ACH-000463,-0.07515124080365287
ACH-000464,-0.2551984092655778
ACH-000466,-0.1139857589227111
ACH-000467,-0.0289430033149103
ACH-000468,-0.15923649102917312
ACH-000469,-0.2142889657259775
ACH-000470,-0.10814425284020764
ACH-000471,-0.19133367419614547
ACH-000472,-0.19362208725660546
ACH-000473,0.07955837706410107
ACH-000475,-0.16812815202522086
ACH-000476,0.0024322492793359906
ACH-000477,-0.2359170942212597
ACH-000479,-0.250080861306421
ACH-000480,-0.3465223044370416
ACH-000481,-0.18338129544583687
ACH-000483,-0.08438338539819082
ACH-000484,-0.0070593320265197705
ACH-000485,-0.0029935736554953423
ACH-000486,-0.19711930910308104
ACH-000487,-0.15080344429221246
ACH-000488,-0.0435548735530264
ACH-000490,-0.2746678396613744
ACH-000491,-0.17437333005047956
ACH-000495,-0.3159437423923738
ACH-000496,-0.1373619940999891
ACH-000499,-0.2537764214890003
ACH-000500,-0.1439540471679525
ACH-000502,-0.0208140781267275
ACH-000503,-0.3522068504008589
ACH-000505,-0.13697165827367858
ACH-000507,-0.16874512443559814
ACH-000510,-0.19431752123713025
ACH-000511,-0.09032781931851776
ACH-000512,-0.4709436356258389
ACH-000516,-0.10763392994715083
ACH-000517,-0.15629959868711776
ACH-000518,0.023890250384587933
ACH-000520,0.08107496213508095
ACH-000521,-0.08505994994841344
ACH-000522,-0.19095456316336595
ACH-000524,-0.1423358128317748
ACH-000527,-0.11762831798705113
ACH-000528,-0.06349224659951996
ACH-000537,-0.1809030403955559
ACH-000541,-0.2494640866015793
ACH-000542,-0.050101805380693566
