,POGLUT1 (56983)
ACH-000004,-0.1830758825040208
ACH-000005,-0.6270127629266207
ACH-000007,-0.20127662852884406
ACH-000009,-0.21521886288825093
ACH-000011,-0.2808598608755912
ACH-000012,-0.12309928930347795
ACH-000013,-0.26481406985278233
ACH-000014,-0.1568502275899777
ACH-000015,-0.09069643490003423
ACH-000017,-0.12353794725117777
ACH-000018,-0.3130460102736174
ACH-000019,-0.3293973288150783
ACH-000021,-0.20249414435570995
ACH-000022,-0.24217136231064584
ACH-000025,-0.2507367543274296
ACH-000028,-0.240111034065897
ACH-000030,-0.22498310383311074
ACH-000035,-0.3250036124073959
ACH-000036,-0.16721601463408886
ACH-000037,-0.2126955523611766
ACH-000039,-0.2353355041141266
ACH-000040,-0.29178184601903656
ACH-000041,-0.16507663833678365
ACH-000042,-0.18572677412043492
ACH-000045,-0.2500620049813501
ACH-000047,-0.14082882446546244
ACH-000052,-0.35048727513950045
ACH-000053,-0.12909498370601008
ACH-000054,-0.19731659859262016
ACH-000055,-0.13708123288778232
ACH-000060,-0.2805374040751452
ACH-000067,-0.1984907700502168
ACH-000070,-0.2043792901622757
ACH-000075,-0.2270496483353743
ACH-000078,-0.11557793875932007
ACH-000082,-0.05606663881919799
ACH-000085,-0.23782366584863526
ACH-000086,-0.15294668953848747
ACH-000087,-0.1921565277618631
ACH-000092,-0.17954364892826044
ACH-000095,-0.11929985110151875
ACH-000097,-0.2651636903859635
ACH-000098,-0.051087443171235744
ACH-000099,-0.08528923191681753
ACH-000108,-0.11847141709167736
ACH-000113,-0.2899757988379792
ACH-000116,-0.17973712218180782
ACH-000118,-0.0894537494052829
ACH-000120,-0.30795858566824763
ACH-000123,-0.21848154645070225
ACH-000127,-0.2556093322568689
ACH-000128,-0.3481906785629515
ACH-000132,-0.2432147379367436
ACH-000133,-0.11887549979257385
ACH-000137,-0.2977799448814313
ACH-000138,-0.20348699615755808
ACH-000142,-0.4316440043768315
ACH-000143,-0.1920853764005805
ACH-000146,-0.2159490393965541
ACH-000148,-0.09351950237535146
ACH-000150,-0.0815589152627194
ACH-000152,-0.2247025933299576
ACH-000153,-0.2461388751577888
ACH-000159,-0.2191863210566231
ACH-000160,-0.28685855123485193
ACH-000163,-0.08524545985614601
ACH-000167,-0.20333676203343684
ACH-000168,-0.1437478817015064
ACH-000169,-0.16412863182282106
ACH-000178,-0.17874137436561946
ACH-000183,-0.13689627595414516
ACH-000188,-0.13451401741641444
ACH-000189,-0.15611160031986368
ACH-000190,-0.19271356294831027
ACH-000198,-0.2058802677621622
ACH-000203,0.22011847367297668
ACH-000204,-0.0774430794076995
ACH-000206,-0.3298068099683677
ACH-000207,-0.13728466693203872
ACH-000208,-0.16514203586523676
ACH-000210,-0.2350712987880243
ACH-000211,-0.1816710015329631
ACH-000215,-0.16272775233476686
ACH-000221,-0.1717614559542941
ACH-000222,-0.08853141299366937
ACH-000223,-0.2070665645954459
ACH-000226,-0.18159949238600892
ACH-000227,-0.3126963109776725
ACH-000228,-0.232656109303502
ACH-000231,-0.17891813347197089
ACH-000232,-0.2235325093782405
ACH-000233,-0.16425208370633426
ACH-000234,-0.17572929055560102
ACH-000235,-0.16121671625345327
ACH-000237,-0.2307040679451376
ACH-000238,-0.17115046620841431
ACH-000242,-0.13385182051984768
ACH-000243,-0.19170891950697236
ACH-000244,0.19764025196314108
ACH-000246,-0.28093496628941983
ACH-000248,-0.3024710433089917
ACH-000250,-0.19797532375523305
ACH-000251,-0.2047949756100116
ACH-000252,-0.09018238913958757
ACH-000253,-0.17570372463517409
ACH-000255,-0.1882756241230024
ACH-000256,-0.1554586077136514
ACH-000257,-0.2893204380470775
ACH-000258,-0.42834966791978457
ACH-000259,-0.21043985632848666
ACH-000260,-0.2607440371577255
ACH-000261,-0.2219110335847592
ACH-000262,-0.1810212319863264
ACH-000263,-0.08731531036977515
ACH-000264,-0.20357172037165075
ACH-000265,-0.19282391952633893
ACH-000266,-0.225075950119797
ACH-000272,-0.2397082805504127
ACH-000274,-0.2193877304472305
ACH-000277,-0.2278870558260907
ACH-000278,-0.16319554473806952
ACH-000279,-0.2575885201591686
ACH-000280,-0.30352722662418435
ACH-000281,-0.1714543527830705
ACH-000288,-0.10212929377243993
ACH-000291,-0.2101485124429333
ACH-000293,-0.2092178444647825
ACH-000294,-0.3554885950031715
ACH-000295,-0.1127704973601963
ACH-000296,-0.33702364089675546
ACH-000302,-0.3531357980641246
ACH-000304,-0.14346523051636445
ACH-000307,-0.23668517627663316
ACH-000308,-0.2069577428492862
ACH-000310,-0.21014577799580608
ACH-000311,-0.1599157856608763
ACH-000312,-0.28796981903987345
ACH-000315,0.07522653406060731
ACH-000316,-0.03989978060195372
ACH-000317,-0.18396295074744226
ACH-000318,-0.3736107739251085
ACH-000319,-0.2024902989981822
ACH-000320,-0.06252999286872428
ACH-000322,-0.09122449936265076
ACH-000323,-0.3609257264780832
ACH-000324,-0.12457797408652607
ACH-000329,-0.2748714375565772
ACH-000330,-0.21202787055457306
ACH-000331,-0.8026926517895069
ACH-000332,-0.2450701001089519
ACH-000334,-0.21268121235536394
ACH-000335,-0.430588265260606
ACH-000336,-0.20716886101201334
ACH-000337,-0.4839956563202292
ACH-000338,-0.010861763793937926
ACH-000339,-0.2579185936650684
ACH-000341,-0.2204808056450338
ACH-000348,-0.1319090973548386
ACH-000350,-0.24838126544073466
ACH-000352,-0.2957140003633587
ACH-000356,-0.04830215227981767
ACH-000361,-0.09946713735829824
ACH-000362,-0.13084655046937338
ACH-000363,-0.17755038531591869
ACH-000364,-0.24182655537226005
ACH-000365,-0.15365094156473855
ACH-000366,-0.21808541519552307
ACH-000368,-0.1349399463463268
ACH-000374,-0.3075243750746391
ACH-000375,-0.3037690577768893
ACH-000376,-0.20047962976052056
ACH-000381,-0.4133453853002459
ACH-000383,-0.15902562989646726
ACH-000387,-0.1993408136313442
ACH-000389,-0.3080733308297862
ACH-000390,-0.4363734371315377
ACH-000393,-0.28318327794690124
ACH-000395,-0.17727659701894322
ACH-000396,-0.34362724439162834
ACH-000397,-0.2540137463414434
ACH-000401,-0.06565244249885567
ACH-000402,-0.21456985981505586
ACH-000403,-0.2837269932954776
ACH-000404,-0.6935286123305715
ACH-000406,-0.15856352023784862
ACH-000407,-0.2900972045884224
ACH-000408,-0.16433275127937566
ACH-000410,-0.24675122134595245
ACH-000411,-0.2167718165769511
ACH-000414,-0.18278823051084456
ACH-000415,-0.22023742947277775
ACH-000416,-0.11107898071157483
ACH-000420,0.002872407530202943
ACH-000421,-0.18535746906025424
ACH-000424,-0.2815996788656925
ACH-000425,-0.25711805150320177
ACH-000426,-0.39941015474014707
ACH-000427,-0.35579915843178833
ACH-000433,-0.18105223130769926
ACH-000435,-0.02780230097805912
ACH-000436,-0.19121685933962385
ACH-000444,-0.06771632965410232
ACH-000445,-0.16112689370767289
ACH-000448,-0.20716823096346926
ACH-000450,-0.2743847866668653
ACH-000452,-0.2518476680252194
ACH-000454,-0.2708132531373392
ACH-000458,-0.16065529508321008
ACH-000459,-0.12075056977466195
ACH-000460,-0.2561995334785117
ACH-000461,-0.33868696916757035
ACH-000463,-0.13749806034724746
ACH-000464,-0.23103101195301196
ACH-000466,-0.1826112824805266
ACH-000467,-0.15545623401006078
ACH-000468,-0.09149357345395287
ACH-000469,-0.1762604206753003
ACH-000470,-0.26777234834019004
ACH-000471,-0.1899088858519093
ACH-000472,-0.17837985066493975
ACH-000473,-0.4970626716024836
ACH-000475,-0.2014065173931442
ACH-000476,-0.2196556387441036
ACH-000477,-0.2318451505596401
ACH-000479,-0.3349960138572794
ACH-000480,-0.0798687859945552
ACH-000481,-0.18780146145806365
ACH-000483,-0.2073768846157239
ACH-000484,-0.06654746987185628
ACH-000485,-0.16344094949032933
ACH-000486,-0.2655655772800913
ACH-000487,-0.09477586349332157
ACH-000488,-0.25623828534861376
ACH-000490,-0.18573381049183912
ACH-000491,-0.12398347493842428
ACH-000495,-0.2631557845563047
ACH-000496,-0.2038618910030873
ACH-000499,-0.2525758949347848
ACH-000500,-0.08178884149172706
ACH-000502,-0.1217296850179222
ACH-000503,-0.2774411092481149
ACH-000505,-0.2773599673938822
ACH-000507,-0.3817953397636218
ACH-000510,-0.1565664475911216
ACH-000511,-0.1646997027924356
ACH-000512,-0.2904058824577595
ACH-000516,-0.22266067996714975
ACH-000517,-0.19890500353246232
ACH-000518,-0.3314877514115239
ACH-000520,-0.1334641166324309
ACH-000521,-0.27329945611581336
ACH-000522,-0.1322571481760243
ACH-000524,-0.18015927323308698
ACH-000527,-0.20264636056055868
ACH-000528,-0.2804505627906088
ACH-000537,-0.2922291154518292
ACH-000541,-0.04333297039173314
