,APOBEC3D (140564)
ACH-000004,-0.31478653059037903
ACH-000005,-0.18572445919553107
ACH-000007,-0.019790242821290712
ACH-000009,-0.1725340108231995
ACH-000011,-0.15661552459073216
ACH-000012,-0.06278845637778313
ACH-000013,-0.2751664030285901
ACH-000014,-0.2693728226921044
ACH-000015,-0.2408639846752061
ACH-000017,-0.15008967579572668
ACH-000018,-0.06596687324070667
ACH-000019,-0.2549276078490616
ACH-000021,-0.16152454942887312
ACH-000022,-0.2134729841910865
ACH-000025,-0.06297016176816547
ACH-000028,-0.17871474801164866
ACH-000030,-0.23515599760202746
ACH-000035,-0.04265392468647089
ACH-000036,-0.13014676292286084
ACH-000037,-0.09231187469946052
ACH-000039,-0.0643259677156462
ACH-000040,-0.15768886264249193
ACH-000041,-0.21283140178852555
ACH-000042,-0.3893007138708897
ACH-000045,-0.2295619131547467
ACH-000047,-0.16734672366326725
ACH-000052,-0.1940739737321325
ACH-000053,-0.17918985826445125
ACH-000054,-0.07322053354260244
ACH-000055,0.1003855138867509
ACH-000060,-0.3241306095492867
ACH-000067,-0.21660569520701134
ACH-000070,-0.3080844645821325
ACH-000075,-0.1391353057845395
ACH-000078,-0.2874472953679878
ACH-000082,-0.11803335254655074
ACH-000085,-0.2537339089820338
ACH-000086,-0.03241668051613043
ACH-000087,-0.10209818630972203
ACH-000092,-0.13744935658147742
ACH-000095,-0.22528096707860445
ACH-000097,-0.2528159602955978
ACH-000098,-0.20279208358012665
ACH-000099,-0.22546603172664215
ACH-000108,-0.20940131516924526
ACH-000113,-0.013837971102473187
ACH-000116,-0.12171204712745567
ACH-000118,-0.11497838136864105
ACH-000120,-0.10060555435794437
ACH-000123,-0.17934886849551865
ACH-000127,-0.12744606520512147
ACH-000128,-0.1203015849039398
ACH-000132,-0.034006608866508733
ACH-000133,-0.021162093945157515
ACH-000137,-0.2421992801537375
ACH-000138,-0.04465033667097448
ACH-000142,-0.05424589368475299
ACH-000143,-0.15183588188803684
ACH-000146,-0.20364467469066305
ACH-000148,0.060876672572139065
ACH-000150,-0.11636300534278482
ACH-000152,-0.06971700243652476
ACH-000153,-0.019885223910012958
ACH-000159,-0.030032667731333264
ACH-000160,-0.2095067660998919
ACH-000163,-0.20721350591648868
ACH-000167,-0.5809380848775116
ACH-000168,-0.1685984949021386
ACH-000169,-0.2083113461814883
ACH-000178,-0.15186942457805533
ACH-000183,-0.14126077532551626
ACH-000188,-0.033755083595491064
ACH-000189,-0.012108802519242436
ACH-000190,-0.032126776175976535
ACH-000198,-0.19596178850399984
ACH-000203,0.42154396287674334
ACH-000204,-0.16071319255293615
ACH-000206,-0.3018838093233541
ACH-000207,-0.3041882768537538
ACH-000208,-0.2569095032419013
ACH-000210,-0.17727797328067468
ACH-000211,-0.1758324554520244
ACH-000215,-0.10629615907697344
ACH-000221,-0.05724523413606816
ACH-000222,-0.2274276202350635
ACH-000223,-0.16449691599726554
ACH-000226,-0.06115527988482741
ACH-000227,-0.015182993299651646
ACH-000228,-0.16666182145001832
ACH-000231,-0.1387436984831457
ACH-000232,-0.17254851784272107
ACH-000233,-0.3223852801758149
ACH-000234,-0.05405746130708496
ACH-000235,-0.045932392382248735
ACH-000237,-0.19348923705079227
ACH-000238,-0.13401564620145368
ACH-000242,-0.33021126721837296
ACH-000243,-0.20340301548329365
ACH-000244,-0.19323778557654905
ACH-000246,-0.1456134082654021
ACH-000248,-0.08483719393382455
ACH-000250,-0.10906395469955732
ACH-000251,0.06043124281636141
ACH-000252,-0.09962516200091527
ACH-000253,-0.233088653476174
ACH-000255,-0.20097041893761425
ACH-000256,-0.2707438244786207
ACH-000257,0.10852916354051073
