,PCCB (5096)
ACH-000004,0.18500045194916048
ACH-000005,-0.1372006740063303
ACH-000007,0.15769051203562146
ACH-000009,0.04498012046760755
ACH-000011,-0.08007590592684316
ACH-000012,-0.01530809491211141
ACH-000013,-0.06826557740150756
ACH-000014,-0.07660266935195327
ACH-000015,0.04774274294296077
ACH-000017,-0.09730096855339876
ACH-000018,0.10575486380004696
ACH-000019,0.033650112229432566
ACH-000021,0.048121185734670065
ACH-000022,-0.09498657548135944
ACH-000025,-0.06537878416799588
ACH-000028,-0.0029993384751235423
ACH-000030,0.015920589480130986
ACH-000035,0.05513153134393936
ACH-000036,0.020735518208663328
ACH-000037,-0.052753584978440585
ACH-000039,-0.2681585283304635
ACH-000040,-0.13262662380918985
ACH-000041,0.08580220064737037
ACH-000042,-0.004421493799534723
ACH-000045,-0.05974549059641671
ACH-000047,-0.04348886128030608
ACH-000052,0.43365567597504734
ACH-000053,0.01368198236088721
ACH-000054,-0.0524812710901183
ACH-000055,-0.06974522926121397
ACH-000060,0.0003635419345425022
ACH-000067,-0.06322553164456739
ACH-000070,0.28625063203083845
ACH-000075,-0.13845297430490494
ACH-000078,0.026131532068035836
ACH-000082,-0.04745006187291335
ACH-000085,0.08984675820585401
ACH-000086,0.11174650114695228
ACH-000087,0.3084077047508557
ACH-000092,-0.16301695038925473
ACH-000095,-0.02297135938189076
ACH-000097,-0.007722832295330941
ACH-000098,-0.01221269544693541
ACH-000099,-0.011373323632717628
ACH-000108,-0.016834973908980824
ACH-000113,0.09442982802704927
ACH-000116,0.029314712008868787
ACH-000118,-0.07003468362772958
ACH-000120,0.14966515571353736
ACH-000123,0.040528966924636575
ACH-000127,0.008848953905618271
ACH-000128,-0.2724164260406869
ACH-000132,0.027686291454945583
ACH-000133,-0.11275475620206282
ACH-000137,-0.043018969750817454
ACH-000138,0.051589381316499545
ACH-000142,-0.06238092118846969
ACH-000143,-0.005500087921006539
ACH-000146,-0.10286574271651257
ACH-000148,0.12086057494747725
ACH-000150,-0.006969932037111175
ACH-000152,0.04859721932648396
ACH-000153,-0.14484172340567664
ACH-000159,-0.08749703917118062
ACH-000160,-0.020092445504041684
ACH-000163,-0.2183686279114093
ACH-000167,-0.5581513950764818
ACH-000168,0.11092726679132077
ACH-000169,0.06060270424265001
