,PWP2 (5822)
ACH-000004,-1.0758034764703854
ACH-000005,-1.0903581170906032
ACH-000007,-0.8767584586164704
ACH-000009,-1.2425899926022612
ACH-000011,-1.0980356593319782
ACH-000012,-1.0766077496223414
ACH-000013,-1.0143305488517216
ACH-000014,-1.0393768879123706
ACH-000015,-1.1621898604235466
ACH-000017,-1.0874706495769104
ACH-000018,-1.2022235857559669
ACH-000019,-0.9774920753135468
ACH-000021,-0.9521787304866502
ACH-000022,-1.054437732252378
ACH-000025,-1.2144447755212102
ACH-000028,-1.191185230921661
ACH-000030,-1.1469752155313362
ACH-000035,-1.0909460249751846
ACH-000036,-1.0353469576209184
ACH-000037,-1.3572418773452992
ACH-000039,-1.0360534631312066
ACH-000040,-1.1480326192279842
ACH-000041,-0.9218579900316398
ACH-000042,-0.9711202133910548
ACH-000045,-1.0420476540882018
ACH-000047,-1.0716371663787576
ACH-000052,-1.2135651839470658
ACH-000053,-1.1048604128239787
ACH-000054,-0.9613403886311456
ACH-000055,-1.3401646292950682
ACH-000060,-1.264570194688555
ACH-000067,-1.2949872492378358
ACH-000070,-1.0607153994058272
ACH-000075,-1.2913395616196621
ACH-000078,-1.0912560460312757
ACH-000082,-1.176083890822024
ACH-000085,-1.1971008867747313
ACH-000086,-1.3105373999042351
ACH-000087,-0.9798191196657544
ACH-000092,-1.043361362982908
ACH-000095,-1.070664919567006
ACH-000097,-1.1432127180857559
ACH-000098,-1.201512958464747
ACH-000099,-1.0889116685586373
ACH-000108,-1.1748112392088297
ACH-000113,-1.0641553359268523
ACH-000116,-1.192586375750592
ACH-000118,-0.966885631253165
ACH-000120,-1.0907244389345545
ACH-000123,-0.9904250055504209
ACH-000127,-1.297922848106852
ACH-000128,-1.170041750033996
ACH-000132,-1.3938138804556373
ACH-000133,-1.1461619825571538
ACH-000137,-1.1258107155061186
ACH-000138,-1.1755984940618809
ACH-000142,-1.199564859086789
ACH-000143,-1.0715443705785768
ACH-000146,-1.119458680682232
ACH-000148,-1.0360559934116482
ACH-000150,-1.2797799173171929
ACH-000152,-1.0610012147975212
ACH-000153,-0.8750639040636469
ACH-000159,-1.1666193409234011
ACH-000160,-1.4619452251662082
ACH-000163,-1.0822897117477501
ACH-000167,-1.592621019945358
ACH-000168,-1.051607830226123
ACH-000169,-1.2111286147572906
ACH-000178,-1.1178510287608658
ACH-000183,-1.0613282265258834
ACH-000188,-1.1396983866452497
ACH-000189,-1.1825490657191438
ACH-000190,-1.19154462003235
ACH-000198,-0.9688304508871356
ACH-000203,-1.2318035655687884
ACH-000204,-1.058821676567669
ACH-000206,-0.8358401933354512
ACH-000207,-0.9491008534141766
ACH-000208,-0.8642901587528171
ACH-000210,-1.2970701045344937
ACH-000211,-1.1606025561206703
ACH-000215,-1.2753642110469203
ACH-000221,-1.1820393255753885
ACH-000222,-1.0566106469649077
ACH-000223,-1.1354888287379254
ACH-000226,-1.0558090578680477
ACH-000227,-1.0816507516718292
ACH-000228,-1.0887942031257798
ACH-000231,-1.345873778303477
ACH-000232,-1.0677368979053126
ACH-000233,-1.038947721453488
ACH-000234,-1.100014040837531
ACH-000235,-1.0649278122597081
ACH-000237,-1.1374100284903883
ACH-000238,-1.152126611993355
ACH-000242,-1.1102864071044611
ACH-000243,-1.036862925294249
ACH-000244,-0.9715947768753526
ACH-000246,-0.956257784266886
ACH-000248,-1.1174352730136192
ACH-000250,-1.266913893747793
ACH-000251,-1.2894157206879486
ACH-000252,-1.0882157585080319
ACH-000253,-1.0118537510459231
ACH-000255,-1.01691329161426
ACH-000256,-1.2328240797780243
ACH-000257,-1.0562623150155543
ACH-000258,-1.091462243064952
ACH-000259,-1.0729147538050656
ACH-000260,-0.9134473074880209
ACH-000261,-1.053104819814832
ACH-000262,-1.1392331014545247
ACH-000263,-1.068760777213116
ACH-000264,-1.0223435337141864
ACH-000265,-1.0483191298912906
ACH-000266,-0.9451027079533634
ACH-000272,-1.010405487876249
ACH-000274,-1.039496824801251
ACH-000277,-1.0112371706659622
ACH-000278,-1.3450570977716478
ACH-000279,-1.0554154897104937
ACH-000280,-1.0545960690660088
ACH-000281,-1.4331637458919952
ACH-000288,-1.2157697698793295
ACH-000291,-1.0874762537836606
ACH-000293,-0.8892895220074971
ACH-000294,-1.1515454008961028
ACH-000295,-1.2769256057433582
ACH-000296,-1.1765197532281426
ACH-000302,-1.3933990334146698
ACH-000304,-1.1327224836537462
ACH-000307,-1.3425054085076422
ACH-000308,-1.2513998244605395
ACH-000310,-1.1458385099937662
ACH-000311,-0.9501091777868408
ACH-000312,-1.0932815759014949
ACH-000315,-1.2309679807743692
ACH-000316,-1.0424231786354696
ACH-000317,-1.2430788451336754
ACH-000318,-1.220080976181602
ACH-000319,-1.2014880632367442
ACH-000320,-1.264792974067582
ACH-000322,-1.2737887708668991
ACH-000323,-1.1719442757462428
ACH-000324,-1.1203423531715662
ACH-000329,-1.0610491497360368
ACH-000330,-1.0098826277545476
ACH-000331,-1.1393304394514194
ACH-000332,-1.071466554306688
ACH-000334,-1.0817690428341509
ACH-000335,-1.2825778337225862
ACH-000336,-1.273111200168197
ACH-000337,-1.2573327306530584
ACH-000338,-1.5196157523958065
ACH-000339,-1.2282413796925584
ACH-000341,-1.0224916229569572
ACH-000348,-0.9121322144643748
ACH-000350,-0.9372887391956144
ACH-000352,-1.1621113199923867
ACH-000356,-0.9876036095162256
ACH-000361,-0.9745123303484494
ACH-000362,-1.134536142437372
ACH-000363,-1.1094648250565962
ACH-000364,-1.2005077375054083
ACH-000365,-1.2101179206005022
ACH-000366,-1.2030181566206068
ACH-000368,-1.0248961758669068
ACH-000374,-0.9847799655506674
ACH-000375,-1.0905929088905209
ACH-000376,-1.0162466368286271
ACH-000381,-1.1435549835763783
ACH-000383,-1.1515076621527351
ACH-000387,-1.0398842655986578
ACH-000389,-0.9386679095464646
ACH-000390,-0.9806026269630096
ACH-000393,-0.9768332406382684
ACH-000395,-1.1487698470816832
ACH-000396,-1.3193259341381252
ACH-000397,-1.3640765796184107
ACH-000401,-1.3761182911262193
ACH-000402,-1.3626067645625022
ACH-000403,-1.309875495314312
ACH-000404,-1.0072209228749471
ACH-000406,-1.2008406454664524
ACH-000407,-1.2688991330828698
ACH-000408,-1.250016210188658
ACH-000410,-0.9867360363840244
ACH-000411,-1.001597653249399
