,EEF1A1 (1915)
ACH-000004,-1.020185935382979
ACH-000005,-1.0333193862246286
ACH-000007,-0.9006864326149571
ACH-000009,-0.9197575615117388
ACH-000011,-0.8574712483689998
ACH-000012,-1.062736510333072
ACH-000013,-0.9958870268471716
ACH-000014,-1.2266169779666378
ACH-000015,-0.8994065523086328
ACH-000017,-0.7805087967218204
ACH-000018,-0.9393284384264352
ACH-000019,-0.3520949817562755
ACH-000021,-1.0164373381991223
ACH-000022,-0.7469473871110279
ACH-000025,-0.8361923228052993
ACH-000028,-0.6939392283232472
ACH-000030,-0.8862787774056425
ACH-000035,-0.8777458170488691
ACH-000036,-0.8781063084778672
ACH-000037,-1.0228085057323952
ACH-000039,-1.079339961861408
ACH-000040,-0.9249582582434676
ACH-000041,-0.8650762090596436
ACH-000042,-0.9101965690061397
ACH-000045,-0.9860931805236606
ACH-000047,-0.8824911698226636
ACH-000052,-1.174660219576274
ACH-000053,-1.124495773267822
ACH-000054,-1.058058777631224
ACH-000055,-1.0399500675693691
ACH-000060,-0.9954024381796645
ACH-000067,-0.9079035215445904
ACH-000070,-1.2225300698255896
ACH-000075,-1.0508771228503613
ACH-000078,-0.8371805530639104
ACH-000082,-0.860190072745075
ACH-000085,-0.8811537167803621
ACH-000086,-0.8695947573126399
ACH-000087,-0.8618247615396079
ACH-000092,-0.8810971563829335
ACH-000095,-0.8102661330049693
ACH-000097,-0.7262158693139491
ACH-000098,-0.9037751679557158
ACH-000099,-0.8468695417042046
ACH-000108,-0.89470218181147
ACH-000113,-0.7875686538030306
ACH-000116,-0.8616013513405167
ACH-000118,-0.8776037175747892
ACH-000120,-0.9774014633635844
ACH-000123,-0.7846505127552544
ACH-000127,-0.9475751737564816
ACH-000128,-0.8748120355143632
ACH-000132,-1.0952961756409842
ACH-000133,-1.0241567429469909
ACH-000137,-1.017736945758572
ACH-000138,-1.0512700761213565
ACH-000142,-1.0632329638912608
ACH-000143,-1.238614992848581
ACH-000146,-1.2588710504238474
ACH-000148,-1.1934061220848469
ACH-000150,-0.8968833962627307
ACH-000152,-0.9771047493881848
ACH-000153,-0.9421536115579922
ACH-000159,-1.1839567725013245
ACH-000160,-1.161628234680958
