,DAND5 (199699)
ACH-000004,-0.20365212821212272
ACH-000005,-0.18389950011104025
ACH-000007,-0.2507797631691766
ACH-000009,-0.1086182216084224
ACH-000011,-0.1992771508944932
ACH-000012,-0.07397866126433066
ACH-000013,-0.23021635341029306
ACH-000014,-0.022483933326944597
ACH-000015,-0.2148101768444867
ACH-000017,-0.11191385443986156
ACH-000018,-0.21437568843219051
ACH-000019,-0.2141036247180352
ACH-000021,-0.24385622224326664
ACH-000022,-0.05896359505808934
ACH-000025,-0.1307498030336406
ACH-000028,-0.25478756917565376
ACH-000030,-0.3021824738313773
ACH-000035,-0.2951752273146198
ACH-000036,-0.3759104024447023
ACH-000037,0.01686061539570417
ACH-000039,-0.3292167645246297
ACH-000040,-0.3160102120134786
ACH-000041,-0.12743057307567185
ACH-000042,-0.027551614347365246
ACH-000045,-0.2370483818793073
ACH-000047,-0.17138688937781527
ACH-000052,-0.1733280925964806
ACH-000053,-0.18218941328479765
ACH-000054,-0.09193330561958746
ACH-000055,-0.4121448408815103
ACH-000060,-0.02772760704451462
ACH-000067,-0.21884324144143547
ACH-000070,-0.1628291662704926
ACH-000075,-0.18421830255816185
ACH-000078,-0.16649654322823967
ACH-000082,-0.1010588635005754
ACH-000085,-0.1638998200548915
ACH-000086,-0.2989013273647126
ACH-000087,-0.3180463781056385
ACH-000092,-0.18051541154203526
ACH-000095,-0.20267498762816968
ACH-000097,-0.02229951166457092
ACH-000098,-0.20699019132790936
ACH-000099,-0.1943066441020024
ACH-000108,-0.18925541618117167
ACH-000113,-0.1350107670731025
ACH-000116,-0.285288839496289
ACH-000118,-0.2594553557818274
ACH-000120,-0.07642688924262757
ACH-000123,-0.2260355096323816
ACH-000127,-0.15759479862333814
ACH-000128,-0.29647244555077795
ACH-000132,-0.08312278585383788
ACH-000133,-0.12264095404034965
ACH-000137,-0.20603551079583468
ACH-000138,-0.15742978971535398
ACH-000142,-0.24283302976082866
ACH-000143,-0.25810477025435435
ACH-000146,-0.08986087699318566
ACH-000148,-0.1139211647322327
ACH-000150,-0.19161412841646744
ACH-000152,-0.05927972322345766
ACH-000153,0.1065321257111204
ACH-000159,-0.2250446896668564
ACH-000160,-0.0022366478964731813
ACH-000163,-0.6192422145170979
ACH-000167,0.039284755544954635
ACH-000168,-0.2139596168378772
ACH-000169,-0.16522366397936325
ACH-000178,-0.1956672804995907
ACH-000183,-0.14499899304676322
ACH-000188,-0.4528331488519688
ACH-000189,0.07072458632370783
ACH-000190,-0.10048603709986097
ACH-000198,-0.05011133436433352
ACH-000203,0.4798696874634292
ACH-000204,-0.3313561418185192
