,DNAJB8 (165721)
ACH-000004,-0.09110954856067717
ACH-000005,-0.2905390281443417
ACH-000007,0.05774706299332645
ACH-000009,-0.08081031993193899
ACH-000011,-0.08869941330756283
ACH-000012,-0.013279959119139456
ACH-000013,-0.12274518134203401
ACH-000014,-0.1192365643930356
ACH-000015,-0.12828890309624036
ACH-000017,-0.10515503678896727
ACH-000018,0.03773264432665101
ACH-000019,0.0008702412642575825
ACH-000021,-0.11888001287481093
ACH-000022,-0.03539554851379967
ACH-000025,-0.08479004355337147
ACH-000028,-0.15539071131155738
ACH-000030,-0.0877535508442141
ACH-000035,-0.06967613183373765
ACH-000036,-0.03700522356604795
ACH-000037,0.0019948219088939795
ACH-000039,-0.0894488419073715
ACH-000040,-0.06590975790295024
ACH-000041,-0.0649891714676628
ACH-000042,-0.20314582912682808
ACH-000045,-0.18537665269969045
ACH-000047,-0.07850030922731156
ACH-000052,-0.17707174214415716
ACH-000053,-0.10101678132543226
ACH-000054,-0.1892474223415036
ACH-000055,-0.11587206237201708
ACH-000060,-0.1081931765052012
ACH-000067,-0.05706747862902122
ACH-000070,-0.07152892644655334
ACH-000075,-0.09105644738304898
ACH-000078,-0.02938686192872376
ACH-000082,-0.07836336568249389
ACH-000085,-0.10851680905766298
ACH-000086,-0.03748758247060634
ACH-000087,-0.09879141242780666
ACH-000092,-0.10342863062577064
ACH-000095,-0.1009557346033473
ACH-000097,-0.1213278602310415
ACH-000098,-0.06266388466842082
ACH-000099,-0.030071611577247574
ACH-000108,-0.1428525100921521
ACH-000113,-0.1302451638634521
ACH-000116,-0.008767758184215105
ACH-000118,-0.1840879024046213
ACH-000120,0.012964782570413802
ACH-000123,0.024957748042677416
ACH-000127,-0.13090369882860636
ACH-000128,-0.2268424373226651
ACH-000132,-0.1535828566500206
ACH-000133,-0.03912803656023813
ACH-000137,-0.12909405752502345
ACH-000138,-0.16459857724760527
ACH-000142,-0.04851633929335812
ACH-000143,-0.2282938490506229
ACH-000146,-0.13743566798258094
ACH-000148,-0.10051200916572234
ACH-000150,-0.09585227540393712
ACH-000152,-0.1208515632118064
ACH-000153,0.055818201988253366
ACH-000159,-0.19607450282334535
ACH-000160,-0.0744632495470038
ACH-000163,-0.1356453112993948
ACH-000167,-0.2992019788452587
ACH-000168,-0.008339488302751464
ACH-000169,-0.15387111724461114
ACH-000178,-0.06116572303668024
ACH-000183,-0.17378379146148862
ACH-000188,-0.09218444335637642
ACH-000189,-0.0845543784023352
ACH-000190,0.06901042739937381
ACH-000198,-0.14433973652658594
ACH-000203,0.32862891479671313
ACH-000204,-0.2032814315176893
ACH-000206,-0.2009230120839659
ACH-000207,-0.19480460604871394
ACH-000208,-0.19996559345202894
ACH-000210,-0.060526870218172685
ACH-000211,-0.07012540458187662
ACH-000215,-0.0788654210664152
ACH-000221,-0.16950176473015735
ACH-000222,-0.11579618576836785
ACH-000223,-0.14548217513210898
ACH-000226,-0.022034606890170116
ACH-000227,-0.18343274771572712
ACH-000228,-0.09517282064760282
ACH-000231,-0.04184375306740398
ACH-000232,-0.14284175094701454
ACH-000233,-0.18307548212245725
ACH-000234,-0.1617195617760812
ACH-000235,-0.14545846319998967
ACH-000237,-0.0407270186320982
ACH-000238,-0.07162629263514805
ACH-000242,-0.08677334986847479
ACH-000243,-0.08173904405177851
ACH-000244,-0.08475199656842355
ACH-000246,-0.05631719429789767
ACH-000248,-0.0801522142443695
ACH-000250,-0.13232588039562004
ACH-000251,-0.2210133431196156
ACH-000252,0.010693279088025393
ACH-000253,-0.08538671866990012
ACH-000255,-0.11428859595482074
ACH-000256,0.10810068434957266
ACH-000257,-0.25899021134067146
ACH-000258,-0.12399858144440168
ACH-000259,-0.2295199115621661
ACH-000260,-0.17331931638499226
ACH-000261,-0.10003777669155783
ACH-000262,-0.09648126715681313
ACH-000263,-0.04213697227956037
ACH-000264,-0.120724183208806
ACH-000265,-0.15032370013120772
ACH-000266,-0.10270845472107916
ACH-000272,-0.20425790320144185
ACH-000274,-0.16211897802192998
ACH-000277,-0.057611246377796986
ACH-000278,-0.05184502835552823
ACH-000279,-0.12422036286797815
ACH-000280,-0.11470422198734212
ACH-000281,-0.17055996924624367
ACH-000288,-0.116781233136712
ACH-000291,-0.10287237523609337
ACH-000293,-0.14573394077697416
ACH-000294,-0.1564279056547101
ACH-000295,-0.09442659131718464
ACH-000296,-0.007406192420494551
ACH-000302,-0.10402820552326604
ACH-000304,-0.16914429319772895
ACH-000307,-0.16184979250510026
ACH-000308,0.0016099476533608724
ACH-000310,-0.045745410723945064
ACH-000311,-0.057103814911808486
ACH-000312,-0.09407439830837162
ACH-000315,-0.014686645756844394
ACH-000316,-0.24407870436035198
ACH-000317,-0.11313378611011528
ACH-000318,-0.10152356567482927
ACH-000319,-0.03485648758263233
ACH-000320,-0.3820936635631155
ACH-000322,-0.031154394055492668
ACH-000323,-0.2000016427715921
ACH-000324,-0.054673851799334594
ACH-000329,-0.12650315952400093
ACH-000330,-0.1235184048409529
ACH-000331,-0.1730755898811585
ACH-000332,-0.07140468075745557
ACH-000334,0.06056806478693408
ACH-000335,0.1950426639217196
ACH-000336,0.06395162177737576
ACH-000337,-0.08722468178500306
ACH-000338,-0.1906732855146396
ACH-000339,-0.11021925783192592
ACH-000341,-0.20511572216916987
ACH-000348,-0.13491445578290973
ACH-000350,-0.1318919876213371
ACH-000352,-0.14482196645154088
ACH-000356,-0.1973800513834592
ACH-000361,0.07195336221741246
ACH-000362,-0.04995358676059277
ACH-000363,-0.08996372015959551
ACH-000364,-0.04103413824895327
ACH-000365,-0.13836567088873233
ACH-000366,-0.13463640596930262
ACH-000368,-0.17546342798256953
ACH-000374,-0.06382494739472247
ACH-000375,-0.24912465273081244
ACH-000376,-0.1308094718081949
ACH-000381,-0.17800811103921338
ACH-000383,-0.05485907034505162
ACH-000387,-0.08466741802198656
ACH-000389,-0.05392603172268988
ACH-000390,-0.042375386002242714
ACH-000393,-0.13391775828433988
ACH-000395,-0.05812627316596404
ACH-000396,-0.1519666301989365
ACH-000397,-0.127077321917905
ACH-000401,-0.15057285950169014
ACH-000402,-0.2294135978591843
ACH-000403,-0.10424423285015602
ACH-000404,-0.0382735363458426
ACH-000406,-0.12992220287694686
ACH-000407,-0.16132232458000295
ACH-000408,-0.11119239803933008
