,THEMIS (387357)
ACH-000004,0.3655316661144647
ACH-000005,0.14142435780933116
ACH-000007,0.3157669651946742
ACH-000009,0.15167759497006789
ACH-000011,0.3225316264204021
ACH-000012,0.13119030881668484
ACH-000013,0.2790164475570008
ACH-000014,0.113464657160936
ACH-000015,0.3549712516036416
ACH-000017,0.2317611503425684
ACH-000018,0.18438538676316785
ACH-000019,0.24212529846798864
ACH-000021,0.12965254614332578
ACH-000022,0.3291492699870521
ACH-000025,0.22517021244970606
ACH-000028,0.3278505004260487
ACH-000030,0.20130854976607776
ACH-000035,0.22098657013327705
ACH-000036,0.09125722085461167
ACH-000037,0.22664683188556495
ACH-000039,0.1947605691277233
ACH-000040,0.1263865345676049
ACH-000041,0.1993814119410498
ACH-000042,0.1417590935137355
ACH-000045,0.2979050948412051
ACH-000047,0.21094801812357555
ACH-000052,0.12796458456363027
ACH-000053,0.1593165762977611
ACH-000054,0.17856499497758035
ACH-000055,0.18600837291185945
ACH-000060,0.1753987353256311
ACH-000067,0.11049763963735514
ACH-000070,0.14990625486032433
ACH-000075,0.2396830681511926
ACH-000078,0.3287948244290204
ACH-000082,0.26503119181843954
ACH-000085,0.3100812403686042
ACH-000086,0.13905560025793146
ACH-000087,0.05713610810261448
ACH-000092,0.15635543988955078
ACH-000095,0.17044072556008175
ACH-000097,0.19475583063021756
ACH-000098,0.2397985239568765
ACH-000099,0.18892149915106307
ACH-000108,0.2480304610696821
ACH-000113,0.20778761263242332
ACH-000116,0.17715025112255234
ACH-000118,0.21560814965860475
ACH-000120,0.3670933178244243
ACH-000123,0.19170494682554773
ACH-000127,0.1858022997268745
ACH-000128,0.14652120238731195
ACH-000132,-0.017196166086523253
ACH-000133,0.21833084346309664
ACH-000137,0.12408182593766215
ACH-000138,0.2278629788914663
ACH-000142,0.1058068522019653
ACH-000143,0.21655213072242455
ACH-000146,0.1872142852626364
ACH-000148,0.20560231161740947
ACH-000150,-0.01909184973850442
ACH-000152,0.3069015286371215
ACH-000153,0.2099473866159075
ACH-000159,0.20780362741095607
ACH-000160,0.1474143410653647
ACH-000163,0.21890688747585565
ACH-000167,0.0955358269884589
