,PCYT1A (5130)
ACH-000004,-0.12868666824780894
ACH-000005,0.0671941047533779
ACH-000007,-0.6117902856782831
ACH-000009,-0.06837786330123853
ACH-000011,-0.6113945195431966
ACH-000012,-0.4817800842345247
ACH-000013,0.08457600337607116
ACH-000014,-0.296681661792516
ACH-000015,-0.4142981528725363
ACH-000017,-0.4675058756232272
ACH-000018,-0.7442839144196925
ACH-000019,-0.5480455288417281
ACH-000021,-0.4879412230933817
ACH-000022,-0.5473165224068097
ACH-000025,-1.0447744064306206
ACH-000028,-0.32842686835370083
ACH-000030,-0.3659459979520703
ACH-000035,-0.5789415450008146
ACH-000036,0.14982870089285213
ACH-000037,-0.07919052343014778
ACH-000039,0.008108895052073349
ACH-000040,-0.7718393533336031
ACH-000041,-0.16129458030527713
ACH-000042,-0.3426816286691161
ACH-000045,-0.4624334175333218
ACH-000047,-0.4297544626454731
ACH-000052,-0.4113642169577565
ACH-000053,-0.7195861926118851
ACH-000054,-0.6861373245103102
ACH-000055,-0.4082320316311063
ACH-000060,-0.2621067598180517
ACH-000067,-0.7512712506489203
ACH-000070,-0.3610596420853959
ACH-000075,-0.5398109573470488
ACH-000078,-0.027581242899774303
ACH-000082,-0.06939305078696377
ACH-000085,-0.5491100647566096
ACH-000086,-0.5616557528977013
ACH-000087,-0.02483998698156109
ACH-000092,-0.8497131861931831
ACH-000095,-0.23206073386086315
ACH-000097,-0.6264283615502971
ACH-000098,-0.6949417361094123
ACH-000099,0.08449653761060838
ACH-000108,-0.5866424494114583
ACH-000113,-0.4468097857749204
ACH-000116,-0.08889504512076671
ACH-000118,-0.5426646450767959
ACH-000120,-0.08051705312099572
ACH-000123,-0.41202113372797056
ACH-000127,-0.6038792345193589
ACH-000128,-0.13283709456918585
ACH-000132,-0.15174642641894584
ACH-000133,-0.7234064396246551
ACH-000137,0.08000208235092633
ACH-000138,-0.4909368342411221
ACH-000142,-0.4886500493801032
ACH-000143,-0.3631023583762435
ACH-000146,-0.7284197483110647
ACH-000148,-0.3381686267599741
ACH-000150,0.06841512969222957
