,VCP (7415)
ACH-000004,-1.4819055161532393
ACH-000005,-1.002855159219387
ACH-000007,-1.2362837370615354
ACH-000009,-1.5706538625578002
ACH-000011,-1.0763273063880372
ACH-000012,-1.466468992633439
ACH-000013,-1.3465535321294708
ACH-000014,-1.5343758444159084
ACH-000015,-1.4290550476096802
ACH-000017,-1.3213375135572911
ACH-000018,-1.4398775174806122
ACH-000019,-1.3673267168845722
ACH-000021,-1.3726107217844847
ACH-000022,-1.3687600480864148
ACH-000025,-1.4737631096457915
ACH-000028,-1.145032947608528
ACH-000030,-1.3777627633264231
ACH-000035,-1.5293842052961293
ACH-000036,-1.5781756656830823
ACH-000037,-1.4937430441304358
ACH-000039,-1.213912606161752
ACH-000040,-1.4447785570994625
ACH-000041,-1.0949951729789378
ACH-000042,-1.3702668617679992
ACH-000045,-1.4233942680905665
ACH-000047,-1.3962724105324795
ACH-000052,-1.340144191946366
ACH-000053,-1.3689471185127875
ACH-000054,-1.2175227847338943
ACH-000055,-1.33783267459757
ACH-000060,-1.129653418428188
ACH-000067,-1.2875500222810414
ACH-000070,-1.4657317218485957
ACH-000075,-1.5225708709472492
ACH-000078,-1.2721424422403973
ACH-000082,-1.302695573217146
ACH-000085,-0.9675528910096184
ACH-000086,-1.5838606075391597
ACH-000087,-1.3942432311526602
ACH-000092,-1.34896920351698
ACH-000095,-1.380261942719948
ACH-000097,-1.3900130658594587
ACH-000098,-1.3689029607883936
ACH-000099,-1.2992866312005993
ACH-000108,-1.502029792348961
ACH-000113,-1.277171457834208
ACH-000116,-1.2589590231294865
ACH-000118,-1.2683665060568563
ACH-000120,-1.2199530537457937
ACH-000123,-1.4632624695386631
ACH-000127,-1.5932921808417675
ACH-000128,-1.386954860279444
ACH-000132,-1.4570903598563278
ACH-000133,-1.3626845890042172
ACH-000137,-1.4294986358772992
ACH-000138,-1.3378418484148007
ACH-000142,-1.2586563284822196
ACH-000143,-1.5236884091082934
ACH-000146,-1.2534212842395775
ACH-000148,-1.6392238715684249
ACH-000150,-1.1072550141683015
ACH-000152,-1.397980103153378
ACH-000153,-1.391811333115662
ACH-000159,-1.426441522410182
ACH-000160,-1.4874962350802383
ACH-000163,-1.1713206027282796
ACH-000167,-1.9571969548822143
ACH-000168,-1.271176260548347
ACH-000169,-1.2186952215450269
ACH-000178,-1.2577279788723383
ACH-000183,-1.6220143562293068
ACH-000188,-1.4218903162834151
ACH-000189,-1.5303793442954992
ACH-000190,-1.2221022712461025
ACH-000198,-1.4080481112801886
ACH-000203,-1.2459368219026783
ACH-000204,-1.6707624818813291
ACH-000206,-1.202512979894191
ACH-000207,-1.3417694683811765
ACH-000208,-1.2784502343389486
ACH-000210,-1.6031549053549798
ACH-000211,-1.0984973011434562
ACH-000215,-1.3932463806335067
ACH-000221,-1.5633468638958783
ACH-000222,-1.570783681433073
ACH-000223,-1.5317808570873028
ACH-000226,-1.2527744449133726
ACH-000227,-1.306414953985754
ACH-000228,-1.2906674742751651
ACH-000231,-1.3794938243055148
ACH-000232,-1.3663416304440303
ACH-000233,-1.4441794240801653
ACH-000234,-1.4134069697448326
ACH-000235,-1.4431095694348075
ACH-000237,-1.2064983390233532
ACH-000238,-1.390463952408682
ACH-000242,-1.2939062759519881
ACH-000243,-1.2404145330203846
ACH-000244,-1.4799986286184272
ACH-000246,-1.3573159261159884
ACH-000248,-1.3817732538739669
ACH-000250,-1.2200841906722262
ACH-000251,-1.0050988491133679
ACH-000252,-1.5802152307383648
