,FAM25G (100133093)
ACH-000004,-0.7794622275469745
ACH-000005,-0.8858831560045533
ACH-000007,-0.61747712908231
ACH-000009,-0.5431085400463396
ACH-000011,-0.6666259560606675
ACH-000012,-0.739621086374159
ACH-000013,-0.7006062744542768
ACH-000014,-0.8767262819857191
ACH-000015,-0.6080487521621971
ACH-000017,-0.6081798124271464
ACH-000018,-0.7859480860200774
ACH-000019,-0.4994006954270966
ACH-000021,-0.8778467349795049
ACH-000022,-0.5648578797697058
ACH-000025,-0.774420579688108
ACH-000028,-0.5871890035159611
ACH-000030,-0.8294236279631992
ACH-000035,-0.7425809622927534
ACH-000036,-0.6238974429771998
ACH-000037,-0.8044365514628469
ACH-000039,-0.8382066959188282
ACH-000040,-0.7541659861057222
ACH-000041,-0.810909279593917
ACH-000042,-0.816940557689983
ACH-000045,-0.7478716230623134
ACH-000047,-0.4938778154157149
ACH-000052,-0.7727919685184621
ACH-000053,-0.6124306916735966
ACH-000054,-0.5090860641393353
ACH-000055,-0.5595434107226597
ACH-000060,-0.8139497328691915
ACH-000067,-0.8748228950455808
ACH-000070,-0.7174159743920502
ACH-000075,-0.8296165718793806
ACH-000078,-0.6341741366017496
ACH-000082,-0.7036277929935097
ACH-000085,-0.9098107770595965
ACH-000086,-0.6133877796764649
ACH-000087,-0.7501409589529626
ACH-000092,-0.910475392208311
ACH-000095,-0.7317655598052439
ACH-000097,-0.7608814068725317
ACH-000098,-0.8047748065887752
ACH-000099,-0.7157042540669863
ACH-000108,-0.690574753373297
ACH-000113,-0.6949289765738084
ACH-000116,-0.7327805731079724
ACH-000118,-0.7582895253408043
ACH-000120,-0.6542237968323679
ACH-000123,-0.6875276790284544
ACH-000127,-0.7336229634409623
ACH-000128,-0.6853863608489162
ACH-000132,-1.0772603691037397
ACH-000133,-0.7689252561871764
ACH-000137,-0.6677294700011881
ACH-000138,-0.6479164650602555
ACH-000142,-0.4831884205731854
ACH-000143,-0.6981310279859704
ACH-000146,-0.8829133608758538
ACH-000148,-0.9251244773869084
ACH-000150,-0.9063779159824804
ACH-000152,-0.7959035532805571
ACH-000153,-0.3925666514244931
ACH-000159,-0.6645253333862677
ACH-000160,-0.8542980845819768
ACH-000163,-0.6698700291293881
ACH-000167,-1.5049271107506734
ACH-000168,-0.9025060114525828
ACH-000169,-0.7414792499833981
ACH-000178,-0.6259962320588821
ACH-000183,-0.7045658495783994
ACH-000188,-0.7136024692965179
ACH-000189,-0.8116586281663796
ACH-000190,-0.6625936282035407
ACH-000198,-0.7547825560745455
ACH-000203,-0.970892914804838
ACH-000204,-0.5738043794995186
ACH-000206,-1.015277975094662
ACH-000207,-0.6801300989800114
ACH-000208,-0.5670956210253026
ACH-000210,-0.7524746716997913
ACH-000211,-0.8490460967516988
ACH-000215,-0.9241099586633368
ACH-000221,-0.5904209369605714
ACH-000222,-0.7962495207735747
ACH-000223,-0.8548941924650619
ACH-000226,-0.6976425261839025
ACH-000227,-0.8960227975056719
ACH-000228,-1.022848779675861
ACH-000231,-0.9011196583092652
ACH-000232,-0.8311429887892756
ACH-000233,-0.6034951529110651
ACH-000234,-0.7007696455781088
ACH-000235,-0.7266788823094557
ACH-000237,-0.7585339047418291
ACH-000238,-0.7791658928784452
ACH-000242,-0.8778406827544931
ACH-000243,-0.6798063036795722
ACH-000244,-0.6921005686690092
ACH-000246,-0.5679235710567616
ACH-000248,-0.631732564621034
ACH-000250,-0.6993739766302448
ACH-000251,-0.7018681682282127
ACH-000252,-0.6826025631523025
ACH-000253,-0.6547476127030549
ACH-000255,-0.6670987587448656
ACH-000256,-0.7930850354990977
ACH-000257,-1.0354484291974928
ACH-000258,-0.4242749167666125
ACH-000259,-0.8734364730385905
ACH-000260,-0.6435376755754734
ACH-000261,-0.7724947873290766
ACH-000262,-0.7735005995354205
ACH-000263,-0.8557470709612647
ACH-000264,-0.9511398252038888
ACH-000265,-0.7307771659960418
ACH-000266,-0.7550605783627881
