,MARCKSL1 (65108)
ACH-000004,0.041651101603174465
ACH-000005,-0.08731331151608275
ACH-000007,-0.4538061929517476
ACH-000009,-0.2311235337365937
ACH-000011,-0.25978050883107623
ACH-000012,-0.29293295449007833
ACH-000013,-0.32935871883270923
ACH-000014,-0.22395216113882574
ACH-000015,-0.17360949922162727
ACH-000017,-0.022884975833456903
ACH-000018,-0.16871108780690675
ACH-000019,-0.09289860351188854
ACH-000021,-0.14395440470428714
ACH-000022,-0.15054436283595604
ACH-000025,-0.1369578213968904
ACH-000028,-0.163843400400823
ACH-000030,-0.18819496498072613
ACH-000035,-0.1588985558074739
ACH-000036,-0.21914077779552074
ACH-000037,-0.1969731372799605
ACH-000039,-0.0954778862252657
ACH-000040,-0.1482232893916929
ACH-000041,-0.3076143147438989
ACH-000042,-0.17822986690051235
ACH-000045,-0.05899732725267363
ACH-000047,-0.21218823731842226
ACH-000052,-0.1191362802729155
ACH-000053,-0.04525518239249279
ACH-000054,-0.16879187042391933
ACH-000055,-0.16634084058001175
ACH-000060,-0.16604580126751065
ACH-000067,-0.4489468224004472
ACH-000070,-0.13988815006440364
ACH-000075,-0.4467852208662805
ACH-000078,0.08405686963455004
ACH-000082,-0.20184658621905266
ACH-000085,-0.16282020034362885
ACH-000086,-0.2782134126145908
ACH-000087,-0.5478329591806904
ACH-000092,-0.25732411628720664
ACH-000095,-0.15610580758925574
ACH-000097,-0.20524226526881303
ACH-000098,-0.20024167943726606
ACH-000099,-0.030993100876954317
ACH-000108,-0.16845859427273832
ACH-000113,-0.1686467027113311
ACH-000116,-0.1962260217684372
ACH-000118,-0.07590292200735918
ACH-000120,-0.05536795291990365
ACH-000123,-0.1140135714556883
ACH-000127,-0.16024211841222216
ACH-000128,-0.3010535298548814
ACH-000132,-0.22688525724978476
ACH-000133,-0.2526826250554899
ACH-000137,-0.2982811272302661
ACH-000138,-0.22571325723889274
ACH-000142,-0.18366431989969773
ACH-000143,-0.078575864889828
ACH-000146,-0.0817262646664592
ACH-000148,-0.32501298005178064
ACH-000150,-0.23509395273794104
ACH-000152,-0.22456325050191933
ACH-000153,-0.03749022998538918
ACH-000159,-0.2511722690685579
ACH-000160,-0.057201960062589985
ACH-000163,-0.16316834199579186
ACH-000167,0.0018178304170766808
ACH-000168,0.003638776018439268
ACH-000169,-0.10652452594616037
ACH-000178,-0.08239347663680742
ACH-000183,-0.22464221902350448
ACH-000188,-0.14804412752840107
ACH-000189,-0.2567653554403623
ACH-000190,-0.1527874325545773
ACH-000198,-0.10770620711244704
ACH-000203,0.2472796466800957
ACH-000204,-0.3447874038035465
ACH-000206,-0.1676976265662849
ACH-000207,-0.1831077510368707
ACH-000208,-0.3010436250837835
ACH-000210,-0.07972389027068938
ACH-000211,-0.17127835512335818
ACH-000215,-0.2384621530089729
ACH-000221,-0.33464286404058874
ACH-000222,-0.07556611052660098
ACH-000223,-0.2394122723034177
ACH-000226,-0.09826521786148973
ACH-000227,-0.15155033647722085
ACH-000228,-0.319001215574568
ACH-000231,-0.1924298220307044
ACH-000232,-0.28608032328406346
ACH-000233,-0.07272288205295238
ACH-000234,-0.1419215210827704
ACH-000235,-0.1916515964072183
ACH-000237,-0.11290912769713607
ACH-000238,-0.13080283217652586
ACH-000242,-0.7165931437806303
ACH-000243,-0.14991231293206764
ACH-000244,-0.23083628171813694
ACH-000246,-0.16757929214977893
ACH-000248,-0.15533262458296795
ACH-000250,-0.1951642734615532
ACH-000251,-0.14319711102013735
ACH-000252,-0.20659322474420053
ACH-000253,-0.2656985924201379
ACH-000255,-0.20201381506988567
ACH-000256,-0.2361657142755511
ACH-000257,-0.2205072414976498
ACH-000258,-0.16116418608139665
ACH-000259,-0.19899107873432945
