,UBE3D (90025)
ACH-000004,0.017819895142294127
ACH-000005,-0.032260722534554566
ACH-000007,-0.4569849851488186
ACH-000009,-0.10729192448030507
ACH-000011,-0.1354912916784256
ACH-000012,0.07622667778311064
ACH-000013,-0.036037696670002124
ACH-000014,-0.4781312990753814
ACH-000015,-0.22542705064558946
ACH-000017,-0.4780550545141127
ACH-000018,-0.08992638277801923
ACH-000019,0.15471024467950992
ACH-000021,-0.18720240735133287
ACH-000022,-0.005859261794703718
ACH-000025,-0.15248828706332654
ACH-000028,-0.1486298526089964
ACH-000030,-0.2880853785858151
ACH-000035,-0.15405292972283482
ACH-000036,0.07225719582108428
ACH-000037,-0.08421837082094433
ACH-000039,-0.31420552919203026
ACH-000040,-0.21281773228587267
ACH-000041,-0.1512910139141638
ACH-000042,-0.2143660924578061
ACH-000045,-0.1864424344910649
ACH-000047,-0.062363719648131775
ACH-000052,-0.2086631675001326
ACH-000053,-0.27729250590915483
ACH-000054,-0.13281717404157833
ACH-000055,-0.1968264192634584
ACH-000060,-0.28596308951848753
ACH-000067,-0.1759057529279514
ACH-000070,-0.2995768511742914
ACH-000075,0.03662895393948585
ACH-000078,-0.6937092069045335
ACH-000082,-0.24967235578730185
ACH-000085,0.16248838292245715
ACH-000086,-0.09123065477755267
ACH-000087,-0.3446893022390444
ACH-000092,-0.23205786981919505
ACH-000095,-0.4177240290016581
ACH-000097,-0.1674621079782619
ACH-000098,-0.06258282421207574
ACH-000099,-0.6207521142240673
ACH-000108,-0.06521236771334257
ACH-000113,-0.015275842287471732
ACH-000116,-0.07273586724209291
ACH-000118,0.008212839998034708
ACH-000120,-0.456300252875043
ACH-000123,-0.3159515965898758
ACH-000127,-0.008671283664366449
ACH-000128,0.0021177818943382415
ACH-000132,-0.18979901518900427
ACH-000133,-0.415038678789829
ACH-000137,-0.1553790794860161
ACH-000138,-0.3699969068508897
ACH-000142,-0.10248260965117686
ACH-000143,-0.4828774898960242
ACH-000146,-0.04416522452140128
ACH-000148,-0.10409142501848807
ACH-000150,0.0413407724505023
