,LGI4 (163175)
ACH-000004,0.02993119451647105
ACH-000005,-0.04397503530760195
ACH-000007,0.029345203803418044
ACH-000009,-0.1461127599631439
ACH-000011,0.048076329724944016
ACH-000012,-0.2494445391524275
ACH-000013,-0.20065537898871555
ACH-000014,-0.0332054766305393
ACH-000015,-0.01818174497581803
ACH-000017,-0.09637768832054708
ACH-000018,0.0559458087777158
ACH-000019,-0.0010662216461569275
ACH-000021,-0.09530923108234617
ACH-000022,-0.17932771946541498
ACH-000025,0.0484874870117077
ACH-000028,-0.04110437416617909
ACH-000030,-0.1487059172449946
ACH-000035,0.0072705095159286675
ACH-000036,0.043561531585805315
ACH-000037,-0.029175966372048112
ACH-000039,0.0440648440073231
ACH-000040,-0.07572845912134643
ACH-000041,-0.039421383129086406
ACH-000042,0.03172844680338344
ACH-000045,-0.1405101140053068
ACH-000047,0.04619145729660677
ACH-000052,-0.21224220101985355
ACH-000053,-0.07749575660383377
ACH-000054,-0.019728203987153838
ACH-000055,0.0890465372931536
ACH-000060,0.0344226529763927
ACH-000067,-0.1533828709371773
ACH-000070,-0.06849033295522257
ACH-000075,-0.06717280142758479
ACH-000078,0.06844330603047616
ACH-000082,-0.0039560091342621
ACH-000085,-0.2590804715812263
ACH-000086,-0.1505903302003502
ACH-000087,0.06902782867844115
ACH-000092,-0.12816103647799018
ACH-000095,0.010466936967878343
ACH-000097,-0.02246101493162232
ACH-000098,-0.07054009936178111
ACH-000099,0.00465605118645713
ACH-000108,-0.1520331943219723
ACH-000113,-0.12278316187185935
ACH-000116,0.04104428852195357
ACH-000118,-0.11964556829233773
ACH-000120,-0.03970943224656205
ACH-000123,-0.09742520914200263
ACH-000127,-0.05350626352164276
ACH-000128,0.1228390484426968
ACH-000132,-0.03242819618057246
ACH-000133,-0.0061159206467900785
ACH-000137,-0.3329924969511472
ACH-000138,-0.12925403060599924
ACH-000142,-0.03479977542209058
ACH-000143,-0.18179129270363825
ACH-000146,-0.0341807709636044
ACH-000148,-0.01754778011404023
ACH-000150,-0.2052640761831761
ACH-000152,-0.09873228436864896
ACH-000153,-0.23355083225767906
ACH-000159,0.10302922260221542
ACH-000160,-0.015154459906513618
ACH-000163,-0.07260532485274608
ACH-000167,-0.3212186956990901
ACH-000168,-0.0912424949660227
ACH-000169,0.08568053929998806
ACH-000178,-0.02627031805927231
ACH-000183,-0.12766446730528905
ACH-000188,-0.15074234755885146
ACH-000189,0.1759446864012819
ACH-000190,-0.33272433353743736
ACH-000198,-0.021012909772592684
ACH-000203,0.028053247092543844
ACH-000204,-0.16233060002915753
ACH-000206,0.124319612088856
ACH-000207,-0.25422705061030165
ACH-000208,0.0974846957532852
ACH-000210,0.0566799571757153
ACH-000211,-0.04641439117182259
ACH-000215,-0.027033317692625045
ACH-000221,-0.229886905161304
ACH-000222,-0.16397569460713524
ACH-000223,-0.014241911202819984
ACH-000226,-0.1478445568107301
ACH-000227,-0.1635622929854001
ACH-000228,-0.07997856116436937
ACH-000231,0.10116042571294004
ACH-000232,0.02463408617857488
ACH-000233,-0.12702346481506432
ACH-000234,0.05264062603502892
ACH-000235,-0.1141314356447804
ACH-000237,-0.016377628620779863
ACH-000238,0.003100107616672098
ACH-000242,0.22571375948558264
ACH-000243,-0.10107214318475022
ACH-000244,0.27801953653575995
ACH-000246,-0.0487614356636721
ACH-000248,-0.09089133310659726
ACH-000250,-0.021631556830252783
ACH-000251,-0.23899631631661425
ACH-000252,0.0911195768476194
ACH-000253,-0.08117306531691212
ACH-000255,-0.03793250833724378
ACH-000256,-0.04564204223383927
ACH-000257,-0.007901633509906386
ACH-000258,0.16495375218924066
ACH-000259,0.03922327629878013
ACH-000260,-0.08992317234932681
