,MCL1 (4170)
ACH-000004,-0.3588362046198822
ACH-000005,-0.3126853411210819
ACH-000007,-0.194568009877456
ACH-000009,-0.3727508620247472
ACH-000011,-0.37702274866458585
ACH-000012,-0.2956619310856504
ACH-000013,-0.1784668904049199
ACH-000014,-0.9599508625875692
ACH-000015,-0.9120468869889516
ACH-000017,-0.4545405068851886
ACH-000018,-0.17900619446398802
ACH-000019,-0.7996204820141609
ACH-000021,-0.5248712802130523
ACH-000022,-0.2929089823821595
ACH-000025,-0.3198186061588184
ACH-000028,-0.6739522555082034
ACH-000030,-0.5564215663295721
ACH-000035,-0.5756861856377115
ACH-000036,-0.427053078689341
ACH-000037,-0.3955864735508768
ACH-000039,-1.3765829357238912
ACH-000040,-0.2062436181252437
ACH-000041,-0.8236510500754575
ACH-000042,-0.4850873518630104
ACH-000045,-0.8578805335049707
ACH-000047,-0.29501762936689196
ACH-000052,-0.6430436656071181
ACH-000053,-0.8082842631494338
ACH-000054,-0.5300614258123457
ACH-000055,-0.8023139467500936
ACH-000060,-0.4401112388530714
ACH-000067,-0.4867737448683894
ACH-000070,-0.8299914877554377
ACH-000075,-0.32526905098691833
ACH-000078,-0.4723183182058615
ACH-000082,-0.2517660804157517
ACH-000085,-0.5129814927322219
ACH-000086,-0.3294440338472332
ACH-000087,-0.7779130215537617
ACH-000092,-0.6377015278153605
ACH-000095,-0.5089319028701449
ACH-000097,-0.25107917934035595
ACH-000098,-0.4287666634260424
ACH-000099,-0.1652806650656816
ACH-000108,-0.3352490723248481
ACH-000113,-0.8836209747472552
ACH-000116,-0.4637950132999916
ACH-000118,-0.35934032979480035
ACH-000120,-0.8743771494944225
ACH-000123,-0.8589653388005793
ACH-000127,-0.1951685195140139
ACH-000128,-0.3325235101298453
ACH-000132,-0.3742233296854057
ACH-000133,-0.7752919790245373
ACH-000137,-0.6866696665283767
ACH-000138,-0.33374738973568724
ACH-000142,-0.4049776181570745
ACH-000143,-0.3762436317040069
ACH-000146,-1.1580786916219008
ACH-000148,-0.6700467779058098
ACH-000150,-0.4166509513192619
ACH-000152,-0.6807234209538895
ACH-000153,-0.32164292692646196
ACH-000159,-0.2560057599440391
ACH-000160,-0.4911340630551049
ACH-000163,-0.39516786614597504
ACH-000167,-0.03748968706776035
ACH-000168,-0.6839331932222366
ACH-000169,-0.2563995518296445
ACH-000178,-0.2409668569697441
ACH-000183,-0.8653385649482908
ACH-000188,-0.6749000609983872
ACH-000189,-0.5050565650328327
ACH-000190,-0.20892715973520265
ACH-000198,-0.91221683892072
ACH-000203,-0.07292064380084629
ACH-000204,-0.7401518577989804
ACH-000206,-0.12837416989770392
ACH-000207,-0.7160175853410496
ACH-000208,-0.469214400347396
ACH-000210,-0.13215804062936395
ACH-000211,-0.8356188478859711
ACH-000215,-0.31122592862186105
ACH-000221,-1.0308143350571644
ACH-000222,-0.3588840694436266
ACH-000223,-0.3902276917411511
ACH-000226,-1.082886187721419
ACH-000227,-0.189246935231401
ACH-000228,-0.36346247851936575
ACH-000231,-0.5786075249684521
ACH-000232,-0.5160719111515806
ACH-000233,-0.7338074811137082
ACH-000234,-0.274085940880306
ACH-000235,-0.2655728976087214
ACH-000237,-0.410951797409899
ACH-000238,-0.42201104629754604
ACH-000242,-0.36691746108569495
ACH-000243,-0.5104702524831248
ACH-000244,-0.6827623506621165
ACH-000246,-0.1566648271692635
ACH-000248,-0.8924706900189868
ACH-000250,-0.18535618146025334
ACH-000251,-0.03880363978689158
ACH-000252,-0.14530122176203855
ACH-000253,-0.17384604675546506
ACH-000255,-0.5335772453476713
ACH-000256,-0.4184523523537676
ACH-000257,-0.6485873789691718
ACH-000258,-0.8452839648640628
ACH-000259,-0.5796870286297654
ACH-000260,-0.8172136652850837
ACH-000261,-0.6979910323963489
ACH-000262,-0.3500359302831676
ACH-000263,-0.8476493760582123
ACH-000264,-0.5220446255249045
ACH-000265,-0.22675173902862555
ACH-000266,-0.4930402490606358
ACH-000272,-0.4316937154840636
ACH-000274,-0.4425799972572053
ACH-000277,-0.3811474888281241
ACH-000278,-0.3718198093087284
ACH-000279,-0.28055830843819074
ACH-000280,-0.23795106316783285
ACH-000281,-0.3477613797134756
ACH-000288,-0.5167400005228989
ACH-000291,-0.3585716618103937
ACH-000293,-0.14913193108337353
ACH-000294,-1.09696602757948
ACH-000295,-0.1735731443857788
ACH-000296,-0.5972988392642178
ACH-000302,-0.2763503658498495
ACH-000304,-0.3576555549145265
ACH-000307,-0.3728338344136448
ACH-000308,-0.26708526899365426
ACH-000310,-0.3520993812018129
ACH-000311,-0.5571419826974914
ACH-000312,-0.331872621111844
ACH-000315,-1.0024121960767347
ACH-000316,-0.9362480866521584
ACH-000317,-0.026653264098443562
ACH-000318,-0.7960500523680033
ACH-000319,-0.3298236567472489
ACH-000320,-0.5858770246515445
ACH-000322,-0.6387573125845292
ACH-000323,-0.4156970004218785
ACH-000324,-0.27491012248715885
ACH-000329,-0.9158661616470892
ACH-000330,-0.4977078747334149
ACH-000331,-0.8693326905286682
ACH-000332,-0.3073930576367174
ACH-000334,-1.0055445238446168
ACH-000335,-0.631444622415833
ACH-000336,-0.506189156346899
ACH-000337,-0.11213434644242548
ACH-000338,-0.7209663489906135
ACH-000339,-0.16705583341983024
ACH-000341,-0.7685628902989173
ACH-000348,-0.866085591259772
ACH-000350,-0.41850427171537946
ACH-000352,-1.0791021983937543
ACH-000356,-0.14688928719151995
ACH-000361,-0.5778288897374368
ACH-000362,-0.9037496824355848
ACH-000363,-0.2494250294376904
ACH-000364,-0.5509829080355716
ACH-000365,-0.7933388781176807
ACH-000366,-0.4607982131353607
ACH-000368,-0.3816527095723362
ACH-000374,-0.9572917529114314
ACH-000375,-0.8064739994715628
ACH-000376,-0.31200459772838035
ACH-000381,-0.8759120975772079
ACH-000383,-0.24812309800955376
ACH-000387,-0.6232890314262064
ACH-000389,-0.5314050793093753
ACH-000390,-0.5853319530501242
ACH-000393,-0.392764397917484
ACH-000395,-0.21891742252435964
ACH-000396,-0.1864173658336292
ACH-000397,-0.3146225266624895
ACH-000401,-0.21182426674572585
ACH-000402,-0.793208230609296
ACH-000403,-0.2487928107435991
ACH-000404,-0.5697218951207021
ACH-000406,-0.7313448136415225
ACH-000407,-0.5192826949952792
ACH-000408,-0.13706820306744186
ACH-000410,-0.5150847371146501
ACH-000411,-0.2408224423710941
ACH-000414,-0.30157088284743844
ACH-000415,-0.11345735918578878
ACH-000416,-0.8880577119281806
ACH-000420,-0.3694490549174672
ACH-000421,-0.29197979790802625
ACH-000424,-0.6196997830341
ACH-000425,-0.7769300223037717
ACH-000426,-1.6816135778951706
ACH-000427,-0.4953241515555098
ACH-000433,-0.20864196767828366
ACH-000435,0.03798981019493903
ACH-000436,-0.8104961928630837
ACH-000444,-0.1907729602189387
ACH-000445,-0.8536745976015085
ACH-000448,-0.3068026173238309
ACH-000450,-0.11307193508020595
ACH-000452,-1.2206249948344077
ACH-000454,-0.5346281384591793
ACH-000458,-0.5626032994622484
ACH-000459,-0.6883860719068241
ACH-000460,-0.456292984536683
ACH-000461,-0.17671134973700026
ACH-000463,-0.35638820457515835
ACH-000464,-0.41361610406395255
ACH-000466,-0.2566954594479946
ACH-000467,-0.6113950958049452
ACH-000468,-0.361874650780268
ACH-000469,-0.5111500651504872
ACH-000470,-0.28855595814211793
ACH-000471,-0.5971031890707477
ACH-000472,-0.7083963972586239
ACH-000473,-1.2872948629583327
ACH-000475,-0.4312115155103052
ACH-000476,-0.22424636954922395
ACH-000477,-0.01705478395266975
ACH-000479,-0.2978079437281343
ACH-000480,-0.2812075584962513
ACH-000481,-0.4000964654761104
ACH-000483,-0.6271790214110128
ACH-000484,-0.16003255024550198
ACH-000485,-0.2509404295112647
ACH-000486,-0.3425766586904776
ACH-000487,-0.5198229900334763
ACH-000488,-0.4573298666497589
ACH-000490,-0.4319778718088467
ACH-000491,-0.6473269672518421
