,LYZL4 (131375)
ACH-000004,-0.12815226536352525
ACH-000005,-0.3490468883905303
ACH-000007,-0.30006910569981743
ACH-000009,-0.3190657604825521
ACH-000011,-0.2456730865721053
ACH-000012,-0.2211896818576096
ACH-000013,-0.21656650842417613
ACH-000014,-0.16520240567609773
ACH-000015,-0.22084003340919472
ACH-000017,-0.19957986674127087
ACH-000018,-0.2310207583489033
ACH-000019,-0.1486803220385017
ACH-000021,-0.1943652708131582
ACH-000022,-0.2886374997075529
ACH-000025,-0.2868321464955743
ACH-000028,-0.20594992530837544
ACH-000030,-0.19880509365687887
ACH-000035,-0.14447349581640734
ACH-000036,-0.27721022198685913
ACH-000037,-0.0565599944636316
ACH-000039,-0.20300387567202613
ACH-000040,-0.197840682482578
ACH-000041,-0.3026720462240873
ACH-000042,-0.3422880692161244
ACH-000045,-0.38534118354778796
ACH-000047,-0.22886530393730214
ACH-000052,-0.1752682229110978
ACH-000053,-0.18496699135287606
ACH-000054,-0.3944607415219763
ACH-000055,-0.022297920777731725
ACH-000060,-0.3242978271825825
ACH-000067,-0.4542604841048352
ACH-000070,-0.3495173143716172
ACH-000075,-0.5083275316099349
ACH-000078,-0.31748026448052896
ACH-000082,-0.39880979844812536
ACH-000085,-0.3421714037822234
ACH-000086,-0.20760593571837616
ACH-000087,-0.3699178337989371
ACH-000092,-0.2235545343368903
ACH-000095,-0.4550999945102768
ACH-000097,-0.17561658040588413
ACH-000098,-0.2512109209614453
ACH-000099,-0.28728843573946
ACH-000108,-0.21298262946087085
ACH-000113,-0.2050930900440235
ACH-000116,-0.22695245606696735
ACH-000118,-0.2880186670034233
ACH-000120,-0.19297117831722327
ACH-000123,-0.1687852312134179
ACH-000127,-0.19440439954129904
ACH-000128,-0.3927736229438139
ACH-000132,-0.2973322654499522
ACH-000133,-0.31692726945795857
ACH-000137,-0.159343232506538
ACH-000138,-0.2543686331751066
ACH-000142,-0.18599840053071506
ACH-000143,-0.3992295377617134
ACH-000146,-0.22473693487783925
ACH-000148,-0.27763623295578505
ACH-000150,-0.3267418108293957
ACH-000152,-0.2442145962373484
ACH-000153,-0.254732023683885
ACH-000159,-0.2382468377211828
ACH-000160,-0.2732672643036857
ACH-000163,-0.19526831743470865
ACH-000167,-0.20365733753607365
ACH-000168,-0.1863141389630392
ACH-000169,-0.2751823272561141
ACH-000178,-0.2545354950931884
ACH-000183,-0.3701653213040911
ACH-000188,-0.2698906160120773
ACH-000189,-0.4783754163108025
ACH-000190,-0.3067342618239969
ACH-000198,-0.12464123602344165
ACH-000203,0.0138057745979657
ACH-000204,0.415148129395928
ACH-000206,-0.169373029939804
ACH-000207,-0.2266028713738825
ACH-000208,-0.2683541665189793
ACH-000210,-0.5759434085205073
ACH-000211,-0.3650637363478617
ACH-000215,-0.1531353628499264
ACH-000221,-0.2001141246642055
ACH-000222,-0.18601362326325455
ACH-000223,-0.3333447355871077
ACH-000226,-0.1165408007154496
ACH-000227,-0.5194370169021678
ACH-000228,-0.4642393172006165
ACH-000231,-0.2779742121536335
ACH-000232,-0.43472737057804106
ACH-000233,-0.20692195113520004
ACH-000234,-0.318780435114533
ACH-000235,-0.30978252920472105
ACH-000237,-0.16400088595724646
ACH-000238,-0.43945487543234
ACH-000242,-0.8877204024137307
ACH-000243,-0.27684987692551805
ACH-000244,-0.3070206190749029
ACH-000246,-0.293864013898055
ACH-000248,-0.11517337678584773
ACH-000250,-0.3266894966108126
ACH-000251,-0.205782485754474
ACH-000252,-0.39450774610168143
ACH-000253,-0.49793163639497795
ACH-000255,-0.08640963664728693
ACH-000256,-0.2102172697109136
ACH-000257,-0.3524029822335015
ACH-000258,-0.4731113239972983
ACH-000259,-0.2662272391655125
ACH-000260,-0.22978288107117004
ACH-000261,-0.18857410281679596
ACH-000262,-0.3259920727572754
ACH-000263,-0.08864835908013198
ACH-000264,-0.2830490060679832
ACH-000265,-0.3924929899674429
ACH-000266,-0.2385974814030612
ACH-000272,-0.1717814310780057
ACH-000274,-0.3435346148186157
ACH-000277,-0.2139858629786653
ACH-000278,-0.2943458325041646
ACH-000279,-0.4103797891086777
ACH-000280,-0.4289161209292382
ACH-000281,-0.4575601227146219
ACH-000288,-0.2877148194878458
ACH-000291,-0.3541624860671139
ACH-000293,-0.3967790258532556
ACH-000294,-0.18458971555889225
ACH-000295,-0.4161333772793923
ACH-000296,-0.3248534306466372
ACH-000302,-0.17465681270435268
ACH-000304,-0.22188129613874574
ACH-000307,-0.2972642368693252
ACH-000308,-0.20699516147620206
ACH-000310,-0.3464555099043418
ACH-000311,-0.2988012390850681
ACH-000312,-0.2854869457098002
ACH-000315,-0.28028906511248186
ACH-000316,-0.17226641203121562
ACH-000317,-0.3389776004425301
ACH-000318,-0.31550569606422085
ACH-000319,-0.23232708584348405
ACH-000320,-0.2083996764671476
ACH-000322,-0.2773632752427517
ACH-000323,-0.2825168994419727
ACH-000324,-0.26970651893134845
ACH-000329,-0.2991429653417762
ACH-000330,-0.2501107331831359
ACH-000331,-0.2733446889721778
ACH-000332,-0.2104932455414792
ACH-000334,-0.32480144464636096
ACH-000335,-0.15829425609198636
ACH-000336,-0.2772194978247782
ACH-000337,-0.3025610405217126
ACH-000338,0.21935660821908756
ACH-000339,-0.32012889475167233
ACH-000341,-0.3611414998175803
ACH-000348,-0.10292385571224047
ACH-000350,-0.26194541105030605
ACH-000352,-0.24575764964004976
ACH-000356,-0.2945855580419849
ACH-000361,-0.28334637442833305
ACH-000362,-0.1417389225939045
ACH-000363,-0.271131993015096
ACH-000364,-0.29236014798411697
ACH-000365,-0.2452158410360284
ACH-000366,-0.2188641934752443
ACH-000368,-0.26225402954420385
ACH-000374,-0.4016594139611599
ACH-000375,-0.13496066622187694
ACH-000376,-0.1847293269479623
ACH-000381,-0.08716549262096285
ACH-000383,-0.1371299674662125
ACH-000387,-0.18562515700261584
ACH-000389,-0.28531758112625155
