,COG4 (25839)
ACH-000004,-0.4716285951931389
ACH-000005,-0.797518629344818
ACH-000007,-0.618013826371895
ACH-000009,-0.4818887916853002
ACH-000011,-0.43414862867596776
ACH-000012,-0.4892024040720016
ACH-000013,-0.6410965561990664
ACH-000014,-0.4104228025930852
ACH-000015,-0.5734063674249322
ACH-000017,-0.5063196449550024
ACH-000018,-0.547501229128183
ACH-000019,-0.5616568345209592
ACH-000021,-0.882439645421478
ACH-000022,-0.6742502067717874
ACH-000025,-0.6165715748595334
ACH-000028,-0.3821044339933503
ACH-000030,-0.4700126385882818
ACH-000035,-0.3840640388233816
ACH-000036,-0.5437671752237305
ACH-000037,-0.4176318598233976
ACH-000039,-0.7980545059021665
ACH-000040,-0.6798042463749386
ACH-000041,-0.499481490089329
ACH-000042,-0.3363722096699699
ACH-000045,-0.6026253555212377
ACH-000047,-0.4647756404858952
ACH-000052,-0.7788031504864442
ACH-000053,-0.4494291522946246
ACH-000054,-0.6457750456778045
ACH-000055,-0.578864612862661
ACH-000060,-0.5085648723309677
ACH-000067,-0.389537465299515
ACH-000070,-0.7544647033937557
ACH-000075,-0.5302590721023035
ACH-000078,-0.5737099455246263
ACH-000082,-0.6702238694287935
ACH-000085,-0.6295618343702872
ACH-000086,-0.6219892933335207
ACH-000087,-0.9045761270890992
ACH-000092,-0.5352842653015193
ACH-000095,-0.5118376772335446
ACH-000097,-0.6512059120260505
ACH-000098,-0.7225427942686516
ACH-000099,-0.3845507194079144
ACH-000108,-0.7199517066749321
ACH-000113,-0.5978020649626091
ACH-000116,-0.7690213739721943
ACH-000118,-0.6629597271611278
ACH-000120,-0.2550276789307934
ACH-000123,-0.6535378476990393
ACH-000127,-0.3561239100642655
ACH-000128,-0.456836344456282
ACH-000132,-0.6524382002323397
ACH-000133,-0.5466078537000425
ACH-000137,-0.4285685209006365
ACH-000138,-0.6127181644482705
ACH-000142,-0.495857466506609
ACH-000143,-0.5389645220470277
ACH-000146,-0.4767140347954447
ACH-000148,-0.7085884042598409
ACH-000150,-0.4339357284822483
ACH-000152,-0.5803272387407094
ACH-000153,-0.8503219730444606
ACH-000159,-0.6393468984763417
ACH-000160,-0.4242860545111795
ACH-000163,-0.5863017553673806
ACH-000167,-1.2067117109751335
ACH-000168,-0.7792511518064789
ACH-000169,-0.4274827167743039
ACH-000178,-0.6174754466763064
ACH-000183,-0.8870192940808355
ACH-000188,-0.4293422004389214
ACH-000189,-0.718546358042365
ACH-000190,-0.41935444995199145
ACH-000198,-0.6362856626071951
ACH-000203,0.1807310282627823
ACH-000204,-0.5420039221438055
ACH-000206,-0.2916276466004926
ACH-000207,-0.3536808938739761
ACH-000208,-0.3617927846378989
ACH-000210,-0.5749668658917364
ACH-000211,-0.4735463787210869
ACH-000215,-0.3598756365902862
ACH-000221,-0.5797869529219892
ACH-000222,-0.6040805346766411
ACH-000223,-0.4339493888665802
ACH-000226,-0.4674655193799007
ACH-000227,-0.3208897713923484
ACH-000228,-0.5250626889236625
ACH-000231,-0.4406592078930345
ACH-000232,-0.4198076565096237
ACH-000233,-0.6395997427430368
ACH-000234,-0.5263222152820848
ACH-000235,-0.4630845773620053
ACH-000237,-0.5855812289139775
ACH-000238,-0.6018761402991237
ACH-000242,-0.4065263548096701
ACH-000243,-0.6594479759703207
ACH-000244,-0.6191569602495395
ACH-000246,-0.6125945157109246
ACH-000248,-0.7919582007439749
ACH-000250,-0.5904691949897933
ACH-000251,-0.4874156271117273
ACH-000252,-0.4834517291972178
ACH-000253,-0.5570862406193409
ACH-000255,-0.6265516272500439
ACH-000256,-0.5587104577973474
ACH-000257,-0.7125745373852715
ACH-000258,-0.5072898053299817
ACH-000259,-0.6576820829871272
ACH-000260,-0.0773711699952954
ACH-000261,-0.4345249545695902
ACH-000262,-0.4593896256132994
ACH-000263,-0.5719616673738265
ACH-000264,-0.44279000640171867
ACH-000265,-0.29548760757817394
ACH-000266,-0.4015849462699821
ACH-000272,-0.6372508879301191
ACH-000274,-0.4631910013320771
ACH-000277,-0.4362954102031931
ACH-000278,-0.7323682107374655
ACH-000279,-0.2477065171314175
ACH-000280,-0.7066313026286289
ACH-000281,-0.6482976648352471
ACH-000288,-0.5967272988599979
ACH-000291,-0.38993782063463694
ACH-000293,-0.5969516849891734
ACH-000294,-0.4232505525224005
ACH-000295,-0.4691863562241796
ACH-000296,-0.5682487770788835
ACH-000302,-0.6557487719195371
ACH-000304,-0.20610499832464485
ACH-000307,-0.5320715456829557
ACH-000308,-0.28642315660503315
ACH-000310,-0.37365505048853337
ACH-000311,-0.8177142006904478
ACH-000312,-0.2681920120573945
ACH-000315,-0.5527632512348182
ACH-000316,-0.6095556611477818
ACH-000317,-0.5071686695400163
ACH-000318,-0.5385455317726796
ACH-000319,-0.6440358129042241
ACH-000320,-0.6048228434400171
ACH-000322,-0.6590678109180974
ACH-000323,-0.3157402452595389
ACH-000324,-0.5907319208545253
ACH-000329,-0.2459357650406658
ACH-000330,-0.7187679189351045
ACH-000331,-0.7995803829308733
ACH-000332,-0.5597833101041068
ACH-000334,-0.4469439658019674
ACH-000335,-0.3539737840016119
ACH-000336,-0.5129404419489858
ACH-000337,-0.3981712278949432
ACH-000338,-0.5561823010501723
ACH-000339,-0.3720399025041746
ACH-000341,-0.1995859583580221
ACH-000348,-0.5365159210039783
ACH-000350,-0.2308072375125666
ACH-000352,-0.7331561677366214
ACH-000356,-0.5723437603518661
ACH-000361,-0.37121282723573207
ACH-000362,-0.6719220221426428
ACH-000363,-0.7743810920123645
ACH-000364,-0.5884773565804725
ACH-000365,-0.6016047524386877
ACH-000366,-0.36256953935444025
ACH-000368,-0.6958632129621712
ACH-000374,-0.5914384363848181
ACH-000375,-0.5600749974622727
ACH-000376,-0.5790640648176391
ACH-000381,-0.4822732512028294
ACH-000383,-0.3722772865535508
ACH-000387,-0.7860203249099875
ACH-000389,-0.7904144289706561
ACH-000390,-0.4719039966688596
ACH-000393,-0.4297695635119784
ACH-000395,-0.6001494459834611
ACH-000396,-0.7559366461087014
ACH-000397,-0.578993107299369
ACH-000401,-0.6579426946127055
ACH-000402,-0.35249590577010737
ACH-000403,-0.3087091271276952
ACH-000404,-0.3480913328889313
ACH-000406,-0.7029449691360556
ACH-000407,-0.4529507081379451
ACH-000408,-0.5596548090864661
ACH-000410,-0.5927417873370316
ACH-000411,-0.7634735882571869
ACH-000414,-0.7059282858223771
ACH-000415,-0.4934358512438792
ACH-000416,-0.682267774257741
ACH-000420,-0.8674293818692008
ACH-000421,-0.4532960543310029
ACH-000424,-0.3288882654175286
ACH-000425,-0.5716602534334163
ACH-000426,-1.2639924397992457
ACH-000427,-0.5911369740793817
ACH-000433,-0.5280785692915129
ACH-000435,-0.5612496997810543
ACH-000436,-0.6965807768962519
ACH-000444,-0.5882767851102425
ACH-000445,-0.5472965524009971
ACH-000448,-0.6364364567919255
ACH-000450,-0.4975709751029869
