,GPBP1L1 (60313)
ACH-000004,-0.10206562453144268
ACH-000005,-0.3855656804504986
ACH-000007,-0.2427897570501721
ACH-000009,-0.1295178639097896
ACH-000011,-0.05621882559323146
ACH-000012,-0.07489569796269177
ACH-000013,-0.08005657318909493
ACH-000014,-0.3646406442717716
ACH-000015,-0.15956879342116548
ACH-000017,-0.2197465254958479
ACH-000018,-0.3263050619078028
ACH-000019,-0.12749183296486818
ACH-000021,-0.09252035196452664
ACH-000022,0.055541091258923724
ACH-000025,-0.2054232598088364
ACH-000028,-0.18609213024232485
ACH-000030,-0.17815932021010875
ACH-000035,-0.04867445822301465
ACH-000036,-0.1589780733059959
ACH-000037,-0.07806968618941901
ACH-000039,-0.10133031144290146
ACH-000040,-0.18284942689851255
ACH-000041,-0.02575622014198457
ACH-000042,-0.042464847144245206
ACH-000045,0.04120691077248342
ACH-000047,-0.3147645260516483
ACH-000052,-0.1128729071070794
ACH-000053,-0.1728098716301855
ACH-000054,-0.17909667251472033
ACH-000055,-0.019416593849623968
ACH-000060,-0.2262599305594244
ACH-000067,-0.28776009612584275
ACH-000070,0.0030475095672772585
ACH-000075,-0.16962057393966587
ACH-000078,-0.02375900045986417
ACH-000082,-0.026792372610251282
ACH-000085,-0.1811593762393353
ACH-000086,-0.2424531053849232
ACH-000087,-0.24038062818944675
ACH-000092,-0.19919767353844636
ACH-000095,-0.12354453533799772
ACH-000097,-0.014823418719802459
ACH-000098,-0.05308662135908013
ACH-000099,-0.11547487483888184
ACH-000108,-0.1242406973201089
ACH-000113,-0.03468519095881288
ACH-000116,0.010407500235701236
ACH-000118,-0.09819168656042178
ACH-000120,-0.1201749007160761
ACH-000123,-0.13137381091963984
ACH-000127,-0.08658954184369634
ACH-000128,-0.14851879616967847
ACH-000132,-0.09864094897423074
ACH-000133,-0.08290872836487402
ACH-000137,0.1713468085717767
ACH-000138,-0.04741745278216089
ACH-000142,-0.1394545078278233
ACH-000143,-0.24973813700511885
ACH-000146,-0.05118239394151025
ACH-000148,-0.058349478827182076
ACH-000150,-0.3397769082615636
ACH-000152,-0.10269788002162157
ACH-000153,-0.2803609727389927
ACH-000159,-0.00985243118134318
ACH-000160,-0.11173972256404303
ACH-000163,-0.10746036351064336
ACH-000167,-0.2409978209917189
ACH-000168,-0.031975133451859324
ACH-000169,-0.16374024190451453
ACH-000178,-0.08999231104825453
ACH-000183,-0.009056684628975518
ACH-000188,-0.09315928350386707
ACH-000189,0.042520383306258215
ACH-000190,-0.011623269052687334
ACH-000198,0.042218574804257086
ACH-000203,-0.2400808368122194
ACH-000204,-0.11241685251419913
ACH-000206,-0.13381908200145706
ACH-000207,0.11861977228591583
ACH-000208,0.16244080262147542
ACH-000210,-0.1404832778146263
ACH-000211,-0.003913326878574393
ACH-000215,0.013606368782429252
ACH-000221,-0.2716879807196574
ACH-000222,0.10679662347180424
ACH-000223,-0.004078767202099549
ACH-000226,-0.10109685925574027
ACH-000227,-0.04106994725782319
ACH-000228,-0.18066108113060544
ACH-000231,-0.0878539890463984
ACH-000232,-0.08770945515732201
ACH-000233,-0.03599830119191565
ACH-000234,0.06024539853374684
ACH-000235,-0.08696426892547103
ACH-000237,-0.15550979067666432
ACH-000238,-0.19401180714710145
ACH-000242,-0.30142431003845904
ACH-000243,-0.2266072274798754
ACH-000244,-0.14641076587749666
ACH-000246,-0.21814697292899152
ACH-000248,-0.07442179084059074
ACH-000250,-0.02156236249551824
ACH-000251,-0.13708387696135013
ACH-000252,-0.18733402307241892
ACH-000253,-0.04328685113779796
ACH-000255,-0.13171392376333302
ACH-000256,-0.2926830628574829
ACH-000257,-0.20110959254497726
ACH-000258,-0.08941749851240355
ACH-000259,0.042641599828452184
ACH-000260,-0.07020593248176905
ACH-000261,-0.07890937232986553
ACH-000262,-0.025974212851049845
ACH-000263,-0.031138129613279338
ACH-000264,-0.014269017627189084
ACH-000265,-0.09952090849770877
ACH-000266,-0.041188912537784166
ACH-000272,-0.12360740756569932
ACH-000274,-0.12418648860176908
ACH-000277,-0.12149047755273855
ACH-000278,0.03760795707019213
ACH-000279,-0.07227394224746418
ACH-000280,-0.20406644965478968
ACH-000281,0.09458401447274777
ACH-000288,-0.14201064056201995
ACH-000291,-0.08794888576677387
ACH-000293,-0.22507889238765755
ACH-000294,-0.07476613017620752
ACH-000295,-0.2812402134157753
ACH-000296,-0.01492173823043147
ACH-000302,-0.10235948094549244
ACH-000304,-0.2337754043936891
ACH-000307,-0.09758352954731406
ACH-000308,0.027394348038263863
ACH-000310,-0.05751521139008198
ACH-000311,-0.10312796127805733
ACH-000312,-0.15993469522189366
ACH-000315,0.002874289591558245
ACH-000316,0.03302403100225169
