,GPIHBP1 (338328)
ACH-000004,-0.02818888622605926
ACH-000005,-0.2599519597163059
ACH-000007,-0.09474524449276672
ACH-000009,-0.003694956993254301
ACH-000011,0.0037872065387897056
ACH-000012,-0.11546145100275393
ACH-000013,-0.0050928734790466074
ACH-000014,-0.16986767176526704
ACH-000015,-0.045853582642658416
ACH-000017,-0.2688421967428409
ACH-000018,-0.03838008355252037
ACH-000019,-0.19000711286798225
ACH-000021,-0.1043503185612594
ACH-000022,-0.12464782712483945
ACH-000025,0.15482199677545613
ACH-000028,-0.11654397473543004
ACH-000030,-0.005968037984601322
ACH-000035,-0.0920162781079677
ACH-000036,-0.13037999035509554
ACH-000037,0.02705273127581524
ACH-000039,-0.0735919262292228
ACH-000040,-0.19468959278553652
ACH-000041,-0.2097120687191193
ACH-000042,-0.30515047576231114
ACH-000045,-0.037296943858741716
ACH-000047,-0.11301704638602025
ACH-000052,0.0998186539470924
ACH-000053,-0.012124386166663658
ACH-000054,-0.12672155947023175
ACH-000055,0.03344618074360313
ACH-000060,-0.20488481448887255
ACH-000067,-0.0974305609710858
ACH-000070,0.050887800558321816
ACH-000075,-0.3783477125138873
ACH-000078,-0.14765947198093468
ACH-000082,-0.06977534941216013
ACH-000085,-0.014868280783426937
ACH-000086,-0.035238044839388784
ACH-000087,-0.12638425662190692
ACH-000092,-0.05930100829792581
ACH-000095,-0.17966932143575207
ACH-000097,-0.1007618209226713
ACH-000098,0.025019425724203757
ACH-000099,-0.17618447049996105
ACH-000108,-0.10420179539233178
ACH-000113,-0.13944501879756024
ACH-000116,-0.038285624057883896
ACH-000118,-0.12401697405612624
ACH-000120,-0.015534255282607575
ACH-000123,-0.012029184411308154
ACH-000127,-0.07235752761400029
ACH-000128,-0.1542970498855085
ACH-000132,0.02228543029321281
ACH-000133,-0.005840517102258188
ACH-000137,-0.11404103033533385
ACH-000138,-0.0282590241389135
ACH-000142,-0.09635485782093248
ACH-000143,-0.02803423623056751
ACH-000146,-0.07385475228890713
ACH-000148,0.04050231280405712
ACH-000150,-0.04034182644113948
ACH-000152,0.013245483038763134
ACH-000153,-0.059932475226651474
ACH-000159,0.009055490083159055
ACH-000160,-0.15813185351416453
ACH-000163,-0.16368030840095352
ACH-000167,0.2691814625804524
ACH-000168,-0.2518227469644599
ACH-000169,-0.0489037396471119
ACH-000178,-0.3135040428917529
ACH-000183,-0.2477297154583327
ACH-000188,-0.09642765495132324
ACH-000189,-0.3204226399439058
ACH-000190,-0.1606196183578341
ACH-000198,-0.2877106610084502
