,CSF3R (1441)
ACH-000004,0.07680466114561098
ACH-000005,-0.4068933784472388
ACH-000007,-0.20278125904400207
ACH-000009,-0.035848321290052915
ACH-000011,-0.22655129042145505
ACH-000012,-0.2075672073505052
ACH-000013,-0.3027376239000877
ACH-000014,0.014005506285052238
ACH-000015,-0.13163580744976133
ACH-000017,-0.0035283645725155783
ACH-000018,-0.02126017660672639
ACH-000019,-0.18786236093478886
ACH-000021,-0.019960406940081648
ACH-000022,-0.05247122880254079
ACH-000025,-0.14320500315720588
ACH-000028,-0.10225907579704796
ACH-000030,-0.13696686783662015
ACH-000035,-0.1494906078964219
ACH-000036,-0.11174904203230687
ACH-000037,-0.1785596538157208
ACH-000039,-0.1306697180355609
ACH-000040,-0.2289077431400214
ACH-000041,-0.21083536575941295
ACH-000042,-0.06582406504820386
ACH-000045,-0.021889260035404173
ACH-000047,-0.1744626567818435
ACH-000052,-0.1443215714772709
ACH-000053,-0.028981286161228543
ACH-000054,-0.05120868028438952
ACH-000055,0.002005381122808498
ACH-000060,-0.2308321098784029
ACH-000067,-0.07489008801543276
ACH-000070,0.07545027048372721
ACH-000075,-0.07330940777685299
ACH-000078,-0.1305414879554189
ACH-000082,-0.21492032056356736
ACH-000085,-0.1829048312400977
ACH-000086,-0.13563518994062682
ACH-000087,-0.3162206686620189
ACH-000092,-0.2940944274486461
ACH-000095,-0.16982975247884854
ACH-000097,-0.16672839308206738
ACH-000098,-0.13890833421957274
ACH-000099,-0.14625641549247262
ACH-000108,-0.19160174759509074
ACH-000113,-0.019833428710636238
ACH-000116,-0.1783660523634594
ACH-000118,-0.1273516018807136
ACH-000120,-0.19557972950779126
ACH-000123,-0.2711868823524108
ACH-000127,-0.13609845373834206
ACH-000128,-0.11502198643966804
ACH-000132,-0.2712097948586293
ACH-000133,-0.16036281466372693
ACH-000137,-0.13696032458429308
ACH-000138,-0.1804279956863436
ACH-000142,-0.094802803990986
ACH-000143,0.01658682483211751
ACH-000146,-0.11102024375965297
ACH-000148,-0.13038402713302655
ACH-000150,-0.21989326399503198
ACH-000152,-0.07718532252394113
ACH-000153,-0.04474440815222496
ACH-000159,-0.08698396206406729
ACH-000160,-0.10675652725424406
ACH-000163,0.13614493052166413
ACH-000167,-0.200390536484374
ACH-000168,0.14645193909975426
ACH-000169,-0.1740543162362954
ACH-000178,-0.028817263836413094
ACH-000183,-0.11325689138205045
ACH-000188,-0.02659362774433989
ACH-000189,-0.14835602244041132
ACH-000190,-0.017642333645274524
ACH-000198,-0.19859491787437056
ACH-000203,-0.3264933476428749
ACH-000204,-0.3987940544263301
ACH-000206,-0.004712711176146825
ACH-000207,0.02328780208356498
ACH-000208,0.06727125801771422
ACH-000210,0.03628085426392273
ACH-000211,-0.047360620848232685
ACH-000215,-0.13764799457210494
ACH-000221,-0.22038853803242944
ACH-000222,-0.005259477010219277
ACH-000223,-0.02862419108853668
ACH-000226,-0.1606046012170949
ACH-000227,-0.2245591796767172
ACH-000228,-0.0898082329970652
ACH-000231,-0.06712388862559138
ACH-000232,-0.08269912104195773
ACH-000233,0.044010000588811576
ACH-000234,-0.08823588383128987
ACH-000235,-0.10532823432825936
ACH-000237,-0.14999056636372224
ACH-000238,-0.07244701707037585
ACH-000242,0.14464583521513075
ACH-000243,-0.0948510207760496
ACH-000244,-0.15383022331518964
ACH-000246,-0.1470510075562792
ACH-000248,-0.09173357415182452
