,HEXIM2 (124790)
ACH-000004,-0.33971260758464905
ACH-000005,-0.3139752981946462
ACH-000007,0.06267887448842371
ACH-000009,-0.1356034046690094
ACH-000011,-0.14272817378268648
ACH-000012,-0.3284054050388696
ACH-000013,-0.2539908707331765
ACH-000014,-0.14438122664084788
ACH-000015,-0.1689806012118968
ACH-000017,-0.11986877824510556
ACH-000018,-0.20174079055892047
ACH-000019,-0.054392758398892634
ACH-000021,-0.056770876631101676
ACH-000022,-0.19971477260110693
ACH-000025,-0.13113497085865675
ACH-000028,-0.16014548594541764
ACH-000030,-0.12157208392952062
ACH-000035,-0.2626574575615674
ACH-000036,-0.1789699494098798
ACH-000037,-0.1979043566003664
ACH-000039,-0.24764872412543276
ACH-000040,-0.1521233097008933
ACH-000041,-0.1855103412612591
ACH-000042,-0.27211716063743624
ACH-000045,-0.18922487302523008
ACH-000047,-0.1910726647560652
ACH-000052,-0.17937836908149918
ACH-000053,-0.13497548701212608
ACH-000054,-0.05203795525674635
ACH-000055,-0.07684776815312731
ACH-000060,-0.22029296391871653
ACH-000067,-0.2475770140285735
ACH-000070,-0.014766100499397413
ACH-000075,0.000646954425577539
ACH-000078,-0.2434112941485436
ACH-000082,-0.16221558522574664
ACH-000085,-0.1744692853508701
ACH-000086,-0.16559272484258145
ACH-000087,-0.08584176859005327
ACH-000092,-0.11712945010680745
ACH-000095,-0.21494279989742404
ACH-000097,-0.10722252018046304
ACH-000098,-0.1808244994364636
ACH-000099,-0.1388637919629339
ACH-000108,-0.022430876456263186
ACH-000113,0.001798181785807414
ACH-000116,-0.19476837602276548
ACH-000118,-0.1957562041089252
ACH-000120,-0.1833421330913064
ACH-000123,-0.3068643811931449
ACH-000127,-0.058355296930291685
ACH-000128,-0.189940269821896
ACH-000132,-0.27367800293283306
ACH-000133,-0.08760984266531084
ACH-000137,-0.15825607635196384
ACH-000138,-0.3569819145847452
ACH-000142,-0.308705468732135
ACH-000143,-0.02704627878011413
ACH-000146,-0.2145411038850499
ACH-000148,-0.2704044927957281
ACH-000150,-0.2027418478304426
ACH-000152,-0.28061489438214626
ACH-000153,-0.2820546105096297
ACH-000159,-0.2812599608878281
ACH-000160,-0.015820319903414117
ACH-000163,-0.12636438459198826
ACH-000167,0.2285322830800974
ACH-000168,0.029490473887922086
ACH-000169,-0.15822468425264835
ACH-000178,-0.09876377985757
ACH-000183,-0.1890862754008916
ACH-000188,-0.1811432870979723
ACH-000189,-0.22451524533603687
ACH-000190,-0.2618368801571616
ACH-000198,-0.2308920757302001
ACH-000203,0.23279238793752005
ACH-000204,-0.2710376903519059
ACH-000206,-0.1386628761819487
