,PGS1 (9489)
ACH-000004,-0.804126447550937
ACH-000005,-0.919846140839846
ACH-000007,-0.9744948785927268
ACH-000009,-0.9301587483765382
ACH-000011,-0.8770117326927652
ACH-000012,-0.7798494693327327
ACH-000013,-0.7530781941830923
ACH-000014,-0.8689976576904731
ACH-000015,-0.9331896813179804
ACH-000017,-0.8717874197707194
ACH-000018,-1.0756414347448102
ACH-000019,-0.7954433700412677
ACH-000021,-0.850545653614019
ACH-000022,-0.9565135936676936
ACH-000025,-0.7356608894077206
ACH-000028,-0.810122172974382
ACH-000030,-0.9645652946510344
ACH-000035,-0.9988108131629392
ACH-000036,-0.7297021747082806
ACH-000037,-1.0093909149697404
ACH-000039,-0.6769839311956964
ACH-000040,-1.080737207725982
ACH-000041,-0.9618246136500348
ACH-000042,-0.8436412099069153
ACH-000045,-0.5482328439456737
ACH-000047,-0.8041650327146143
ACH-000052,-1.117583755649325
ACH-000053,-0.6256567056229855
ACH-000054,-0.5118385166105253
ACH-000055,-0.7683098003260956
ACH-000060,-0.9256964653400874
ACH-000067,-0.7451971593336834
ACH-000070,-0.7248543244086834
ACH-000075,-0.455652037806592
ACH-000078,-0.4361082020783524
ACH-000082,-0.4862868843060752
ACH-000085,-0.7612884992230413
ACH-000086,-0.9675183051649904
ACH-000087,-1.0010224711827096
ACH-000092,-0.7787092950776258
ACH-000095,-0.6199990225100548
ACH-000097,-0.7246152008945427
ACH-000098,-0.902346965805783
ACH-000099,-0.7194195915874521
ACH-000108,-0.7914664655887841
ACH-000113,-0.7825902428842368
ACH-000116,-0.7463560914424742
ACH-000118,-0.8473308987546144
ACH-000120,-0.8288470646437041
ACH-000123,-0.7325288799679073
ACH-000127,-0.8266891942011927
ACH-000128,-0.9250430374941186
ACH-000132,-0.8367003990770809
ACH-000133,-0.9515865657079602
ACH-000137,-0.7565743140493376
ACH-000138,-0.8015103063779687
ACH-000142,-0.7868558136297904
ACH-000143,-0.9610435058261394
ACH-000146,-0.6974480682485535
ACH-000148,-0.9203977605601832
ACH-000150,-0.9710842345478436
ACH-000152,-0.9912336817084084
ACH-000153,-0.7185914097206908
ACH-000159,-0.5553882160166203
ACH-000160,-0.7337553960987382
ACH-000163,-0.9867996406420632
ACH-000167,-0.8154333332477429
ACH-000168,-0.843898296104236
ACH-000169,-1.0505892585429848
ACH-000178,-0.8711175262204532
ACH-000183,-0.8652431375321374
ACH-000188,-0.9174326910475884
ACH-000189,-0.9936891018643916
ACH-000190,-0.9513502427830782
ACH-000198,-0.7458303440743324
ACH-000203,-0.258754904243292
ACH-000204,-0.8986831860543721
ACH-000206,-0.7969357401759856
ACH-000207,-0.8471199081827182
ACH-000208,-1.0331315982306757
