,NXF1 (10482)
ACH-000004,-0.8478121201911287
ACH-000005,-1.2161121551651946
ACH-000007,-0.8923685707683272
ACH-000009,-0.9064270823098936
ACH-000011,-0.8152622446720871
ACH-000012,-0.7083852259977034
ACH-000013,-0.9230622313142464
ACH-000014,-0.8258006971236999
ACH-000015,-0.7750366757506487
ACH-000017,-1.030200591642938
ACH-000018,-0.7210211318754143
ACH-000019,-0.7908852983125121
ACH-000021,-0.8343148049633555
ACH-000022,-0.9867528842376829
ACH-000025,-0.9288127299970492
ACH-000028,-1.0182775566436886
ACH-000030,-0.7530726881920587
ACH-000035,-0.8306615935358949
ACH-000036,-0.940220184542216
ACH-000037,-0.9245646683493832
ACH-000039,-1.1877169106743124
ACH-000040,-0.7828675950245368
ACH-000041,-0.8491028289592557
ACH-000042,-0.930397934016798
ACH-000045,-1.0018658135815028
ACH-000047,-1.0276852016639073
ACH-000052,-1.3382574104164329
ACH-000053,-0.7271484243231444
ACH-000054,-0.6920005667874441
ACH-000055,-1.0306899984788045
ACH-000060,-0.7641248857900954
ACH-000067,-0.6108025327057504
ACH-000070,-0.7495694257711962
ACH-000075,-0.6414922307327309
ACH-000078,-0.7880873355073695
ACH-000082,-0.9301051203324642
ACH-000085,-0.9951430831405136
ACH-000086,-0.6948922021968131
ACH-000087,-1.0275006579402632
ACH-000092,-0.9703673228355318
ACH-000095,-1.0129550631727573
ACH-000097,-0.9168696726817968
ACH-000098,-0.9104657713768006
ACH-000099,-0.9096695910422616
ACH-000108,-0.8042785511748491
ACH-000113,-1.0097924040340736
ACH-000116,-0.8173866875890798
ACH-000118,-0.9183642286832444
ACH-000120,-0.7206357404086265
ACH-000123,-0.9477521892220564
ACH-000127,-0.697810954945119
ACH-000128,-0.8199511621183563
ACH-000132,-0.7529213727631571
ACH-000133,-0.7161145255747232
ACH-000137,-0.8639707383828379
ACH-000138,-0.9735919119567888
ACH-000142,-0.7376137726814592
ACH-000143,-0.7348968662050351
ACH-000146,-1.2111668987131907
ACH-000148,-0.7239899198252892
ACH-000150,-0.8453918888723827
ACH-000152,-0.8707094155238034
ACH-000153,-0.7464682817344437
ACH-000159,-0.7829632782941652
ACH-000160,-0.8552653697784258
ACH-000163,-0.7630460673051135
ACH-000167,-1.4730466316827135
ACH-000168,-0.8714259984131465
ACH-000169,-0.9790058213215841
ACH-000178,-0.8228331382698583
ACH-000183,-0.605891866430721
ACH-000188,-0.914837284766166
ACH-000189,-0.9364740608165038
ACH-000190,-0.9248685457209752
ACH-000198,-1.0050327927383906
ACH-000203,-1.03978818897616
ACH-000204,-0.9136075563288254
ACH-000206,-1.260568321723046
ACH-000207,-1.0932190923784115
ACH-000208,-0.8288832618783346
ACH-000210,-0.6817639878613538
ACH-000211,-0.8764372142630952
ACH-000215,-0.7305060219509767
ACH-000221,-0.957070851867462
ACH-000222,-0.6570982183341483
ACH-000223,-0.8760454998439811
ACH-000226,-0.9956661904413736
ACH-000227,-0.97062701242912
ACH-000228,-0.8621559738813971
ACH-000231,-0.8092171957676304
ACH-000232,-1.0575825874576683
ACH-000233,-1.0806581614699713
ACH-000234,-1.0622582164226366
ACH-000235,-0.8499053785773802
ACH-000237,-0.8138258888741909
ACH-000238,-0.7613208711275796
ACH-000242,-1.33470307041854
ACH-000243,-0.7325903050548518
ACH-000244,-1.056356125606364
ACH-000246,-0.9559833972329428
ACH-000248,-0.8452544592788431
ACH-000250,-0.9187657671530229
ACH-000251,-0.7599416257526364
ACH-000252,-0.8132368261580152
ACH-000253,-0.9505360010067948
ACH-000255,-0.7737275318944549
ACH-000256,-0.884677931858027
ACH-000257,-0.91471203905577
ACH-000258,-1.0277752486736336
ACH-000259,-0.8812942828713921
ACH-000260,-0.9564370063578816
ACH-000261,-0.9677436947971751
ACH-000262,-0.6363926045214298
ACH-000263,-0.5980586337906201
ACH-000264,-0.861329560034765
ACH-000265,-0.8203620325118893
ACH-000266,-0.8666708225626278
ACH-000272,-0.7814023890065149
ACH-000274,-0.9147358905958844
ACH-000277,-0.8037411580098921
ACH-000278,-0.9528572057338882
ACH-000279,-0.7035887530178752
ACH-000280,-0.6548539781532615
ACH-000281,-0.902946538820245
ACH-000288,-0.7487657736319304
ACH-000291,-0.921699206928412
ACH-000293,-0.9767835579272258
ACH-000294,-1.0789472182256843
ACH-000295,-0.8930725631543962
