,HIATL1 (84641)
ACH-000004,-0.030443501908772205
ACH-000005,-0.4368848620952286
ACH-000007,-0.06985602105566249
ACH-000009,-0.1818536089802452
ACH-000011,-0.3090175762396902
ACH-000012,-0.20093295965605412
ACH-000013,-0.19536563018566472
ACH-000014,-0.07663305486502321
ACH-000015,-0.17876283909771248
ACH-000017,-0.1548755150354542
ACH-000018,-0.4301936056920445
ACH-000019,-0.08833092070476664
ACH-000021,-0.20762546913139845
ACH-000022,-0.17165105463556532
ACH-000025,-0.07343127659240663
ACH-000028,0.027978597332707838
ACH-000030,-0.11076767374147707
ACH-000035,-0.07542293084197314
ACH-000036,-0.056694298071788274
ACH-000037,-0.2154740017559572
ACH-000039,-0.02114426788004492
ACH-000040,-0.376005573556804
ACH-000041,-0.03775504189568698
ACH-000042,-0.0801963236425072
ACH-000045,-0.1621878678670445
ACH-000047,-0.14853365147844516
ACH-000052,-0.3456302875030068
ACH-000053,-0.11176500397037273
ACH-000054,-0.2458599630546423
ACH-000055,-0.2766651291730661
ACH-000060,0.03557776272153315
ACH-000067,-0.11517465448895332
ACH-000070,-0.1556522667552368
ACH-000075,-0.08605446271717852
ACH-000078,-0.02349925941325886
ACH-000082,-0.12247150827772152
ACH-000085,-0.06518723825346362
ACH-000086,-0.10804109125008346
ACH-000087,-0.14240034057323456
ACH-000092,-0.1194535591352913
ACH-000095,-0.27856656752594483
ACH-000097,-0.20910752756236592
ACH-000098,0.07109620481556875
ACH-000099,-0.1872923925052937
ACH-000108,-0.31220438298329745
ACH-000113,-0.2891468171143305
ACH-000116,-0.033430552440847465
ACH-000118,-0.1801131281552175
ACH-000120,-0.24996123205008264
ACH-000123,-0.047428114262824346
ACH-000127,-0.11373283547778874
ACH-000128,-0.200366053083164
ACH-000132,-0.2323553260486423
ACH-000133,-0.17976334376007025
ACH-000137,-0.22394955012346304
ACH-000138,-0.17413847855033873
ACH-000142,-0.10386442155918754
ACH-000143,-0.2337696621758776
ACH-000146,-0.15123482028008586
ACH-000148,-0.26781755990884504
ACH-000150,0.07847098823573513
ACH-000152,-0.27191351685623155
ACH-000153,0.004477260623730424
ACH-000159,-0.06989720751302136
ACH-000160,-0.1136186136103288
ACH-000163,-0.12584927226421788
ACH-000167,-0.3343287932859955
ACH-000168,-0.08118481756956608
ACH-000169,-0.2712645375321033
ACH-000178,-0.1237677053774843
ACH-000183,-0.262213900798322
ACH-000188,-0.07242990513937338
ACH-000189,0.054518860926437575
ACH-000190,-0.2250654113122552
ACH-000198,-0.10530741419959166
ACH-000203,-0.22427993937957447
ACH-000204,-0.06478735058438177
ACH-000206,0.06224809499948712
ACH-000207,-0.06495467126581661
ACH-000208,-0.4692215570353138
ACH-000210,-0.09737859412315593
ACH-000211,-0.05616777144925768
ACH-000215,-0.2530491167180117
ACH-000221,-0.21509029702784105
ACH-000222,-0.07172698789384202
ACH-000223,-0.16493880294778399
ACH-000226,-0.2617305940206595
ACH-000227,-0.099448964044489
ACH-000228,-0.2587823732210169
ACH-000231,-0.0806167557440944
ACH-000232,-0.17418669165346612
ACH-000233,-0.10656400869466544
ACH-000234,-0.08368810804127859
ACH-000235,-0.13461968688460035
ACH-000237,-0.195344505103774
ACH-000238,-0.252764522460377
ACH-000242,-0.2682696266902854
ACH-000243,-0.07537947901170099
ACH-000244,-0.05619785266610404
ACH-000246,-0.1355930158075245
ACH-000248,-0.048474979101901065
ACH-000250,-0.11954064886577248
ACH-000251,0.1303633810221521
ACH-000252,-0.05112578964960171
ACH-000253,-0.1847324794880164
ACH-000255,-0.09562652522432268
ACH-000256,-0.03586039029230473
ACH-000257,-0.12695952533200536
ACH-000258,-0.027519677058785642
ACH-000259,-0.09197637505673474
ACH-000260,-0.2077748023143007
ACH-000261,-0.17821582887051649
ACH-000262,-0.16418962263399184
ACH-000263,-0.1271563720580215
ACH-000264,-0.17064120609052885
ACH-000265,-0.18580998284898675
ACH-000266,-0.14376805872612444
ACH-000272,-0.14929869952730404
ACH-000274,-0.18489597948526115
ACH-000277,-0.07696268812380745
ACH-000278,-0.11986662433029087
ACH-000279,-0.011674109643854862
ACH-000280,-0.18641359606547306
ACH-000281,-0.2203953133732576
ACH-000288,-0.0588154949647579
ACH-000291,-0.2661629393191092
ACH-000293,-0.1781665431253387
ACH-000294,-0.013252161966137205
ACH-000295,0.13913900368591822
ACH-000296,-0.31540636942883843
ACH-000302,-0.21395865097450165
ACH-000304,-0.30454087736495283
ACH-000307,-0.07930152732620918
ACH-000308,-0.13995410479803236
ACH-000310,-0.1245800560950907
ACH-000311,-0.13907939485732848
ACH-000312,-0.1001398527553477
ACH-000315,0.13580761298288507
ACH-000316,-0.07253213248096703
ACH-000317,-0.1835277259948216
ACH-000318,-0.1919542251965728
ACH-000319,-0.007426711194973102
ACH-000320,-0.0919723192767566
ACH-000322,-0.08119767225590935
ACH-000323,-0.1681623489576886
ACH-000324,-0.3696467481798264
ACH-000329,-0.17874893553388588
ACH-000330,-0.017632537937702062
ACH-000331,-0.10764554467202887
ACH-000332,-0.08007955513011493
ACH-000334,-0.10981935758107148
ACH-000335,-0.3033040005462961
ACH-000336,0.11801241088136308
ACH-000337,-0.11090975938618132
ACH-000338,-0.11598790312616206
ACH-000339,-0.1548858336752649
ACH-000341,-0.18349054577722426
ACH-000348,-0.0255600375064174
ACH-000350,-0.05082588696628408
ACH-000352,-0.011512579789047168
ACH-000356,-0.3413955043029657
ACH-000361,-0.4526742705168925
ACH-000362,-0.056500459938762376
ACH-000363,-0.35595747088376184
ACH-000364,-0.15154854103836166
ACH-000365,-0.1947143515757031
ACH-000366,-0.2055340927762131
ACH-000368,-0.20340837752102506
ACH-000374,-0.23737399393190214
ACH-000375,-0.031915344441008166
ACH-000376,-0.1237770028335415
ACH-000381,-0.22952326784851398
ACH-000383,-0.13719410793453016
ACH-000387,-0.16870986737597665
ACH-000389,-0.19694246715810335
ACH-000390,-0.20716162422238507
ACH-000393,-0.1889408109623144
ACH-000395,-0.3953912621956608
ACH-000396,-0.03244369509346532
ACH-000397,-0.14548449973714492
ACH-000401,0.036334303573044256
ACH-000402,0.16251289830092636
ACH-000403,-0.14365203851146013
ACH-000404,-0.3951709822229503
ACH-000406,-0.09039840947640754
ACH-000407,-0.22312519497543296
ACH-000408,-0.1073562765362108
ACH-000410,-0.08756367063491373
ACH-000411,-0.09388355217612114
ACH-000414,-0.14985257279073164
ACH-000415,-0.025789624284934327
ACH-000416,-0.01878224621458737
ACH-000420,-0.08801359840467718
ACH-000421,-0.2066003022307765
ACH-000424,-0.3309315056014564
ACH-000425,-0.1321288785142047
ACH-000426,-0.025349555013644443
ACH-000427,0.016143236211796384
ACH-000433,-0.07788937864461573
ACH-000435,-0.12278838067773327
ACH-000436,-0.3616524309382647
ACH-000444,-0.265748229945332
ACH-000445,-0.2446042953715305
ACH-000448,0.04376971899027916
ACH-000450,-0.20250066210448686
ACH-000452,-0.21360559376343533
ACH-000454,-0.2957228300947062
ACH-000458,-0.281075579404906
ACH-000459,-0.15577587714308533
ACH-000460,-0.1636976033104878
ACH-000461,-0.036248895290235235
ACH-000463,-0.21875713460330665
ACH-000464,-0.07958521645989426
ACH-000466,-0.23585865983188944
ACH-000467,-0.13754135090802724
ACH-000468,-0.1813176397931045
ACH-000469,-0.1093623318414217
ACH-000470,-0.22863675733721944
ACH-000471,-0.1512140405397789
ACH-000472,-0.12343381502046975
ACH-000473,-0.1994734099985341
ACH-000475,-0.1272509372822856
ACH-000476,-0.019269470162964316
ACH-000477,-0.4681489157931381
ACH-000479,-0.31717859861880604
ACH-000480,-0.18496825705319453
ACH-000481,-0.2046022065427404
ACH-000483,-0.0971063744206338
ACH-000484,-0.1152313881556936
ACH-000485,-0.21696979236766603
ACH-000486,-0.034247924367953465
ACH-000487,-0.14469844456933253
ACH-000488,-0.19569112000282296
ACH-000490,-0.1310719664418764
ACH-000491,-0.18377462947463988
ACH-000495,-0.2816481525106486
ACH-000496,-0.1989933269066864
ACH-000499,0.052877113450770834
ACH-000500,-0.036300506090350335
ACH-000502,-0.16270291422916375
ACH-000503,-0.3181482937672208
ACH-000505,-0.15298568227424394
ACH-000507,-0.1913592794101294
