,RUNDC3A (10900)
ACH-000004,0.0376346235628176
ACH-000005,-0.1292472695992927
ACH-000007,0.09257166495133497
ACH-000009,-0.02019755318782892
ACH-000011,0.16397244141782769
ACH-000012,-0.14231530532304068
ACH-000013,-0.015630956959151496
ACH-000014,0.036424000645263965
ACH-000015,0.005379138420216872
ACH-000017,-0.2710840935679326
ACH-000018,0.13586939162886752
ACH-000019,0.10489300144918216
ACH-000021,0.09920016311673298
ACH-000022,0.05384263878285954
ACH-000025,-0.006812905965742594
ACH-000028,-0.007289068269588883
ACH-000030,-0.019180966967044858
ACH-000035,-0.11664631555130785
ACH-000036,0.19111362109046406
ACH-000037,0.12571495271769942
ACH-000039,-0.2669034581290427
ACH-000040,0.056930493373578576
ACH-000041,-0.037298514812518765
ACH-000042,0.006505467755429695
ACH-000045,-0.05711156111631275
ACH-000047,0.1489521142171293
ACH-000052,0.10156622104790428
ACH-000053,0.018693114810810287
ACH-000054,0.10267931140037964
ACH-000055,-0.12910042089927665
ACH-000060,0.11377129761021808
ACH-000067,0.1189883340915288
ACH-000070,-0.11430446678632175
ACH-000075,0.05027935273086218
ACH-000078,-0.007322035681958738
ACH-000082,-0.09978153274144742
ACH-000085,0.14543938357236955
ACH-000086,0.02099083795247577
ACH-000087,0.20539315517964413
ACH-000092,0.06936876072533275
ACH-000095,-0.037739915290488237
ACH-000097,0.0557057210228068
ACH-000098,-0.09874531216582758
ACH-000099,-0.02289652768180987
ACH-000108,0.10453151927656744
ACH-000113,0.019452718679408683
ACH-000116,-0.06233785946757873
ACH-000118,0.13660434967788287
ACH-000120,-0.052929254120221536
ACH-000123,0.09990201039438687
ACH-000127,0.0010490319084606333
ACH-000128,0.01249827053236098
ACH-000132,-0.04762310046372661
ACH-000133,-0.027370707359550512
ACH-000137,0.13761232549216734
ACH-000138,-0.10445308961346028
ACH-000142,0.029154718246895483
ACH-000143,0.10448684261183534
ACH-000146,-0.013482430911485724
ACH-000148,-0.02385256583748188
ACH-000150,0.0486196937542696
