,PTCH2 (8643)
ACH-000004,-0.1489505614474192
ACH-000005,-0.09053867603816752
ACH-000007,-0.29716303898732205
ACH-000009,-0.21532467481725232
ACH-000011,-0.118601718756287
ACH-000012,-0.291404851590201
ACH-000013,-0.2647219962632093
ACH-000014,-0.23280359368784725
ACH-000015,-0.3200371771341987
ACH-000017,-0.1980591187234716
ACH-000018,-0.21651742751201888
ACH-000019,0.04539626405132218
ACH-000021,-0.22268065802464035
ACH-000022,-0.15321886768839732
ACH-000025,-0.26719185418456354
ACH-000028,-0.20486341080142534
ACH-000030,-0.21722375486892712
ACH-000035,-0.3353551325065293
ACH-000036,-0.3729325433195214
ACH-000037,-0.20480221035125584
ACH-000039,-0.18714321645209675
ACH-000040,-0.3046775510610871
ACH-000041,-0.10332450697570283
ACH-000042,-0.1400797235882424
ACH-000045,-0.2277982630237325
ACH-000047,-0.16534865646007155
ACH-000052,-0.2572486532719557
ACH-000053,-0.22967000267669715
ACH-000054,-0.11391420571074012
ACH-000055,-0.3644915451969066
ACH-000060,-0.2668040047633357
ACH-000067,-0.28486879287474515
ACH-000070,-0.272518132675786
ACH-000075,-0.14347005293062914
ACH-000078,-0.18230877969801612
ACH-000082,-0.2455008872296976
ACH-000085,-0.1251812054351987
ACH-000086,-0.3026018519256289
ACH-000087,-0.09651168746677903
ACH-000092,-0.3733564931214711
ACH-000095,-0.13920826504581635
ACH-000097,-0.1065479548973024
ACH-000098,-0.30596391972372083
ACH-000099,-0.0744397120506367
ACH-000108,-0.2964706143922825
ACH-000113,-0.1763341164459556
ACH-000116,-0.18977787077615946
ACH-000118,-0.20805496304993587
ACH-000120,-0.11552802821772885
ACH-000123,-0.25833552293574624
ACH-000127,-0.11694997674592254
ACH-000128,-0.2668184897603557
ACH-000132,-0.3692539219251043
ACH-000133,-0.21383034571229864
ACH-000137,-0.21363495436529625
ACH-000138,-0.1705197726716388
ACH-000142,-0.3458042639584841
ACH-000143,-0.2205908258067272
ACH-000146,-0.17359387653076816
ACH-000148,-0.2484134950418593
ACH-000150,-0.3853452586312157
ACH-000152,-0.26950253875342395
ACH-000153,-0.07228734823060035
ACH-000159,-0.17376497484371445
ACH-000160,-0.12437524748792747
ACH-000163,-0.16444919504383054
ACH-000167,-0.4315160970122897
ACH-000168,-0.19307808013628736
ACH-000169,-0.22629089645463346
ACH-000178,-0.15137396341834364
ACH-000183,-0.37134136327218986
ACH-000188,-0.3852687438205132
ACH-000189,-0.2711263427048016
ACH-000190,-0.3673659204679337
ACH-000198,-0.2246300945828138
ACH-000203,0.1877297290721455
