,ARNTL (406)
ACH-000004,-0.17677288529893878
ACH-000005,-0.1532689109959693
ACH-000007,0.11627925089087145
ACH-000009,-0.13008413249841022
ACH-000011,-0.2418677173231033
ACH-000012,-0.1823184817352761
ACH-000013,-0.24936798505714305
ACH-000014,-0.15073152579700913
ACH-000015,-0.08435518586443327
ACH-000017,-0.009288254503422813
ACH-000018,-0.18154821899495094
ACH-000019,-0.2378438865358403
ACH-000021,-0.16767325301082595
ACH-000022,-0.022470884844015788
ACH-000025,-0.09958122954527776
ACH-000028,-0.03916044665801016
ACH-000030,-0.1538946483635371
ACH-000035,-0.13967730427515446
ACH-000036,0.00357711289145508
ACH-000037,-0.15989051866328696
ACH-000039,0.0034214955863773365
ACH-000040,-0.19315353443453884
ACH-000041,-0.17161274769077592
ACH-000042,-0.1752305608679891
ACH-000045,-0.17814651384478855
ACH-000047,-0.0890845773002662
ACH-000052,-0.04706637871083205
ACH-000053,0.09155378617482787
ACH-000054,-0.05074134616336448
ACH-000055,-0.12878869018607436
ACH-000060,-0.2617498291917524
ACH-000067,-0.008033687953180544
ACH-000070,-0.16711278994543993
ACH-000075,-0.03346148175298466
ACH-000078,-0.19579142489298412
ACH-000082,0.02147617406194511
ACH-000085,-0.2072609586447802
ACH-000086,-0.3052381260758376
ACH-000087,0.20886549352920472
ACH-000092,-0.07176311327645875
ACH-000095,-0.09157919894455277
ACH-000097,-0.03748180142089571
ACH-000098,-0.1119620757465352
ACH-000099,-0.12173326236403036
ACH-000108,-0.12953447820564631
ACH-000113,-0.12865918621598618
ACH-000116,-0.06729454725405484
ACH-000118,-0.08451640338954321
ACH-000120,-0.10877176965012167
ACH-000123,-0.07233190962506059
ACH-000127,-0.08702108731010748
ACH-000128,-0.23513847245733
ACH-000132,-0.11650472326553547
ACH-000133,-0.20265567229635395
ACH-000137,-0.06485524626380931
ACH-000138,-0.11617747431916785
ACH-000142,-0.14938235481115106
ACH-000143,-0.252695039423576
ACH-000146,-0.016493246027420354
ACH-000148,-0.05916103717096784
ACH-000150,-0.15422081679329053
ACH-000152,-0.11414172387528088
ACH-000153,-0.04083561623651101
ACH-000159,-0.1619810008935903
ACH-000160,-0.04192039827654289
ACH-000163,-0.04463220083065565
ACH-000167,0.6085867632665215
ACH-000168,-0.15993211184666167
ACH-000169,-0.013555373317237234
ACH-000178,-0.0771418597810213
ACH-000183,-0.08024928426472648
ACH-000188,-0.15499763084020735
ACH-000189,-0.2864890739997439
ACH-000190,-0.06895668235523936
