,KCTD21 (283219)
ACH-000004,-0.4757508937509217
ACH-000005,-0.5877972399667434
ACH-000007,-0.10244681325957472
ACH-000009,-0.3342923293605925
ACH-000011,-0.02235540076588191
ACH-000012,-0.2366331808721311
ACH-000013,-0.17173743210258774
ACH-000014,-0.1046666794540042
ACH-000015,-0.2250392369443092
ACH-000017,-0.13502008358015458
ACH-000018,-0.2857110106454125
ACH-000019,-0.22349696740633365
ACH-000021,-0.2432609007260531
ACH-000022,-0.10035047080453004
ACH-000025,-0.1570963961781102
ACH-000028,-0.13191581153463228
ACH-000030,-0.2501363341568941
ACH-000035,-0.1333964619926595
ACH-000036,-0.01963303850469022
ACH-000037,-0.29769580496637393
ACH-000039,-0.07700798615663619
ACH-000040,-0.09020625416644934
ACH-000041,-0.2063826239133812
ACH-000042,-0.18008879299285507
ACH-000045,-0.1918367201151649
ACH-000047,-0.12580886430298227
ACH-000052,-0.1417644539593144
ACH-000053,-0.2467919748983156
ACH-000054,-0.1831268526942083
ACH-000055,-0.272210032564684
ACH-000060,-0.14475354424226794
ACH-000067,-0.0942979727337638
ACH-000070,-0.11283319317094699
ACH-000075,-0.18543476831110492
ACH-000078,-0.2924754857346937
ACH-000082,-0.17343755991584414
ACH-000085,-0.4168048217519308
ACH-000086,-0.3396743571788153
ACH-000087,-0.3249511377984943
ACH-000092,-0.0989915663735172
ACH-000095,-0.19519897322372315
ACH-000097,-0.23974160395807514
ACH-000098,0.013626679833189456
ACH-000099,-0.22711606480122176
ACH-000108,-0.34063932487233745
ACH-000113,-0.23366628970896194
ACH-000116,-0.2487678686431171
ACH-000118,-0.210118733321272
ACH-000120,-0.2258883323804921
ACH-000123,-0.13404528331206944
ACH-000127,-0.16456939830805764
ACH-000128,-0.14003258717490402
ACH-000132,-0.10750766933043138
ACH-000133,-0.2059270682900276
ACH-000137,-0.1020879795167728
ACH-000138,-0.26917371851195543
ACH-000142,-0.2424379366183224
ACH-000143,-0.21875445873945776
ACH-000146,-0.11902882260934836
ACH-000148,-0.07491816594758274
ACH-000150,-0.174642477992663
ACH-000152,-0.13828920106259687
ACH-000153,-0.5003053544331211
ACH-000159,-0.13763048116969545
ACH-000160,-0.1226304164527855
ACH-000163,-0.18076049232600164
ACH-000167,-0.00855614465203792
ACH-000168,-0.17053951902217768
ACH-000169,-0.16769154371392184
ACH-000178,-0.0936462196572158
ACH-000183,-0.24102320590747145
ACH-000188,-0.18791628190189733
ACH-000189,-0.16755790746423427
ACH-000190,-0.3231780264458585
ACH-000198,-0.3021133365867521
ACH-000203,-0.42841043212599933
ACH-000204,-0.18666731087151164
ACH-000206,-0.3272474113570692
ACH-000207,-0.2435804427523572
ACH-000208,-0.16124338972502586
ACH-000210,-0.16297354646007434
ACH-000211,-0.14826723243932807
ACH-000215,-0.13431405613230155
ACH-000221,-0.2725049029232877
ACH-000222,-0.033670878118389674
ACH-000223,-0.1970101582586746
ACH-000226,-0.07233835834597993
ACH-000227,-0.23423913808902075
ACH-000228,-0.3726257291465721
ACH-000231,-0.11993279583325828
ACH-000232,-0.18989958000700116
ACH-000233,-0.2121473160938855
ACH-000234,-0.1259726201391083
ACH-000235,-0.2064300542674636
ACH-000237,-0.3054991819003259
ACH-000238,-0.2135087723816116
ACH-000242,-0.41980349325613214
ACH-000243,-0.11792400216165295
ACH-000244,-0.2935381321836099
ACH-000246,-0.14748814131106894
ACH-000248,-0.273928431077932
ACH-000250,-0.15519262742617712
ACH-000251,0.08770007348802894
ACH-000252,-0.2463800189295053
ACH-000253,-0.2275495602740081
ACH-000255,0.003314278893096539
ACH-000256,-0.4171710171750765
ACH-000257,-0.22421625293009612
ACH-000258,0.07732656069268433
ACH-000259,-0.17073622879336878
ACH-000260,-0.1344640808423249
ACH-000261,-0.1923842603554866
ACH-000262,-0.15814666514001285
ACH-000263,-0.17681631288163815
ACH-000264,-0.20312724465586712
ACH-000265,-0.14986453386979073
ACH-000266,-0.1789319141765885
ACH-000272,-0.07697113128225
ACH-000274,-0.3939651328144759
ACH-000277,-0.16546287808978974
ACH-000278,-0.3335309291643101
ACH-000279,-0.2988287454510409
ACH-000280,-0.10450068422256084
ACH-000281,-0.21995178337098414
ACH-000288,-0.21437217289510527
ACH-000291,-0.1276571847152476
ACH-000293,-0.1877963947327269
ACH-000294,-0.2501077596095868
ACH-000295,-0.11043754801699618
ACH-000296,0.02363742962039852
ACH-000302,-0.1563569208858669
ACH-000304,-0.062263485466198976
ACH-000307,-0.17679028598417812
ACH-000308,-0.3536719929205311
ACH-000310,-0.2598848762331224
ACH-000311,-0.13020167387792692
ACH-000312,-0.2986754600711124
ACH-000315,-0.1971044584057713
ACH-000316,-0.2287008072707494
ACH-000317,-0.12754303516065615
ACH-000318,-0.2067961006937492
ACH-000319,-0.07193539613735024
ACH-000320,-0.07184903240317489
ACH-000322,-0.15037048235449538
ACH-000323,-0.26405521649100017
ACH-000324,-0.13158873619112366
ACH-000329,-0.0857565788119291
ACH-000330,-0.2502898970417479
ACH-000331,-0.08141185818313289
ACH-000332,-0.24587119633254534
ACH-000334,-0.3531288302213311
ACH-000335,0.0891718198150119
ACH-000336,-0.17068090389014576
ACH-000337,-0.3314041357420358
ACH-000338,-0.4748394963274729
ACH-000339,-0.10494526590532993
ACH-000341,-0.1161836786597041
ACH-000348,-0.14519497655792782
ACH-000350,-0.2259063565023839
ACH-000352,-0.15403305716178148
ACH-000356,-0.10805213650167232
ACH-000361,-0.1747225802066963
ACH-000362,-0.13457685283914972
ACH-000363,-0.24805576941812205
ACH-000364,-0.203552906010506
ACH-000365,-0.20763221995749004
ACH-000366,-0.4223191110728609
ACH-000368,-0.09078336388448227
ACH-000374,-0.3618930435259752
ACH-000375,-0.2020921827637291
ACH-000376,-0.10022564379805524
ACH-000381,-0.257223144890709
ACH-000383,-0.28851577754001223
ACH-000387,-0.13513451564562556
ACH-000389,-0.18148441815798871
ACH-000390,-0.1737279320483094
ACH-000393,-0.2647109405570506
ACH-000395,-0.4384259757413286
ACH-000396,-0.09328972069672332
ACH-000397,-0.053184412368846135
ACH-000401,-0.12380527053235545
ACH-000402,-0.002241530317400193
ACH-000403,-0.21472409257763053
ACH-000404,0.01051238508760085
ACH-000406,-0.18873785199947327
ACH-000407,-0.24307717686862895
ACH-000408,-0.09820348207339888
ACH-000410,-0.17133614182743695
ACH-000411,-0.028171358148037888
ACH-000414,-0.1767778165559634
ACH-000415,-0.1616419217274554
ACH-000416,-0.07412848843685305
ACH-000420,-0.2950419706667321
ACH-000421,-0.20378735135828796
ACH-000424,-0.06427132977712544
ACH-000425,-0.14623638614976692
ACH-000426,-0.17669406956865802
ACH-000427,-0.20185931831261086
ACH-000433,-0.2354037448800605
ACH-000435,-0.011807471035561377
ACH-000436,-0.27166356055068497
ACH-000444,-0.22159598409736275
ACH-000445,-0.21067739445147607
ACH-000448,-0.2280825080702648
ACH-000450,-0.20181452887275625
ACH-000452,-0.1264399975251691
ACH-000454,-0.033699049340316777
ACH-000458,-0.01578021968237285
ACH-000459,-0.13616084463372796
ACH-000460,-0.2695425587338021
ACH-000461,-0.10937607148271376
ACH-000463,-0.09629299345073247
ACH-000464,-0.16864219814388615
ACH-000466,-0.35240510846038114
ACH-000467,-0.1065388892990414
ACH-000468,-0.2504088013523233
ACH-000469,-0.21743261819212512
ACH-000470,-0.1380276246722756
ACH-000471,-0.1861056689882512
ACH-000472,-0.242487701056082
ACH-000473,-0.16446607158271412
ACH-000475,-0.14962935477815267
ACH-000476,-0.2769772451800294
ACH-000477,-0.2488235440427646
ACH-000479,-0.30497508768266435
ACH-000480,-0.07495342750087379
ACH-000481,-0.12451325233480676
ACH-000483,-0.09275845438547503
ACH-000484,-0.3283823089128884
ACH-000485,-0.20154878322560124
ACH-000486,-0.16173856860960098
ACH-000487,-0.4680830834657945
ACH-000488,-0.1634534300884393
ACH-000490,-0.12725958253176586
ACH-000491,-0.11684632762303625
ACH-000495,-0.13306305693149525
ACH-000496,-0.1394397185209446
ACH-000499,-0.1633357972675737
ACH-000500,0.1240874070108296
ACH-000502,-0.2356364845839207
ACH-000503,-0.11814203610425535
ACH-000505,-0.2018976953513573
ACH-000507,-0.24481830103762836
ACH-000510,-0.10627924743443998
ACH-000511,-0.14823923189527816
ACH-000512,-0.3548189000705844
ACH-000516,-0.13081245384669155
ACH-000517,-0.1371062220554391
ACH-000518,-0.12673595290938106
ACH-000520,-0.00665838511943773
ACH-000521,-0.0990087155269762
ACH-000522,-0.14932280002322476
ACH-000524,-0.20463661547881132
ACH-000527,-0.1095676321879442
ACH-000528,-0.12128420057169575
ACH-000537,-0.26132693865692885
ACH-000541,-0.1268796953098366
ACH-000542,-0.1263004537986856
ACH-000544,-0.16948717440593974
ACH-000545,-0.24062377470768695
ACH-000547,-0.06943487919631101
ACH-000548,-0.3863585701151199
ACH-000549,-0.12835836069722373
ACH-000550,-0.1687304648045578
ACH-000552,-0.17469179874168664
ACH-000556,-0.11463789396833947
ACH-000557,-0.21771233710702148
ACH-000569,-0.2956216053215365
ACH-000570,-0.2521874284831341
ACH-000571,-0.2670633350510739
ACH-000573,-0.14277988266001507
ACH-000576,-0.30686936554906946
ACH-000579,-0.3040866692813437
ACH-000580,-0.19450200170703447
ACH-000584,-0.14429992823883944
ACH-000585,-0.3142511731238875
ACH-000588,-0.09049915270513864
ACH-000589,-0.1328092236746422
ACH-000591,-0.18073304716552266
ACH-000593,-0.21853894204006594
ACH-000600,-0.04700908891515893
ACH-000601,-0.24889673052954725
ACH-000605,-0.16430304491182002
ACH-000606,-0.047058312408072935
ACH-000608,-0.23729327181055265
ACH-000614,-0.2958203258143143
ACH-000616,0.006853737458185368
ACH-000618,-0.10629822057348254
ACH-000619,-0.09599601070939832
ACH-000620,-0.09156175478097303
ACH-000621,-0.12299878380034054
ACH-000622,-0.227034952948541
ACH-000623,-0.28019600001279465
ACH-000624,-0.1402166432902982
ACH-000627,-0.2383091717011789
ACH-000630,-0.20602499664192067
ACH-000631,-0.21176286994865168
