,GNPTG (84572)
ACH-000004,-0.1672037815722456
ACH-000005,-0.26445830249417546
ACH-000007,0.11507828532089907
ACH-000009,0.0251627116514209
ACH-000011,-0.01871956649406756
ACH-000012,-0.058892575277318414
ACH-000013,-0.025015437685529177
ACH-000014,-0.00455726100459954
ACH-000015,-0.10936215191818936
ACH-000017,0.00628207702603023
ACH-000018,0.03221175740964797
ACH-000019,-0.06763001902460225
ACH-000021,0.02463728986285751
ACH-000022,-0.08271496312779265
ACH-000025,-0.12771016633558135
ACH-000028,-0.10497822893246916
ACH-000030,0.029387853314617962
ACH-000035,-0.03821164170800612
ACH-000036,0.008719939909159796
ACH-000037,-0.011263066193811812
ACH-000039,0.0081664691149908
ACH-000040,0.0770548914737486
ACH-000041,0.05600682373673646
ACH-000042,0.0009385477177051825
ACH-000045,-0.02719146398727448
ACH-000047,-0.06082882325707691
ACH-000052,-0.016850132741856705
ACH-000053,-0.05790504199440576
ACH-000054,-0.08188516621431532
ACH-000055,-0.012051110524419545
ACH-000060,0.011422019981602369
ACH-000067,-0.01132384541796442
ACH-000070,-0.21151280679579548
ACH-000075,0.11490764602406105
ACH-000078,-0.119022297069198
ACH-000082,-0.02187281290076196
ACH-000085,0.13295915156909796
ACH-000086,-0.023753751548348752
ACH-000087,-0.0508747356935653
ACH-000092,-0.02038425088913668
ACH-000095,0.07302120938639316
ACH-000097,0.044646934536364105
ACH-000098,0.12467239904611495
ACH-000099,-0.009365138627002455
ACH-000108,-0.09806489455498676
ACH-000113,0.09953499700804602
ACH-000116,-0.05241118892348423
ACH-000118,-0.14478650286808442
ACH-000120,0.008042225117562809
ACH-000123,-0.15823259609643478
ACH-000127,0.008598062112533266
ACH-000128,0.014578533321753162
ACH-000132,-0.01213683547057118
ACH-000133,-0.14279359542201084
ACH-000137,0.02754026878577335
ACH-000138,0.048024947176804465
ACH-000142,-0.10732782376602984
ACH-000143,-0.016439672929368758
ACH-000146,0.09873797716765416
ACH-000148,-0.09885251511033732
ACH-000150,0.15644845179078046
ACH-000152,-0.01637382750483055
ACH-000153,-0.07838943551940275
ACH-000159,-0.061553789926765926
ACH-000160,-0.006050420167755536
ACH-000163,0.12783350203617644
ACH-000167,0.26146218190534576
ACH-000168,-0.21110811093314505
ACH-000169,-0.03618765322184221
ACH-000178,-0.04634684818864713
ACH-000183,-0.13414279913091887
