,AKAP8L (26993)
ACH-000004,-0.21883541405050955
ACH-000005,-0.1005102521710659
ACH-000007,-0.056421200247447775
ACH-000009,0.007843759478971991
ACH-000011,-0.045395976572786455
ACH-000012,-0.0060394648851334175
ACH-000013,-0.09837195908117273
ACH-000014,-0.02854342375149055
ACH-000015,-0.2685711009817119
ACH-000017,-0.07692846210752888
ACH-000018,-0.2945251043783523
ACH-000019,-0.16449884625085442
ACH-000021,-0.08673472429753662
ACH-000022,-0.10186163969170656
ACH-000025,-0.10496611733773488
ACH-000028,-0.034711634537319264
ACH-000030,-0.05242232769676421
ACH-000035,-0.10751430570759067
ACH-000036,0.08060227242347559
ACH-000037,-0.10459841577893396
ACH-000039,0.17152082043109942
ACH-000040,-0.13554836423681946
ACH-000041,-0.2319658306670061
ACH-000042,-0.2450474264610287
ACH-000045,-0.17895234945455396
ACH-000047,-0.07652957963639387
ACH-000052,-0.195385194659574
ACH-000053,-0.03662904789730076
ACH-000054,-0.11965662696309022
ACH-000055,-0.040200861692612784
ACH-000060,-0.060096952031034226
ACH-000067,-0.25235235757495555
ACH-000070,-0.08920400058605887
ACH-000075,-0.0393023908087598
ACH-000078,-0.1956547801398498
ACH-000082,-0.16480111735545455
ACH-000085,-0.09447039901553883
ACH-000086,-0.2649713906437495
ACH-000087,0.0739550386483366
ACH-000092,-0.13672815660515492
ACH-000095,-0.05501508271174299
ACH-000097,-0.03342463494814819
ACH-000098,-0.11744674809570113
ACH-000099,-0.12850750941766234
ACH-000108,-0.2490597758402821
ACH-000113,-0.17847267144818524
ACH-000116,-0.14613714371553904
ACH-000118,-0.06550080745660981
ACH-000120,-0.024971226244652464
ACH-000123,0.07971999994371781
ACH-000127,-0.2058264174416185
ACH-000128,-0.2470379195901374
ACH-000132,-0.13706613675649082
ACH-000133,-0.09818192091614826
ACH-000137,-0.12690750231735146
ACH-000138,-0.27567957358549483
ACH-000142,-0.036357609926476735
ACH-000143,-0.1612122521155984
ACH-000146,-0.07480695063866054
ACH-000148,-0.028181460141469918
ACH-000150,0.08150557001896665
ACH-000152,-0.07519784222706218
ACH-000153,0.32138392113484016
ACH-000159,-0.18634608486659573
ACH-000160,-0.14042138957347522
ACH-000163,-0.4231531105388795
ACH-000167,-0.2672067383749656
ACH-000168,-0.028258199122709663
ACH-000169,-0.2479618444920767
ACH-000178,-0.0026411983702957107
ACH-000183,-0.07759828336075696
ACH-000188,-0.11585514425352117
ACH-000189,-0.12467018398668447
ACH-000190,-0.013940184716332557
ACH-000198,-0.2273036359006761
ACH-000203,0.1134530574255429
ACH-000204,-0.03452255283946522
ACH-000206,-0.12069975053474626
ACH-000207,-0.1659418451252652
ACH-000208,0.025066334324034947
ACH-000210,-0.09924676111804327
ACH-000211,-0.07910552788524848
ACH-000215,-0.11043703080359876
ACH-000221,-0.1981533193773826
ACH-000222,-0.22150592209642395
ACH-000223,-0.06350813264941152
ACH-000226,-0.031019108446345686
ACH-000227,-0.1419059393247004
ACH-000228,-0.14278045806833478
ACH-000231,-0.19211762364555285
