,EIF3G (8666)
ACH-000004,-1.0094232301429678
ACH-000005,-1.16984615559537
ACH-000007,-1.2602944138569794
ACH-000009,-1.2280814738288104
ACH-000011,-1.3823960621890174
ACH-000012,-0.7627796138950066
ACH-000013,-1.0664798974378462
ACH-000014,-0.8066539552582571
ACH-000015,-1.283416547662847
ACH-000017,-1.0341596156510822
ACH-000018,-1.1335526023245104
ACH-000019,-1.043573121032705
ACH-000021,-1.2293160302500574
ACH-000022,-1.226221048788493
ACH-000025,-1.4259658089154983
ACH-000028,-1.190956128925114
ACH-000030,-1.2088430040107825
ACH-000035,-1.0838488169701823
ACH-000036,-1.1414394425353882
ACH-000037,-0.8306732154392525
ACH-000039,-1.0422315663673525
ACH-000040,-0.9620861874691786
ACH-000041,-1.2090214946850717
ACH-000042,-1.207039198647154
ACH-000045,-1.0140844197163503
ACH-000047,-1.1430430357450034
ACH-000052,-1.1091267506625802
ACH-000053,-0.9665897541248756
ACH-000054,-1.01083084081954
ACH-000055,-1.104597712713184
ACH-000060,-1.076115842002527
ACH-000067,-1.0675828576493354
ACH-000070,-1.1344769034509294
ACH-000075,-0.9830580465489948
ACH-000078,-1.2418968464870326
ACH-000082,-1.0030195111651348
ACH-000085,-1.2983224034794971
ACH-000086,-0.9423474746649784
ACH-000087,-1.194859577765799
ACH-000092,-0.8039511103648828
ACH-000095,-0.9875690977575768
ACH-000097,-1.2657116660715737
ACH-000098,-1.2729877536951633
ACH-000099,-1.058694074451184
ACH-000108,-1.3558375261904607
ACH-000113,-1.1525690752492626
ACH-000116,-1.1712308018403093
ACH-000118,-1.0694086487918946
ACH-000120,-0.9514984734940324
ACH-000123,-1.0097030481024116
ACH-000127,-1.1496188463487005
ACH-000128,-1.3232735936588618
ACH-000132,-1.175446446907751
ACH-000133,-0.7811955401791141
ACH-000137,-1.195185486130352
ACH-000138,-1.4454051925569968
ACH-000142,-1.278847559781065
ACH-000143,-1.2485903820420683
ACH-000146,-1.1550255964345526
ACH-000148,-1.0964394503274832
ACH-000150,-1.0050247421173322
ACH-000152,-1.1500128194890564
ACH-000153,-1.1275019449847363
ACH-000159,-1.0961106525014102
ACH-000160,-1.0756982123312488
ACH-000163,-1.0761052957361557
ACH-000167,-1.977573388692761
ACH-000168,-1.1292217870932737
ACH-000169,-0.974962029857218
ACH-000178,-1.0773590488372884
ACH-000183,-1.2044991489155092
ACH-000188,-1.1826405537297318
ACH-000189,-0.9044136501702834
ACH-000190,-0.9580523951085936
ACH-000198,-0.9966149644909712
ACH-000203,-1.0444212853188333
ACH-000204,-0.8472255399966374
ACH-000206,-1.619352750426873
ACH-000207,-1.0825810273293135
ACH-000208,-0.7887363904954523
ACH-000210,-1.2134214162082184
ACH-000211,-0.9495098756485416
ACH-000215,-1.1246744444937569
ACH-000221,-1.3222589330600196
ACH-000222,-1.1890524471198998
ACH-000223,-1.0470167245540123
ACH-000226,-0.9142729851831236
ACH-000227,-1.1044037930870758
ACH-000228,-1.171599737354285
ACH-000231,-0.9587788244361276
ACH-000232,-1.343686527829356
ACH-000233,-1.2843997240056186
ACH-000234,-1.5304642541375268
ACH-000235,-1.2104276305113637
ACH-000237,-1.43042176781589
ACH-000238,-1.048583570691303
ACH-000242,-1.3238766138959863
ACH-000243,-1.1015327749854094
ACH-000244,-1.0877946576398425
ACH-000246,-1.2653838262598622
ACH-000248,-1.2753257411046042
ACH-000250,-1.3269303355715336
ACH-000251,-1.230064165851103
ACH-000252,-1.0000041921998934
