,UROS (7390)
ACH-000004,-0.1754119930671751
ACH-000005,-0.09565768228118872
ACH-000007,-0.11710196704198253
ACH-000009,-0.1774891976625815
ACH-000011,0.045949913367533915
ACH-000012,-0.2344382573485931
ACH-000013,-0.03653108495261597
ACH-000014,-0.19379353790296133
ACH-000015,-0.16440364354499692
ACH-000017,-0.2230652322578708
ACH-000018,-0.3476059895720985
ACH-000019,-0.2373224038826701
ACH-000021,-0.18221096106590956
ACH-000022,-0.21017316434455324
ACH-000025,-0.2840384455189731
ACH-000028,-0.17815541823452888
ACH-000030,-0.5286537765706765
ACH-000035,-0.11761646233583573
ACH-000036,-0.09932801507352423
ACH-000037,-0.2612551388355321
ACH-000039,-0.2384099557163501
ACH-000040,-0.24074137966222897
ACH-000041,-0.341199222935111
ACH-000042,-0.22755892254197246
ACH-000045,-0.5788272464347116
ACH-000047,-0.4462734388737791
ACH-000052,-0.013257992998432735
ACH-000053,-0.6352972310702749
ACH-000054,-0.17724735709147202
ACH-000055,-0.08558020041937321
ACH-000060,-0.14146878030225898
ACH-000067,-0.10234765153091156
ACH-000070,-0.7520251320738379
ACH-000075,-0.04859083329721448
ACH-000078,-0.1405813292992296
ACH-000082,-0.23322220236002075
ACH-000085,-0.13152314073217913
ACH-000086,-0.2068573363236617
ACH-000087,-0.2944307239400666
ACH-000092,-0.1789882799355171
ACH-000095,-0.07712881526986384
ACH-000097,-0.16837686781553834
ACH-000098,-0.21286245355274086
ACH-000099,-0.3117583648107217
ACH-000108,-0.26373789227948896
ACH-000113,-0.5028995023765986
ACH-000116,-0.13500422770193554
ACH-000118,-0.3648910822970785
ACH-000120,-0.24041270198481585
ACH-000123,0.008174351577020691
ACH-000127,-0.10053689651770303
ACH-000128,-0.26996446922229034
ACH-000132,-0.16257478305159584
ACH-000133,-0.04257848493118839
ACH-000137,-0.1586366146573771
ACH-000138,-0.2487750977939237
ACH-000142,-0.1576512745927989
ACH-000143,-0.06857421284901659
ACH-000146,-0.3917399930751702
ACH-000148,-0.19429887707560467
ACH-000150,-0.4682131005681226
ACH-000152,-0.2308345696502433
ACH-000153,-0.14330384838370175
ACH-000159,-0.19020127757499228
ACH-000160,-0.2322388547063659
ACH-000163,-0.23887798353520906
ACH-000167,-0.023837304246089014
ACH-000168,-0.4670161361801762
ACH-000169,-0.29615063511909273
