,SCPEP1 (59342)
ACH-000004,-0.3626726555674565
ACH-000005,-0.022105726369435818
ACH-000007,-0.31856245669254385
ACH-000009,-0.36682037369344
ACH-000011,-0.2776300135748057
ACH-000012,-0.39318002011821374
ACH-000013,-0.22594931095991025
ACH-000014,-0.20284426480620954
ACH-000015,-0.3016886520883749
ACH-000017,-0.20249994371500904
ACH-000018,-0.3445074785696568
ACH-000019,-0.5312586704476754
ACH-000021,-0.16742537105059696
ACH-000022,-0.1880655181967896
ACH-000025,-0.22214896941308854
ACH-000028,-0.3537654999191047
ACH-000030,-0.24844639419173226
ACH-000035,-0.22228354763353145
ACH-000036,-0.3817268561588172
ACH-000037,-0.27117617841133634
ACH-000039,-0.2527368112863241
ACH-000040,-0.1746903648002118
ACH-000041,-0.36737189640627793
ACH-000042,-0.4101947830275837
ACH-000045,-0.10225571795372528
ACH-000047,-0.4191735475722016
ACH-000052,-0.15514641640105056
ACH-000053,-0.2282059153136501
ACH-000054,-0.3555715711934994
ACH-000055,-0.2732971176900893
ACH-000060,-0.2561692751638158
ACH-000067,-0.005144156899168782
ACH-000070,-0.19745114886147971
ACH-000075,-0.4361192081537751
ACH-000078,-0.27423871451061643
ACH-000082,-0.2600354692015324
ACH-000085,-0.3237249942177461
ACH-000086,-0.3099637327087919
ACH-000087,-0.2834998735636132
ACH-000092,-0.20848202258548654
ACH-000095,-0.3351646572255425
ACH-000097,-0.25752738077785725
ACH-000098,-0.254133812542093
ACH-000099,-0.4435253976481124
ACH-000108,-0.3029572342435977
ACH-000113,-0.23910464393714875
ACH-000116,-0.21256083966954634
ACH-000118,-0.14793693784188885
ACH-000120,-0.4730731931534312
ACH-000123,-0.2614296744058554
ACH-000127,-0.17497635914275453
ACH-000128,-0.31920252609407385
ACH-000132,-0.15142510444633195
ACH-000133,-0.20452722137623475
ACH-000137,-0.16735994195997958
ACH-000138,-0.3727576737237738
ACH-000142,-0.21947991871775868
ACH-000143,-0.28138444036293514
ACH-000146,-0.2000414272844582
ACH-000148,-0.22418883236870354
ACH-000150,-0.32432953441191154
ACH-000152,-0.42013963734162135
ACH-000153,-0.17469932734499793
ACH-000159,-0.3114380801157473
ACH-000160,-0.3252173743419659
ACH-000163,-0.3715073739084964
ACH-000167,-0.16408363128026904
ACH-000168,-0.14256449595674897
ACH-000169,-0.3038017292794061
ACH-000178,-0.19147913876578795
ACH-000183,-0.3352032722300201
ACH-000188,-0.2074176048325852
ACH-000189,-0.2290993258385885
ACH-000190,-0.2214987426566058
ACH-000198,-0.20194014382472947
ACH-000203,-0.3939766993116485
ACH-000204,-0.2863944690054513
ACH-000206,-0.17110062776572396
ACH-000207,-0.3706173473385659
ACH-000208,-0.29895339688246225
ACH-000210,-0.2501941602515596
ACH-000211,-0.3128347689248205
ACH-000215,-0.2117701043373463
ACH-000221,-0.3615491030158289
ACH-000222,-0.07715702372859276
ACH-000223,-0.19801110778414524
ACH-000226,-0.2060534245410711
ACH-000227,-0.4674281177433125
ACH-000228,-0.16482699857197175
ACH-000231,-0.29313993457382803
ACH-000232,-0.2540634303319617
ACH-000233,-0.250035318260675
ACH-000234,-0.29112732880663583
ACH-000235,-0.25816307489003065
ACH-000237,-0.2543541325252113
ACH-000238,-0.4444161490650262
ACH-000242,-0.23997191782018565
ACH-000243,-0.2570497611061541
ACH-000244,-0.36319048141447785
ACH-000246,-0.2530905811594287
