,ETF1 (2107)
ACH-000004,-1.7714229041972722
ACH-000005,-1.6837707573644327
ACH-000007,-1.3518448251836779
ACH-000009,-1.3398724128646664
ACH-000011,-1.2029682102385473
ACH-000012,-1.4937458797669936
ACH-000013,-1.466041223825194
ACH-000014,-1.4666032927738224
ACH-000015,-1.4928284031042376
ACH-000017,-1.6917902114604615
ACH-000018,-1.5149169646420662
ACH-000019,-1.3039584981628882
ACH-000021,-1.338819008625331
ACH-000022,-1.3334541461728395
ACH-000025,-1.2427141761793077
ACH-000028,-1.2642746203791335
ACH-000030,-1.5568967481576628
ACH-000035,-1.23777819343558
ACH-000036,-1.2781227742119723
ACH-000037,-1.6465251800430678
ACH-000039,-1.2938807623195483
ACH-000040,-1.394876964146269
ACH-000041,-1.3430658138202232
ACH-000042,-1.3243566926583823
ACH-000045,-1.5805116193924518
ACH-000047,-1.3097764702786583
ACH-000052,-1.3948954497043085
ACH-000053,-1.4029800782117041
ACH-000054,-1.423759505553336
ACH-000055,-1.6312825238688835
ACH-000060,-1.4030969464514242
ACH-000067,-1.3526650507868312
ACH-000070,-1.455556483106034
ACH-000075,-1.3619832538242218
ACH-000078,-1.5034047668747983
ACH-000082,-1.4958269910989388
ACH-000085,-1.3185568128829552
ACH-000086,-1.3492384853816968
ACH-000087,-1.5128694393638646
ACH-000092,-1.3967650788465005
ACH-000095,-1.328339908138927
ACH-000097,-1.5131130164425703
ACH-000098,-1.2830900634071771
ACH-000099,-1.3670451666478607
ACH-000108,-1.548231272180276
ACH-000113,-1.5520852869486956
ACH-000116,-1.5260873280870573
ACH-000118,-1.3065243435642584
ACH-000120,-1.4487061881559322
ACH-000123,-1.4214542565178905
ACH-000127,-1.3389065379080043
ACH-000128,-1.3231572001531278
ACH-000132,-1.4110765425693597
ACH-000133,-1.4050873602079699
ACH-000137,-1.2600780366550672
ACH-000138,-1.4170997932664169
ACH-000142,-1.4073593889954583
ACH-000143,-1.31078072566019
ACH-000146,-1.4561082865434545
ACH-000148,-1.5148532484840107
ACH-000150,-1.1430627087737155
ACH-000152,-1.312930011000479
ACH-000153,-1.4251307044569703
ACH-000159,-1.4391072860188274
ACH-000160,-1.402432272202364
ACH-000163,-1.31181796855126
ACH-000167,-1.8911573181725767
ACH-000168,-1.3186712314471638
ACH-000169,-1.3291649597692416
ACH-000178,-1.3014916068698588
ACH-000183,-1.5840440956953152
ACH-000188,-1.4781180155241045
ACH-000189,-1.2372217515318973
ACH-000190,-1.5787024678500718
ACH-000198,-1.4950171013055096
ACH-000203,-1.0769555188148208
ACH-000204,-1.4449956819675258
ACH-000206,-1.299835516838294
ACH-000207,-1.513852287728307
ACH-000208,-1.3395117332809794
ACH-000210,-1.4702024661471935
ACH-000211,-1.3529087548145686
ACH-000215,-1.4319067472358216
ACH-000221,-1.751909423407549
ACH-000222,-1.5745656138555648
ACH-000223,-1.6189712583647815
ACH-000226,-1.2041899246765762
ACH-000227,-1.4510314589003817
ACH-000228,-1.5303859593953812
ACH-000231,-1.3162403253113997
ACH-000232,-1.2964409495337423
ACH-000233,-1.2763229735422776
ACH-000234,-1.3900148126593568
ACH-000235,-1.4490362932719982
ACH-000237,-1.2493874955232052
ACH-000238,-1.5968009697356194
ACH-000242,-1.3235844957778438
ACH-000243,-1.4261483146588063
ACH-000244,-1.4632158599995206
ACH-000246,-1.3345798252303602
ACH-000248,-1.3525116706054794
ACH-000250,-1.318050792687088
ACH-000251,-1.2292459992190754
ACH-000252,-1.4570814124775038
ACH-000253,-1.4162422762634457
ACH-000255,-1.3422020821933305
ACH-000256,-1.5235268024185546
ACH-000257,-1.5348235430160435
ACH-000258,-1.2186833142191122
ACH-000259,-1.5203643762798595
ACH-000260,-1.402509683206054
ACH-000261,-1.254472865390632
ACH-000262,-1.2905300610916794
ACH-000263,-1.4542420612353548
ACH-000264,-1.5370515145293528
ACH-000265,-1.4117524881544616
ACH-000266,-1.3735993982063603
ACH-000272,-1.3066344887644938
ACH-000274,-1.5132203574042449
ACH-000277,-1.3782153882157846
ACH-000278,-1.1048806035713603
ACH-000279,-1.8082044801658508
ACH-000280,-1.302431402343036
ACH-000281,-1.2689308054901844
ACH-000288,-1.4395598725287284
ACH-000291,-1.2637387730559857
ACH-000293,-1.355243840264858
ACH-000294,-1.5988159721254618
ACH-000295,-1.6524204745558748
ACH-000296,-1.3702147127320476
ACH-000302,-1.3201019163896686
ACH-000304,-1.3443854435494094
ACH-000307,-1.3093782586883012
ACH-000308,-1.4244382239248845
ACH-000310,-1.4437911669167671
ACH-000311,-1.3194705740008812
ACH-000312,-1.468077150814994
ACH-000315,-1.4629802705208417
ACH-000316,-1.5913763762091393
ACH-000317,-1.4524708787591976
ACH-000318,-1.383801273278221
ACH-000319,-1.2444314519506738
ACH-000320,-1.4926577083688055
ACH-000322,-1.4794153356405222
ACH-000323,-1.361262393208501
ACH-000324,-1.353089304919295
ACH-000329,-1.4785588303657842
ACH-000330,-1.5353964688906585
ACH-000331,-1.3775597924083156
ACH-000332,-1.247928229069401
ACH-000334,-1.736320312331165
ACH-000335,-1.4798806390649464
ACH-000336,-1.5557048632946286
ACH-000337,-1.3436504233652051
ACH-000338,-1.8087238765513396
ACH-000339,-1.3497139444798492
ACH-000341,-1.372064447694658
ACH-000348,-1.6588444683247672
ACH-000350,-1.3515225266885975
ACH-000352,-1.4358879576170474
ACH-000356,-1.5982282698661183
ACH-000361,-1.3579122978443408
ACH-000362,-1.2636933242106958
ACH-000363,-1.3167161903815652
ACH-000364,-1.412369748243976
ACH-000365,-1.4701801011578477
ACH-000366,-1.1222734165911847
ACH-000368,-1.5364576543888806
ACH-000374,-1.6391396795811024
ACH-000375,-1.3787913692775144
ACH-000376,-1.4332476257314777
ACH-000381,-1.3268360620863222
ACH-000383,-1.4681911085283277
ACH-000387,-1.4829585285869695
ACH-000389,-1.3980842063341157
ACH-000390,-1.4494274879374005
ACH-000393,-1.2939410617183815
ACH-000395,-1.3489358027850185
ACH-000396,-1.5483594697272878
ACH-000397,-1.4455665000809
ACH-000401,-1.5115968707413463
ACH-000402,-1.6988687754395186
ACH-000403,-1.552934529771126
ACH-000404,-1.430979775457978
ACH-000406,-1.6410335083012746
ACH-000407,-1.5344267258491593
ACH-000408,-1.2772076126147625
ACH-000410,-1.390094916058364
ACH-000411,-1.3245556021119491
ACH-000414,-1.39652174255717
ACH-000415,-1.5351704278572291
ACH-000416,-1.2924612650863203
ACH-000420,-1.4274982563471568
ACH-000421,-1.3133141828660444
ACH-000424,-1.0812375522342683
ACH-000425,-1.3850736543623667
ACH-000426,-1.6983004705361513
ACH-000427,-1.4703079593978905
ACH-000433,-1.3935237046901854
ACH-000435,-1.5055863184940488
ACH-000436,-1.3435413530966962
ACH-000444,-1.2836468969320243
ACH-000445,-1.4259736422275362
ACH-000448,-1.3439607407027288
ACH-000450,-1.1511429812957328
ACH-000452,-1.4727093814700267
ACH-000454,-1.2311205341560054
ACH-000458,-1.2179941995152344
ACH-000459,-2.1163205992705456
ACH-000460,-1.3320203757713502
ACH-000461,-1.3034199416785643
ACH-000463,-1.1578667129704487
ACH-000464,-1.4249680123153794
ACH-000466,-1.4403047658219668
ACH-000467,-1.2376917655385462
ACH-000468,-1.3902856753282933
ACH-000469,-1.3906488918608473
ACH-000470,-1.5504333708018545
ACH-000471,-1.4475723924980606
